date,20-34_Gila,35-44_Gila,45-54_Gila,55-64_Gila,65+_Gila,<20_Gila
1/1/2021,159,151,165,210,202,5
1/10/2021,306,339,412,532,1027,15
1/11/2021,320,356,430,564,1104,15
1/12/2021,328,360,439,579,1139,15
1/13/2021,333,366,449,586,1176,15
1/14/2021,343,381,468,618,1321,15
1/15/2021,400,426,510,672,1357,21
1/16/2021,400,427,511,673,1359,21
1/17/2021,400,427,511,673,1362,21
1/18/2021,403,435,515,698,1429,21
1/19/2021,415,439,525,713,1484,22
1/2/2021,175,167,188,247,303,8
1/20/2021,425,448,546,744,1588,23
1/21/2021,440,460,554,779,1798,23
1/22/2021,455,469,561,792,1861,24
1/23/2021,459,474,563,798,1975,24
1/24/2021,459,474,564,799,1984,24
1/25/2021,474,482,575,818,2049,24
1/26/2021,480,485,575,820,2063,24
1/27/2021,493,502,585,830,2236,28
1/28/2021,513,528,619,885,2482,28
1/29/2021,538,547,649,918,2597,32
1/3/2021,176,167,188,249,303,8
1/30/2021,570,559,660,934,2717,40
1/31/2021,570,559,660,935,2721,40
1/4/2021,190,184,220,287,352,8
1/5/2021,212,216,278,348,486,9
1/6/2021,223,242,316,406,621,11
1/7/2021,270,307,358,468,829,14
1/8/2021,301,338,405,530,1008,15
1/9/2021,306,339,412,532,1027,15
10/1/2021,2626,1919,2506,4590,11523,1154
10/10/2021,2647,1933,2517,4607,11548,1166
10/11/2021,2648,1936,2519,4607,11553,1169
10/12/2021,2652,1938,2520,4609,11559,1170
10/13/2021,2657,1941,2521,4611,11567,1172
10/14/2021,2662,1944,2526,4619,11571,1174
10/15/2021,2669,1946,2530,4626,11572,1174
10/16/2021,2670,1946,2530,4627,11572,1174
10/17/2021,2672,1946,2530,4627,11574,1174
10/18/2021,2676,1947,2531,4630,11580,1174
10/19/2021,2679,1950,2534,4634,11580,1175
10/2/2021,2626,1921,2507,4591,11524,1154
10/20/2021,2680,1950,2540,4638,11583,1175
10/21/2021,2682,1953,2544,4646,11596,1176
10/22/2021,2685,1956,2546,4649,11606,1178
10/23/2021,2687,1957,2548,4651,11611,1182
10/24/2021,2687,1958,2549,4651,11613,1182
10/25/2021,2689,1959,2551,4655,11619,1183
10/26/2021,2692,1960,2554,4661,11624,1185
10/27/2021,2695,1960,2555,4667,11632,1185
10/28/2021,2707,1974,2561,4669,11638,1185
10/29/2021,2711,1978,2563,4671,11645,1187
10/3/2021,2626,1922,2507,4592,11526,1154
10/30/2021,2712,1980,2564,4672,11648,1187
10/31/2021,2713,1980,2566,4672,11651,1187
10/4/2021,2628,1925,2508,4595,11535,1157
10/5/2021,2632,1928,2511,4595,11539,1162
10/6/2021,2634,1928,2514,4601,11540,1164
10/7/2021,2643,1932,2514,4603,11542,1164
10/8/2021,2644,1933,2516,4604,11547,1165
10/9/2021,2644,1933,2517,4607,11548,1165
11/1/2021,2716,1982,2567,4675,11663,1187
11/10/2021,2742,1997,2590,4712,11742,1264
11/11/2021,2744,1998,2591,4715,11750,1276
11/12/2021,2753,2001,2591,4719,11756,1292
11/13/2021,2754,2001,2594,4720,11760,1300
11/14/2021,2757,2001,2596,4721,11762,1300
11/15/2021,2760,2003,2597,4731,11771,1302
11/16/2021,2765,2003,2599,4736,11786,1305
11/17/2021,2773,2008,2601,4743,11798,1306
11/18/2021,2778,2012,2606,4747,11810,1320
11/19/2021,2781,2018,2607,4753,11822,1341
11/2/2021,2717,1985,2572,4679,11667,1187
11/20/2021,2787,2018,2607,4754,11827,1343
11/21/2021,2789,2019,2607,4756,11827,1343
11/22/2021,2797,2021,2611,4767,11839,1349
11/23/2021,2803,2021,2614,4773,11846,1355
11/24/2021,2804,2024,2619,4778,11851,1366
11/25/2021,2804,2024,2619,4778,11851,1366
11/26/2021,2807,2024,2620,4781,11853,1369
11/27/2021,2807,2025,2620,4781,11853,1369
11/28/2021,2808,2025,2620,4781,11853,1371
11/3/2021,2720,1985,2575,4683,11682,1191
11/4/2021,2723,1987,2576,4686,11691,1191
11/5/2021,2724,1990,2578,4696,11701,1233
11/6/2021,2724,1991,2578,4699,11706,1237
11/7/2021,2724,1994,2580,4699,11707,1239
11/8/2021,2729,1994,2585,4706,11722,1247
11/9/2021,2736,1996,2587,4708,11730,1258
12/1/2020,1,,,,,
12/10/2020,1,,,,,
12/11/2020,1,,,,,
12/12/2020,1,,,,,
12/13/2020,1,,,,,
12/14/2020,1,,,,,
12/15/2020,1,,,,,
12/16/2020,1,,,,,
12/17/2020,21,16,15,13,3,1
12/18/2020,33,29,20,18,8,1
12/19/2020,33,29,20,20,8,1
12/2/2020,1,,,,,
12/20/2020,33,30,20,20,8,1
12/21/2020,39,41,27,28,12,1
