date,Greenlee_cume,Greenlee
2020-12-18,2,
2020-12-21,16,14
2020-12-22,42,26
2020-12-23,49,7
2020-12-24,53,4
2020-12-26,54,1
2020-12-28,56,2
2020-12-29,64,8
2020-12-30,85,21
2020-12-31,115,30
2021-01-01,117,2
2021-01-04,118,1
2021-01-05,139,21
2021-01-06,154,15
2021-01-07,192,38
2021-01-08,208,16
2021-01-09,209,1
2021-01-12,248,39
2021-01-13,289,41
2021-01-14,352,63
2021-01-15,367,15
2021-01-16,368,1
2021-01-18,393,25
2021-01-19,430,37
2021-01-20,462,32
2021-01-21,711,249
2021-01-22,898,187
2021-01-23,1253,355
2021-01-24,1261,8
2021-01-25,1306,45
2021-01-26,1310,4
2021-01-27,1390,80
2021-01-28,1645,255
2021-01-29,1777,132
2021-01-30,1779,2
2021-02-01,1805,26
2021-02-02,1874,69
2021-02-03,1907,33
2021-02-04,1990,83
2021-02-05,2143,153
2021-02-06,2146,3
2021-02-08,2164,18
2021-02-09,2202,38
2021-02-10,2302,100
2021-02-11,2446,144
2021-02-12,2636,190
2021-02-13,2641,5
2021-02-15,2679,38
2021-02-16,2759,80
2021-02-17,2907,148
2021-02-18,3164,257
2021-02-19,3170,6
2021-02-20,3172,2
2021-02-22,3232,60
2021-02-23,3540,308
2021-02-24,3697,157
2021-02-25,3825,128
2021-02-26,3978,153
2021-02-28,3993,15
2021-03-01,4020,27
2021-03-02,4170,150
2021-03-03,4221,51
2021-03-04,4262,41
2021-03-05,4404,142
2021-03-06,4405,1
2021-03-07,4406,1
2021-03-08,4446,40
2021-03-09,4518,72
2021-03-10,4600,82
2021-03-11,4666,66
2021-03-12,4777,111
2021-03-13,4783,6
2021-03-15,4894,111
2021-03-16,4919,25
2021-03-17,4974,55
2021-03-18,4999,25
2021-03-19,5038,39
2021-03-20,5039,1
2021-03-22,5045,6
2021-03-23,5058,13
2021-03-24,5067,9
2021-03-25,5108,41
2021-03-26,5158,50
2021-03-27,5162,4
2021-03-28,5171,9
2021-03-29,5179,8
2021-03-30,5233,54
2021-03-31,5241,8
2021-04-01,5301,60
2021-04-02,5328,27
2021-04-03,5329,1
2021-04-05,5345,16
2021-04-06,5370,25
2021-04-07,5387,17
2021-04-08,5443,56
2021-04-09,5481,38
2021-04-10,5484,3
2021-04-11,5485,1
2021-04-12,5530,45
2021-04-13,5544,14
2021-04-14,5560,16
2021-04-15,5586,26
2021-04-16,5619,33
2021-04-17,5620,1
2021-04-19,5623,3
2021-04-20,5641,18
2021-04-21,5648,7
2021-04-22,5679,31
2021-04-23,5682,3
2021-04-24,5685,3
2021-04-26,5690,5
2021-04-27,5722,32
2021-04-28,5730,8
2021-04-29,5739,9
2021-04-30,5760,21
2021-05-01,5763,3
2021-05-03,5764,1
2021-05-04,5782,18
2021-05-05,5791,9
2021-05-06,5806,15
2021-05-07,5810,4
2021-05-08,5812,2
2021-05-10,5828,16
2021-05-11,5829,1
2021-05-12,5846,17
2021-05-13,5865,19
2021-05-14,5871,6
2021-05-16,5874,3
2021-05-17,5876,2
2021-05-18,5889,13
2021-05-19,5894,5
2021-05-20,5916,22
2021-05-21,5947,31
2021-05-22,5960,13
2021-05-23,5961,1
2021-05-24,5963,2
2021-05-25,5980,17
2021-05-26,5983,3
2021-05-27,5994,11
2021-05-28,6005,11
2021-05-29,6007,2
2021-06-01,6024,17
2021-06-02,6026,2
2021-06-03,6039,13
2021-06-04,6044,5
2021-06-05,6045,1
2021-06-07,6048,3
2021-06-08,6054,6
2021-06-09,6057,3
2021-06-10,6064,7
2021-06-11,6067,3
2021-06-12,6074,7
2021-06-14,6076,2
2021-06-15,6089,13
2021-06-16,6092,3
2021-06-17,6111,19
2021-06-18,6116,5
2021-06-19,6120,4
2021-06-20,6121,1
2021-06-21,6124,3
2021-06-22,6133,9
2021-06-24,6136,3
2021-06-25,6143,7
2021-06-26,6145,2
2021-06-28,6147,2
2021-06-29,6159,12
2021-06-30,6160,1
2021-07-01,6171,11
2021-07-02,6176,5
2021-07-06,6179,3
2021-07-07,6185,6
2021-07-08,6194,9
2021-07-09,6197,3
2021-07-11,6199,2
2021-07-12,6209,10
2021-07-13,6211,2
2021-07-14,6214,3
2021-07-15,6222,8
2021-07-16,6223,1
2021-07-19,6226,3
2021-07-20,6241,15
2021-07-21,6244,3
2021-07-22,6255,11
2021-07-23,6273,18
2021-07-24,6276,3
2021-07-25,6279,3
2021-07-26,6287,8
2021-07-27,6293,6
2021-07-28,6301,8
2021-07-29,6326,25
2021-07-30,6334,8
2021-07-31,6337,3
2021-08-01,6338,1
2021-08-02,6345,7
2021-08-03,6358,13
2021-08-04,6374,16
2021-08-05,6390,16
2021-08-06,6400,10
2021-08-07,6405,5
2021-08-08,6407,2
2021-08-09,6422,15
2021-08-10,6437,15
2021-08-11,6443,6
2021-08-12,6489,46
2021-08-13,6510,21
2021-08-14,6515,5
2021-08-15,6516,1
2021-08-16,6534,18
2021-08-17,6573,39
2021-08-18,6591,18
2021-08-19,6627,36
2021-08-20,6676,49
2021-08-21,6771,95
2021-08-22,6772,1
2021-08-23,6798,26
2021-08-24,6817,19
2021-08-25,6837,20
2021-08-26,6882,45
2021-08-27,6913,31
2021-08-28,6918,5
2021-08-30,6956,38
2021-08-31,6981,25
2021-09-01,6991,10
2021-09-02,7003,12
2021-09-03,7026,23
2021-09-04,7028,2
2021-09-07,7044,16
2021-09-08,7064,20
2021-09-09,7109,45
2021-09-10,7142,33
2021-09-11,7206,64
2021-09-12,7207,1
2021-09-13,7218,11
2021-09-14,7241,23
