date,pcr_tests_PIMA,pcr_pos_test_PIMA,pcr_positivity_PIMA
2022-02-17 00:00:00,78,3,0.0384615384615385
2022-02-16 00:00:00,2129,261,0.1225927665570691
2022-02-15 00:00:00,4686,477,0.1017925736235595
2022-02-14 00:00:00,5263,607,0.1153334600038001
2022-02-13 00:00:00,1604,295,0.1839152119700748
2022-02-12 00:00:00,2037,403,0.1978399607265587
2022-02-11 00:00:00,4813,644,0.1338042800747974
2022-02-10 00:00:00,5507,719,0.1305611040493917
2022-02-09 00:00:00,5999,838,0.1396899483247208
2022-02-08 00:00:00,6931,859,0.1239359399798009
2022-02-07 00:00:00,7479,1080,0.1444043321299639
2022-02-06 00:00:00,2288,519,0.2268356643356643
2022-02-05 00:00:00,2669,604,0.2263019857624579
2022-02-04 00:00:00,6683,1018,0.1523267993416131
2022-02-03 00:00:00,6838,1280,0.1871892366188944
2022-02-02 00:00:00,7693,1374,0.1786039256466918
2022-02-01 00:00:00,8526,1496,0.1754632887637814
2022-01-31 00:00:00,10057,1976,0.1964800636372676
2022-01-30 00:00:00,3312,936,0.2826086956521739
2022-01-29 00:00:00,3936,1227,0.3117378048780488
2022-01-28 00:00:00,9181,1845,0.2009585012525869
2022-01-27 00:00:00,8995,1842,0.2047804335742079
2022-01-26 00:00:00,11290,2457,0.2176262178919398
2022-01-25 00:00:00,12678,2823,0.222669190724089
2022-01-24 00:00:00,14254,3407,0.2390206257892522
2022-01-23 00:00:00,4137,1398,0.3379260333575055
2022-01-22 00:00:00,6116,1940,0.3172007848266841
2022-01-21 00:00:00,11419,2890,0.2530869603292758
2022-01-20 00:00:00,12816,3353,0.2616260923845194
2022-01-19 00:00:00,14467,3980,0.2751088684592521
2022-01-18 00:00:00,14360,3958,0.2756267409470753
2022-01-17 00:00:00,9507,2716,0.2856842326706638
2022-01-16 00:00:00,4559,1571,0.3445931125246765
2022-01-15 00:00:00,5360,1812,0.3380597014925374
2022-01-14 00:00:00,12389,3155,0.2546613931713617
2022-01-13 00:00:00,13779,3497,0.2537920023223747
2022-01-12 00:00:00,13822,3530,0.2553899580379106
2022-01-11 00:00:00,14940,3792,0.2538152610441768
2022-01-10 00:00:00,14194,3204,0.22572918134423
2022-01-09 00:00:00,5009,1485,0.2964663605510082
2022-01-08 00:00:00,4782,1378,0.2881639481388541
2022-01-07 00:00:00,11151,2511,0.225181598062954
2022-01-06 00:00:00,10761,2412,0.2241427376637859
2022-01-05 00:00:00,10819,2749,0.2540900268046955
2022-01-04 00:00:00,10674,2434,0.2280307288738992
2022-01-03 00:00:00,11102,2270,0.2044676634840569
2022-01-02 00:00:00,4868,1230,0.2526705012325391
2022-01-01 00:00:00,1294,192,0.1483771251931994
2021-12-31 00:00:00,4744,871,0.1836003372681282
2021-12-30 00:00:00,7216,1219,0.168930155210643
2021-12-29 00:00:00,7172,1302,0.1815393195761294
2021-12-28 00:00:00,7112,1141,0.1604330708661417
2021-12-27 00:00:00,6542,1020,0.155915622133904
2021-12-26 00:00:00,3291,586,0.1780613795199028
2021-12-25 00:00:00,831,73,0.0878459687123947
2021-12-24 00:00:00,2755,320,0.1161524500907441
2021-12-23 00:00:00,5788,573,0.0989979267449896
2021-12-22 00:00:00,6205,571,0.0920225624496374
2021-12-21 00:00:00,6519,547,0.083908574934806
2021-12-20 00:00:00,6342,499,0.0786818038473668
2021-12-19 00:00:00,2438,245,0.1004922067268253
