Category,value
Apache,581
Cochise,533
Coconino,452
Gila,354
Graham,169
Greenlee,31
La Paz,130
Maricopa,"15,486"
Mohave,"1,360"
Navajo,847
Pima,"3,597"
Pinal,"1,518"
Santa Cruz,220
Yavapai,"1,126"
Yuma,"1,109"
Female,11374
Male,16124
20-44y,1512
45-54y,2168
55-64y,4378
65+,19395
<20y,60
"White, non-Hispanic",14614
Hispanic or Latino,7346
"American Indian or Alaska Native, non-Hispanic",1919
"Black or African American, non-Hispanic",853
"Asian or Pacific Islander, non-Hispanic",321
Other Race,748
Unknown,1712
