date,pcr_tests_GILA,pcr_pos_tests_GILA,pcr_positivity_GILA,ser_tests_GILA,ser_pos_tests_GILA,ser_positivity_GILA
2021-01-26 00:00:00,83,12,0.1445783132530121,,,
2021-01-25 00:00:00,364,29,0.0796703296703297,2.0,1.0,0.5
2021-01-24 00:00:00,93,13,0.1397849462365591,1.0,1.0,1
2021-01-23 00:00:00,153,27,0.1764705882352941,,,
2021-01-22 00:00:00,265,37,0.139622641509434,10.0,0.0,0
2021-01-21 00:00:00,457,40,0.087527352297593,9.0,4.0,0.4444444444444444
2021-01-20 00:00:00,175,41,0.2342857142857143,5.0,2.0,0.4
2021-01-19 00:00:00,194,30,0.154639175257732,8.0,6.0,0.75
2021-01-18 00:00:00,478,30,0.0627615062761506,13.0,4.0,0.3076923076923077
2021-01-17 00:00:00,68,15,0.2205882352941177,2.0,0.0,0
2021-01-16 00:00:00,314,44,0.1401273885350319,2.0,0.0,0
2021-01-15 00:00:00,204,34,0.1666666666666667,7.0,6.0,0.8571428571428572
2021-01-14 00:00:00,505,42,0.0831683168316832,8.0,6.0,0.75
2021-01-13 00:00:00,170,39,0.2294117647058824,50.0,10.0,0.2
2021-01-12 00:00:00,189,31,0.164021164021164,14.0,10.0,0.7142857142857144
2021-01-11 00:00:00,525,56,0.1066666666666667,8.0,7.0,0.875
2021-01-10 00:00:00,90,15,0.1666666666666667,,,
2021-01-09 00:00:00,92,20,0.2173913043478261,3.0,2.0,0.6666666666666666
2021-01-08 00:00:00,272,58,0.2132352941176471,3.0,2.0,0.6666666666666666
2021-01-07 00:00:00,326,35,0.1073619631901841,22.0,9.0,0.4090909090909091
2021-01-06 00:00:00,380,66,0.1736842105263158,5.0,0.0,0
2021-01-05 00:00:00,254,46,0.1811023622047244,9.0,4.0,0.4444444444444444
2021-01-04 00:00:00,480,55,0.1145833333333333,9.0,2.0,0.2222222222222222
2021-01-03 00:00:00,79,21,0.2658227848101266,1.0,0.0,0
2021-01-02 00:00:00,98,25,0.2551020408163266,1.0,1.0,1
2021-01-01 00:00:00,136,32,0.2352941176470588,,,
2020-12-31 00:00:00,258,31,0.1201550387596899,5.0,0.0,0
2020-12-30 00:00:00,320,47,0.146875,1.0,0.0,0
2020-12-29 00:00:00,196,30,0.1530612244897959,8.0,1.0,0.125
2020-12-28 00:00:00,634,74,0.1167192429022082,3.0,1.0,0.3333333333333333
2020-12-27 00:00:00,106,19,0.1792452830188679,4.0,0.0,0
2020-12-26 00:00:00,139,21,0.1510791366906475,,,
2020-12-25 00:00:00,28,6,0.2142857142857143,,,
2020-12-24 00:00:00,87,15,0.1724137931034483,1.0,0.0,0
2020-12-23 00:00:00,482,42,0.0871369294605809,5.0,2.0,0.4
2020-12-22 00:00:00,277,46,0.1660649819494585,4.0,2.0,0.5
2020-12-21 00:00:00,577,53,0.0918544194107452,3.0,0.0,0
2020-12-20 00:00:00,92,16,0.1739130434782609,1.0,1.0,1
2020-12-19 00:00:00,102,23,0.2254901960784314,1.0,0.0,0
2020-12-18 00:00:00,255,28,0.1098039215686275,7.0,1.0,0.1428571428571429
2020-12-17 00:00:00,576,51,0.0885416666666667,15.0,1.0,0.0666666666666667
2020-12-16 00:00:00,222,36,0.1621621621621622,4.0,1.0,0.25
2020-12-15 00:00:00,195,15,0.0769230769230769,3.0,0.0,0
2020-12-14 00:00:00,729,74,0.1015089163237311,7.0,0.0,0
2020-12-13 00:00:00,111,12,0.1081081081081081,,,
2020-12-12 00:00:00,99,15,0.1515151515151515,,,
2020-12-11 00:00:00,173,35,0.2023121387283237,3.0,0.0,0
2020-12-10 00:00:00,678,47,0.0693215339233038,4.0,1.0,0.25
2020-12-09 00:00:00,237,22,0.0928270042194093,,,
2020-12-08 00:00:00,270,32,0.1185185185185185,8.0,1.0,0.125
2020-12-07 00:00:00,564,45,0.0797872340425532,33.0,5.0,0.1515151515151515
2020-12-06 00:00:00,96,13,0.1354166666666667,,,
2020-12-05 00:00:00,77,10,0.1298701298701299,,,
2020-12-04 00:00:00,313,55,0.1757188498402556,4.0,1.0,0.25
2020-12-03 00:00:00,447,28,0.0626398210290828,15.0,1.0,0.0666666666666667
2020-12-02 00:00:00,219,22,0.1004566210045662,13.0,0.0,0
2020-12-01 00:00:00,214,39,0.1822429906542056,16.0,0.0,0
2020-11-30 00:00:00,639,37,0.0579029733959312,19.0,0.0,0
2020-11-29 00:00:00,129,20,0.1550387596899225,3.0,0.0,0
2020-11-28 00:00:00,97,19,0.1958762886597938,7.0,1.0,0.1428571428571429
2020-11-27 00:00:00,143,29,0.2027972027972028,11.0,1.0,0.0909090909090909
2020-11-26 00:00:00,41,4,0.0975609756097561,1.0,0.0,0
2020-11-25 00:00:00,403,34,0.0843672456575682,15.0,1.0,0.0666666666666667
2020-11-24 00:00:00,227,26,0.1145374449339207,15.0,1.0,0.0666666666666667
2020-11-23 00:00:00,622,18,0.0289389067524116,12.0,1.0,0.0833333333333333
2020-11-22 00:00:00,108,15,0.1388888888888889,3.0,0.0,0
2020-11-21 00:00:00,87,9,0.103448275862069,3.0,0.0,0
2020-11-20 00:00:00,667,27,0.04047976011994,15.0,0.0,0
2020-11-19 00:00:00,524,15,0.0286259541984733,10.0,2.0,0.2
2020-11-18 00:00:00,321,32,0.0996884735202492,16.0,2.0,0.125
2020-11-17 00:00:00,275,22,0.08,10.0,1.0,0.1
2020-11-16 00:00:00,605,28,0.0462809917355372,5.0,0.0,0
