date,20-34_Pinal,35-44_Pinal,45-54_Pinal,55-64_Pinal,65+_Pinal,<20_Pinal
1/1/2021,639,991,942,754,533,5
1/10/2021,1179,1726,1740,1471,2288,14
1/11/2021,1228,1809,1826,1537,2467,18
1/12/2021,1318,1923,1949,1637,2748,18
1/13/2021,1427,2061,2102,1810,3157,21
1/14/2021,1526,2244,2261,1959,3680,22
1/15/2021,1646,2400,2440,2093,4059,24
1/16/2021,1705,2490,2541,2182,4677,27
1/17/2021,1724,2522,2583,2218,4732,27
1/18/2021,1789,2635,2654,2311,4953,28
1/19/2021,1861,2710,2740,2394,5458,31
1/2/2021,721,1111,1068,861,613,6
1/20/2021,1938,2839,2846,2517,6229,36
1/21/2021,2033,2972,3015,2686,6976,40
1/22/2021,2182,3139,3202,2874,7731,42
1/23/2021,2267,3304,3365,3030,8324,45
1/24/2021,2304,3337,3426,3060,8485,47
1/25/2021,2385,3407,3518,3183,9081,49
1/26/2021,2461,3488,3615,3299,9652,50
1/27/2021,2574,3615,3776,3488,10376,51
1/28/2021,2650,3731,3896,3639,11389,52
1/29/2021,2761,3855,4035,3825,12392,61
1/3/2021,749,1157,1114,884,635,6
1/30/2021,2831,3947,4168,3984,13177,64
1/31/2021,2867,3969,4200,4014,13330,66
1/4/2021,813,1257,1206,972,863,7
1/5/2021,909,1366,1296,1067,1097,8
1/6/2021,1021,1492,1430,1188,1364,10
1/7/2021,1084,1582,1545,1289,1698,12
1/8/2021,1136,1666,1680,1423,2131,14
1/9/2021,1169,1710,1725,1460,2267,14
10/1/2021,35814,29784,31447,36827,75295,18261
10/10/2021,36487,30206,31740,37021,75539,18613
10/11/2021,36590,30273,31789,37049,75578,18673
10/12/2021,36647,30304,31815,37065,75599,18697
10/13/2021,36705,30339,31845,37080,75620,18726
10/14/2021,36778,30384,31880,37113,75640,18749
10/15/2021,36863,30438,31923,37156,75674,18792
10/16/2021,36911,30466,31950,37173,75688,18819
10/17/2021,36947,30491,31966,37187,75696,18835
10/18/2021,37025,30546,32010,37220,75736,18858
10/19/2021,37087,30581,32040,37246,75761,18902
10/2/2021,35863,29824,31480,36855,75309,18301
10/20/2021,37142,30620,32078,37276,75796,18924
10/21/2021,37208,30658,32106,37305,75818,18953
10/22/2021,37280,30719,32153,37343,75867,18989
10/23/2021,37340,30768,32180,37360,75896,19015
10/24/2021,37366,30783,32195,37369,75919,19029
10/25/2021,37426,30833,32235,37394,75995,19048
10/26/2021,37509,30886,32283,37417,76053,19092
10/27/2021,37600,30944,32326,37459,76117,19126
10/28/2021,37722,31006,32369,37503,76196,19150
10/29/2021,37808,31058,32423,37544,76240,19181
10/3/2021,35913,29852,31495,36865,75316,18319
10/30/2021,37856,31095,32449,37560,76262,19196
10/31/2021,37880,31114,32463,37569,76269,19207
10/4/2021,35997,29913,31538,36887,75369,18376
10/5/2021,36089,29965,31564,36917,75409,18422
10/6/2021,36197,30028,31611,36945,75450,18490
10/7/2021,36278,30077,31639,36967,75492,18526
10/8/2021,36374,30141,31684,36998,75512,18562
10/9/2021,36452,30183,31720,37013,75524,18596
11/1/2021,37934,31156,32493,37601,76339,19234
11/2/2021,37998,31192,32524,37627,76398,19258
11/3/2021,38068,31236,32562,37655,76446,19280
11/4/2021,38112,31270,32591,37683,76508,19301
11/5/2021,38181,31326,32652,37717,76589,19358
11/6/2021,38235,31350,32675,37741,76610,19398
11/7/2021,38266,31364,32688,37752,76627,19412
11/8/2021,38324,31400,32725,37789,76693,19437
11/9/2021,38341,31417,32736,37801,76711,19451
12/1/2020,1,1,2,,1,
12/10/2020,1,1,2,,2,
12/11/2020,1,1,2,,2,
12/12/2020,1,1,2,,2,
12/13/2020,1,1,2,,2,
12/14/2020,1,1,2,,2,
12/15/2020,1,1,2,,2,
12/16/2020,2,2,5,,2,
12/17/2020,10,13,17,4,4,
12/18/2020,20,22,26,9,5,
12/19/2020,24,31,31,15,8,
12/2/2020,1,1,2,,1,
12/20/2020,24,36,32,19,9,
12/21/2020,50,83,77,37,21,1
12/22/2020,109,154,134,82,37,1
12/23/2020,169,243,242,160,70,2
12/24/2020,186,263,259,173,73,2
12/25/2020,186,263,259,173,73,2
12/26/2020,242,361,336,230,96,3
12/27/2020,258,391,352,241,98,3
12/28/2020,319,507,482,338,134,3
12/29/2020,425,672,643,476,189,4
12/3/2020,1,1,2,,1,
12/30/2020,559,891,833,656,318,4
12/31/2020,636,985,937,747,493,5
12/4/2020,1,1,2,,1,
12/5/2020,1,1,2,,1,
12/6/2020,1,1,2,,1,
12/7/2020,1,1,2,,1,
12/8/2020,1,1,2,,1,
12/9/2020,1,1,2,,2,
2/1/2021,2946,4073,4299,4119,14167,71
2/10/2021,3659,4874,5209,5389,24493,100
