date,Greenlee_cume,Greenlee
2020-12-18,2,
2020-12-21,16,14
2020-12-22,42,26
2020-12-23,49,7
2020-12-24,53,4
2020-12-26,54,1
2020-12-28,56,2
2020-12-29,64,8
2020-12-30,85,21
2020-12-31,115,30
2021-01-01,117,2
2021-01-04,118,1
2021-01-05,139,21
2021-01-06,154,15
2021-01-07,192,38
2021-01-08,208,16
2021-01-09,209,1
2021-01-12,248,39
2021-01-13,289,41
2021-01-14,352,63
2021-01-15,367,15
2021-01-16,368,1
2021-01-18,392,24
2021-01-19,429,37
2021-01-20,461,32
2021-01-21,710,249
2021-01-22,897,187
2021-01-23,1252,355
2021-01-24,1260,8
2021-01-25,1305,45
2021-01-26,1309,4
2021-01-27,1389,80
2021-01-28,1644,255
2021-01-29,1776,132
2021-01-30,1778,2
2021-02-01,1804,26
2021-02-02,1873,69
2021-02-03,1906,33
2021-02-04,1989,83
2021-02-05,2142,153
2021-02-06,2145,3
2021-02-08,2163,18
2021-02-09,2201,38
2021-02-10,2301,100
2021-02-11,2445,144
2021-02-12,2635,190
2021-02-13,2640,5
2021-02-15,2678,38
2021-02-16,2758,80
2021-02-17,2906,148
2021-02-18,3163,257
2021-02-19,3169,6
2021-02-20,3171,2
2021-02-22,3231,60
2021-02-23,3539,308
2021-02-24,3696,157
2021-02-25,3824,128
2021-02-26,3977,153
2021-02-28,3992,15
2021-03-01,4019,27
2021-03-02,4169,150
2021-03-03,4220,51
2021-03-04,4261,41
2021-03-05,4403,142
2021-03-06,4404,1
2021-03-07,4405,1
2021-03-08,4445,40
2021-03-09,4517,72
2021-03-10,4599,82
2021-03-11,4665,66
2021-03-12,4776,111
2021-03-13,4782,6
2021-03-15,4893,111
2021-03-16,4918,25
2021-03-17,4973,55
2021-03-18,4998,25
2021-03-19,5037,39
2021-03-20,5038,1
2021-03-22,5044,6
2021-03-23,5057,13
2021-03-24,5066,9
2021-03-25,5107,41
2021-03-26,5157,50
2021-03-27,5161,4
2021-03-28,5170,9
2021-03-29,5178,8
2021-03-30,5232,54
2021-03-31,5240,8
2021-04-01,5300,60
2021-04-02,5327,27
2021-04-03,5328,1
2021-04-05,5344,16
2021-04-06,5369,25
2021-04-07,5386,17
2021-04-08,5442,56
2021-04-09,5480,38
2021-04-10,5483,3
2021-04-11,5484,1
2021-04-12,5529,45
2021-04-13,5543,14
2021-04-14,5559,16
2021-04-15,5585,26
2021-04-16,5618,33
2021-04-17,5619,1
2021-04-19,5622,3
2021-04-20,5640,18
2021-04-21,5647,7
2021-04-22,5678,31
2021-04-23,5681,3
2021-04-24,5684,3
2021-04-26,5689,5
2021-04-27,5721,32
2021-04-28,5729,8
2021-04-29,5738,9
2021-04-30,5759,21
2021-05-01,5762,3
2021-05-03,5763,1
2021-05-04,5781,18
2021-05-05,5790,9
2021-05-06,5805,15
2021-05-07,5809,4
2021-05-08,5811,2
2021-05-10,5827,16
2021-05-11,5828,1
2021-05-12,5845,17
2021-05-13,5864,19
2021-05-14,5870,6
2021-05-16,5873,3
2021-05-17,5875,2
2021-05-18,5888,13
2021-05-19,5893,5
2021-05-20,5915,22
2021-05-21,5946,31
2021-05-22,5959,13
2021-05-23,5960,1
2021-05-24,5962,2
2021-05-25,5979,17
2021-05-26,5982,3
2021-05-27,5993,11
2021-05-28,6004,11
2021-05-29,6006,2
2021-06-01,6023,17
2021-06-02,6025,2
2021-06-03,6038,13
2021-06-04,6043,5
2021-06-05,6044,1
2021-06-07,6047,3
2021-06-08,6053,6
2021-06-09,6056,3
2021-06-10,6063,7
2021-06-11,6066,3
2021-06-12,6073,7
2021-06-14,6075,2
2021-06-15,6088,13
2021-06-16,6091,3
2021-06-17,6110,19
2021-06-18,6115,5
2021-06-19,6119,4
2021-06-20,6120,1
2021-06-21,6123,3
2021-06-22,6132,9
2021-06-24,6135,3
2021-06-25,6142,7
2021-06-26,6144,2
2021-06-28,6146,2
2021-06-29,6158,12
2021-06-30,6159,1
2021-07-01,6170,11
2021-07-02,6175,5
2021-07-06,6178,3
2021-07-07,6184,6
2021-07-08,6193,9
2021-07-09,6196,3
2021-07-11,6198,2
2021-07-12,6208,10
2021-07-13,6210,2
2021-07-14,6213,3
2021-07-15,6221,8
2021-07-16,6222,1
2021-07-19,6225,3
2021-07-20,6240,15
2021-07-21,6243,3
2021-07-22,6254,11
2021-07-23,6272,18
2021-07-24,6275,3
2021-07-25,6278,3
2021-07-26,6286,8
2021-07-27,6292,6
2021-07-28,6300,8
2021-07-29,6324,24
2021-07-30,6332,8
2021-07-31,6335,3
2021-08-01,6336,1
2021-08-02,6343,7
2021-08-03,6356,13
2021-08-04,6372,16
2021-08-05,6388,16
2021-08-06,6398,10
2021-08-07,6403,5
2021-08-08,6405,2
2021-08-09,6420,15
2021-08-10,6435,15
2021-08-11,6441,6
2021-08-12,6487,46
2021-08-13,6508,21
2021-08-14,6513,5
2021-08-15,6514,1
2021-08-16,6532,18
2021-08-17,6571,39
2021-08-18,6589,18
2021-08-19,6625,36
2021-08-20,6673,48
2021-08-21,6768,95
2021-08-22,6769,1
2021-08-23,6794,25
2021-08-24,6813,19
2021-08-25,6833,20
2021-08-26,6878,45
2021-08-27,6909,31
2021-08-28,6914,5
2021-08-30,6952,38
2021-08-31,6977,25
2021-09-01,6987,10
2021-09-02,6999,12
2021-09-03,7022,23
2021-09-04,7024,2
2021-09-07,7040,16
2021-09-08,7060,20
2021-09-09,7105,45
2021-09-10,7138,33
2021-09-11,7202,64
2021-09-12,7203,1
2021-09-13,7214,11
2021-09-14,7237,23
