date,Cochise_cume,Cochise
2020-12-01,3,
2020-12-15,4,1
2020-12-16,5,1
2020-12-17,16,11
2020-12-18,24,8
2020-12-19,31,7
2020-12-21,43,12
2020-12-22,304,261
2020-12-23,719,415
2020-12-24,829,110
2020-12-26,851,22
2020-12-28,935,84
2020-12-29,1009,74
2020-12-30,1214,205
2020-12-31,1408,194
2021-01-01,1438,30
2021-01-02,1451,13
2021-01-03,1528,77
2021-01-04,1575,47
2021-01-05,1661,86
2021-01-06,1763,102
2021-01-07,1832,69
2021-01-08,1985,153
2021-01-09,2358,373
2021-01-10,2373,15
2021-01-11,2650,277
2021-01-12,2899,249
2021-01-13,3334,435
2021-01-14,3634,300
2021-01-15,4101,467
2021-01-16,4503,402
2021-01-17,4526,23
2021-01-18,4735,209
2021-01-19,5136,401
2021-01-20,5803,667
2021-01-21,6412,609
2021-01-22,6745,333
2021-01-23,7315,570
2021-01-24,7434,119
2021-01-25,7852,418
2021-01-26,8317,465
2021-01-27,8997,680
2021-01-28,9955,958
2021-01-29,10635,680
2021-01-30,10673,38
2021-01-31,10789,116
2021-02-01,11112,323
2021-02-02,11352,240
2021-02-03,11896,544
2021-02-04,12355,459
2021-02-05,12912,557
2021-02-06,13102,190
2021-02-07,13133,31
2021-02-08,13564,431
2021-02-09,14383,819
2021-02-10,15681,1298
2021-02-11,17649,1968
2021-02-12,19022,1373
2021-02-13,19355,333
2021-02-14,19370,15
2021-02-15,19701,331
2021-02-16,20364,663
2021-02-17,20861,497
2021-02-18,21524,663
2021-02-19,21891,367
2021-02-20,22261,370
2021-02-21,22385,124
2021-02-22,22665,280
2021-02-23,22882,217
2021-02-24,23741,859
2021-02-25,25747,2006
2021-02-26,27232,1485
2021-02-27,28114,882
2021-02-28,28203,89
2021-03-01,28810,607
2021-03-02,29325,515
2021-03-03,30393,1068
2021-03-04,31958,1565
2021-03-05,33029,1071
2021-03-06,34065,1036
2021-03-07,34135,70
2021-03-08,34661,526
2021-03-09,35629,968
2021-03-10,37163,1534
2021-03-11,39281,2118
2021-03-12,40612,1331
2021-03-13,41464,852
2021-03-14,41510,46
2021-03-15,42407,897
2021-03-16,43318,911
2021-03-17,44203,885
2021-03-18,45570,1367
2021-03-19,46575,1005
2021-03-20,47494,919
2021-03-21,47562,68
2021-03-22,48125,563
2021-03-23,48491,366
2021-03-24,49410,919
2021-03-25,51756,2346
2021-03-26,53174,1418
2021-03-27,54244,1070
2021-03-28,54314,70
2021-03-29,54853,539
2021-03-30,55512,659
2021-03-31,56817,1305
2021-04-01,59006,2189
2021-04-02,60355,1349
2021-04-03,61682,1327
2021-04-04,61739,57
2021-04-05,62316,577
2021-04-06,63103,787
2021-04-07,64555,1452
2021-04-08,66144,1589
2021-04-09,67233,1089
2021-04-10,68010,777
2021-04-11,68110,100
2021-04-12,68809,699
2021-04-13,69355,546
2021-04-14,70307,952
2021-04-15,72162,1855
2021-04-16,73210,1048
2021-04-17,74549,1339
2021-04-18,74620,71
2021-04-19,75251,631
2021-04-20,75763,512
2021-04-21,76725,962
2021-04-22,78243,1518
2021-04-23,79232,989
2021-04-24,80105,873
2021-04-25,80162,57
2021-04-26,80627,465
2021-04-27,81123,496
2021-04-28,82062,939
2021-04-29,83074,1012
2021-04-30,83761,687
2021-05-01,84296,535
2021-05-02,84342,46
2021-05-03,84635,293
2021-05-04,85099,464
2021-05-05,85948,849
2021-05-06,86944,996
2021-05-07,87654,710
2021-05-08,88135,481
2021-05-09,88182,47
2021-05-10,88514,332
2021-05-11,88820,306
2021-05-12,89379,559
2021-05-13,90375,996
2021-05-14,90910,535
2021-05-15,91249,339
2021-05-16,91311,62
2021-05-17,91761,450
2021-05-18,92221,460
2021-05-19,92997,776
2021-05-20,93766,769
2021-05-21,94475,709
2021-05-22,94801,326
2021-05-23,94856,55
2021-05-24,95271,415
2021-05-25,95562,291
2021-05-26,95992,430
2021-05-27,96642,650
2021-05-28,97168,526
2021-05-29,97259,91
2021-05-30,97320,61
2021-05-31,97389,69
2021-06-01,97702,313
2021-06-02,98123,421
2021-06-03,98707,584
2021-06-04,99193,486
2021-06-05,99328,135
2021-06-06,99366,38
2021-06-07,99682,316
