Category,value
Apache,494
Cochise,361
Coconino,371
Gila,268
Graham,121
Greenlee,16
La Paz,100
Maricopa,"12,397"
Mohave,"1,005"
Navajo,643
Pima,"2,789"
Pinal,"1,121"
Santa Cruz,194
Yavapai,727
Yuma,918
Female,8892
Male,12620
20-44y,1145
45-54y,1623
55-64y,3335
65+,15376
<20y,46
"White, non-Hispanic",10985
Hispanic or Latino,6008
"American Indian or Alaska Native, non-Hispanic",1660
"Black or African American, non-Hispanic",661
"Asian or Pacific Islander, non-Hispanic",277
Other Race,603
Unknown,1331
