date,ED_covid,ICU_covid,inpatient_beds_covid,ventilators_covid,deaths,hospitalizations,icu_covid,icu_non_covid,icu_empty,inpatient_covid,inpatient_non_covid,inpatient_empty,vents_in_use,vents_available
2020-09-01,871.0,248.0,752.0,146.0,,1,248.0,1063.0,353.0,752.0,5660.0,1528.0,508.0,1292.0
2020-08-31,832.0,253.0,729.0,150.0,2.0,10,253.0,1036.0,376.0,729.0,5706.0,1501.0,556.0,1315.0
2020-08-30,894.0,256.0,768.0,152.0,2.0,15,256.0,1027.0,377.0,768.0,5643.0,1518.0,547.0,1346.0
2020-08-29,930.0,263.0,757.0,161.0,3.0,26,263.0,1058.0,349.0,757.0,5719.0,1450.0,563.0,1303.0
2020-08-28,904.0,262.0,812.0,164.0,7.0,30,262.0,1055.0,351.0,812.0,5818.0,1315.0,579.0,1296.0
2020-08-27,922.0,272.0,809.0,160.0,4.0,39,272.0,1066.0,354.0,809.0,5869.0,1279.0,554.0,1311.0
2020-08-26,1019.0,311.0,895.0,176.0,11.0,35,311.0,1043.0,337.0,895.0,5732.0,1330.0,583.0,1305.0
2020-08-25,966.0,305.0,967.0,180.0,9.0,23,305.0,1028.0,355.0,967.0,5657.0,1346.0,562.0,1349.0
2020-08-24,900.0,319.0,999.0,168.0,14.0,35,319.0,970.0,389.0,999.0,5384.0,1550.0,573.0,1379.0
2020-08-23,896.0,345.0,908.0,176.0,7.0,31,345.0,971.0,361.0,908.0,5576.0,1460.0,535.0,1392.0
2020-08-22,868.0,329.0,969.0,191.0,13.0,50,329.0,990.0,360.0,969.0,5617.0,1376.0,558.0,1372.0
2020-08-21,992.0,363.0,1046.0,209.0,21.0,59,363.0,956.0,363.0,1046.0,5584.0,1337.0,584.0,1338.0
2020-08-20,982.0,365.0,1068.0,234.0,12.0,84,365.0,951.0,371.0,1068.0,5553.0,1336.0,568.0,1298.0
2020-08-19,1035.0,388.0,1070.0,233.0,14.0,90,388.0,934.0,366.0,1070.0,5535.0,1375.0,602.0,1312.0
2020-08-18,1000.0,414.0,1160.0,250.0,23.0,93,414.0,944.0,349.0,1160.0,5342.0,1495.0,606.0,1290.0
2020-08-17,960.0,427.0,1167.0,260.0,25.0,84,427.0,935.0,348.0,1167.0,5344.0,1486.0,629.0,1299.0
2020-08-16,990.0,430.0,1182.0,266.0,27.0,70,430.0,926.0,345.0,1182.0,5339.0,1469.0,619.0,1339.0
2020-08-15,955.0,417.0,1208.0,267.0,27.0,61,417.0,951.0,340.0,1208.0,5257.0,1528.0,643.0,1317.0
2020-08-14,1053.0,442.0,1282.0,284.0,28.0,71,442.0,889.0,370.0,1282.0,5374.0,1346.0,645.0,1317.0
2020-08-13,1037.0,473.0,1359.0,324.0,45.0,89,473.0,894.0,337.0,1359.0,5246.0,1389.0,689.0,1237.0
2020-08-12,1026.0,497.0,1411.0,334.0,30.0,110,497.0,876.0,340.0,1411.0,5122.0,1459.0,708.0,1227.0
2020-08-11,927.0,519.0,1469.0,328.0,38.0,114,519.0,859.0,351.0,1469.0,5007.0,1517.0,679.0,1245.0
2020-08-10,949.0,510.0,1574.0,346.0,40.0,108,510.0,857.0,361.0,1574.0,4749.0,1657.0,692.0,1232.0
2020-08-09,987.0,506.0,1575.0,366.0,28.0,72,506.0,902.0,322.0,1575.0,4823.0,1585.0,703.0,1246.0
