date,cases
2020-09-01 00:00:00,23
2020-08-31 00:00:00,119
2020-08-30 00:00:00,120
2020-08-29 00:00:00,193
2020-08-28 00:00:00,413
2020-08-27 00:00:00,623
2020-08-26 00:00:00,649
2020-08-25 00:00:00,471
2020-08-24 00:00:00,718
2020-08-23 00:00:00,228
2020-08-22 00:00:00,329
2020-08-21 00:00:00,458
2020-08-20 00:00:00,500
2020-08-19 00:00:00,592
2020-08-18 00:00:00,585
2020-08-17 00:00:00,603
2020-08-16 00:00:00,246
2020-08-15 00:00:00,446
2020-08-14 00:00:00,627
2020-08-13 00:00:00,651
2020-08-12 00:00:00,690
2020-08-11 00:00:00,936
2020-08-10 00:00:00,920
2020-08-09 00:00:00,348
2020-08-08 00:00:00,487
2020-08-07 00:00:00,958
2020-08-06 00:00:00,884
2020-08-05 00:00:00,917
2020-08-04 00:00:00,986
2020-08-03 00:00:00,1252
2020-08-02 00:00:00,501
2020-08-01 00:00:00,664
2020-07-31 00:00:00,1179
2020-07-30 00:00:00,1694
2020-07-29 00:00:00,1303
2020-07-28 00:00:00,1571
2020-07-27 00:00:00,1672
2020-07-26 00:00:00,742
2020-07-25 00:00:00,1135
2020-07-24 00:00:00,1810
2020-07-23 00:00:00,1777
2020-07-22 00:00:00,1844
2020-07-21 00:00:00,2088
2020-07-20 00:00:00,2275
2020-07-19 00:00:00,918
2020-07-18 00:00:00,1569
2020-07-17 00:00:00,2629
2020-07-16 00:00:00,2656
2020-07-15 00:00:00,3120
2020-07-14 00:00:00,3510
2020-07-13 00:00:00,3586
2020-07-12 00:00:00,1527
2020-07-11 00:00:00,2144
2020-07-10 00:00:00,3745
2020-07-09 00:00:00,4139
2020-07-08 00:00:00,4632
2020-07-07 00:00:00,4804
2020-07-06 00:00:00,4946
2020-07-05 00:00:00,1916
2020-07-04 00:00:00,1651
2020-07-03 00:00:00,3207
2020-07-02 00:00:00,4855
2020-07-01 00:00:00,5078
2020-06-30 00:00:00,5336
2020-06-29 00:00:00,5479
2020-06-28 00:00:00,2156
2020-06-27 00:00:00,3016
2020-06-26 00:00:00,4723
2020-06-25 00:00:00,4735
2020-06-24 00:00:00,4607
2020-06-23 00:00:00,4349
2020-06-22 00:00:00,4370
2020-06-21 00:00:00,1825
2020-06-20 00:00:00,2560
2020-06-19 00:00:00,3788
2020-06-18 00:00:00,3561
2020-06-17 00:00:00,3359
2020-06-16 00:00:00,3025
2020-06-15 00:00:00,3029
2020-06-14 00:00:00,1100
2020-06-13 00:00:00,1607
2020-06-12 00:00:00,2310
2020-06-11 00:00:00,2082
2020-06-10 00:00:00,2075
2020-06-09 00:00:00,1984
2020-06-08 00:00:00,1914
2020-06-07 00:00:00,730
2020-06-06 00:00:00,867
2020-06-05 00:00:00,1424
2020-06-04 00:00:00,1389
2020-06-03 00:00:00,1338
2020-06-02 00:00:00,1320
2020-06-01 00:00:00,1179
2020-05-31 00:00:00,378
2020-05-30 00:00:00,745
2020-05-29 00:00:00,914
2020-05-28 00:00:00,855
2020-05-27 00:00:00,807
2020-05-26 00:00:00,785
2020-05-25 00:00:00,312
2020-05-24 00:00:00,264
2020-05-23 00:00:00,375
2020-05-22 00:00:00,545
2020-05-21 00:00:00,547
2020-05-20 00:00:00,524
2020-05-19 00:00:00,444
2020-05-18 00:00:00,550
2020-05-17 00:00:00,128
2020-05-16 00:00:00,485
2020-05-15 00:00:00,570
2020-05-14 00:00:00,495
2020-05-13 00:00:00,405
2020-05-12 00:00:00,489
2020-05-11 00:00:00,526
2020-05-10 00:00:00,182
2020-05-09 00:00:00,428
2020-05-08 00:00:00,387
2020-05-07 00:00:00,460
2020-05-06 00:00:00,432
2020-05-05 00:00:00,446
2020-05-04 00:00:00,496
2020-05-03 00:00:00,154
2020-05-02 00:00:00,307
2020-05-01 00:00:00,351
2020-04-30 00:00:00,420
2020-04-29 00:00:00,393
2020-04-28 00:00:00,392
2020-04-27 00:00:00,446
2020-04-26 00:00:00,139
2020-04-25 00:00:00,156
2020-04-24 00:00:00,348
2020-04-23 00:00:00,223
2020-04-22 00:00:00,255
2020-04-21 00:00:00,239
2020-04-20 00:00:00,415
2020-04-19 00:00:00,119
2020-04-18 00:00:00,145
2020-04-17 00:00:00,248
2020-04-16 00:00:00,267
2020-04-15 00:00:00,230
2020-04-14 00:00:00,247
2020-04-13 00:00:00,273
2020-04-12 00:00:00,89
2020-04-11 00:00:00,99
2020-04-10 00:00:00,193
