Category,value
tests,14371784
day,
pos,
est_pos,
total_pos,
APACHE,79986
COCHISE,168357
COCONINO,374116
GILA,98824
GRAHAM,33582
GREENLEE,3669
LA PAZ,27421
MARICOPA,8687078
MOHAVE,304306
NAVAJO,186652
PIMA,2281820
PINAL,923099
SANTA CRUZ,79245
YAVAPAI,305851
YUMA,316745
0_5,
Less than 20 years,2538609
20 - 44 years,6074684
45 - 54 years,1878578
55 - 64 years,1740766
65 years and older,2097069
Unknown,42078
positive,0.097980737812369
