date,Mohave_cume,Mohave
2020-12-01,1,
2020-12-12,2,1
2020-12-16,4,2
2020-12-18,6,2
2020-12-21,18,12
2020-12-22,79,61
2020-12-23,289,210
2020-12-24,423,134
2020-12-26,587,164
2020-12-27,648,61
2020-12-28,917,269
2020-12-29,1298,381
2020-12-30,1636,338
2020-12-31,1912,276
2021-01-01,1979,67
2021-01-02,2028,49
2021-01-03,2054,26
2021-01-04,2242,188
2021-01-05,2375,133
2021-01-06,2627,252
2021-01-07,2879,252
2021-01-08,3136,257
2021-01-09,3192,56
2021-01-10,3241,49
2021-01-11,3440,199
2021-01-12,3725,285
2021-01-13,4031,306
2021-01-14,4414,383
2021-01-15,4827,413
2021-01-16,5182,355
2021-01-17,5213,31
2021-01-18,5579,366
2021-01-19,5908,329
2021-01-20,6473,565
2021-01-21,6919,446
2021-01-22,7335,416
2021-01-23,8141,806
2021-01-24,8758,617
2021-01-25,9313,555
2021-01-26,9939,626
2021-01-27,10749,810
2021-01-28,11661,912
2021-01-29,12187,526
2021-01-30,12648,461
2021-01-31,13177,529
2021-02-01,13851,674
2021-02-02,14465,614
2021-02-03,15607,1142
2021-02-04,16317,710
2021-02-05,16979,662
2021-02-06,17319,340
2021-02-07,17505,186
2021-02-08,17902,397
2021-02-09,18345,443
2021-02-10,19306,961
2021-02-11,19945,639
2021-02-12,20849,904
2021-02-13,21348,499
2021-02-14,21457,109
2021-02-15,21998,541
2021-02-16,22566,568
2021-02-17,23102,536
2021-02-18,23482,380
2021-02-19,23898,416
2021-02-20,24057,159
2021-02-21,24120,63
2021-02-22,24427,307
2021-02-23,24666,239
2021-02-24,25412,746
2021-02-25,26433,1021
2021-02-26,27322,889
2021-02-27,28145,823
2021-02-28,28664,519
2021-03-01,29538,874
2021-03-02,30487,949
2021-03-03,32732,2245
2021-03-04,34228,1496
2021-03-05,35776,1548
2021-03-06,36602,826
2021-03-07,37030,428
2021-03-08,37826,796
2021-03-09,38786,960
2021-03-10,40711,1925
2021-03-11,42300,1589
2021-03-12,43709,1409
2021-03-13,44533,824
2021-03-14,44902,369
2021-03-15,45705,803
2021-03-16,46706,1001
2021-03-17,48495,1789
2021-03-18,49809,1314
2021-03-19,50993,1184
2021-03-20,52160,1167
2021-03-21,52705,545
2021-03-22,53963,1258
2021-03-23,55185,1222
2021-03-24,56713,1528
2021-03-25,58119,1406
2021-03-26,59653,1534
2021-03-27,60661,1008
2021-03-28,61469,808
2021-03-29,63003,1534
2021-03-30,64509,1506
2021-03-31,66744,2235
2021-04-01,68466,1722
2021-04-02,69976,1510
2021-04-03,70697,721
2021-04-04,70989,292
2021-04-05,72197,1208
2021-04-06,73558,1361
2021-04-07,75244,1686
2021-04-08,76732,1488
2021-04-09,78337,1605
2021-04-10,79307,970
2021-04-11,79741,434
2021-04-12,81731,1990
2021-04-13,82795,1064
2021-04-14,84521,1726
2021-04-15,86027,1506
2021-04-16,87281,1254
2021-04-17,88159,878
2021-04-18,88590,431
2021-04-19,89616,1026
2021-04-20,90782,1166
2021-04-21,92156,1374
2021-04-22,93424,1268
2021-04-23,94719,1295
2021-04-24,95502,783
2021-04-25,95830,328
2021-04-26,97023,1193
2021-04-27,98374,1351
2021-04-28,99624,1250
2021-04-29,100788,1164
2021-04-30,102001,1213
2021-05-01,102663,662
2021-05-02,102905,242
2021-05-03,103720,815
2021-05-04,104580,860
2021-05-05,105520,940
2021-05-06,106329,809
2021-05-07,107173,844
2021-05-08,107765,592
2021-05-09,107902,137
2021-05-10,108485,583
2021-05-11,109091,606
2021-05-12,109625,534
2021-05-13,110395,770
2021-05-14,111084,689
2021-05-15,111497,413
2021-05-16,111667,170
2021-05-17,112905,1238
2021-05-18,113502,597
2021-05-19,114163,661
2021-05-20,114851,688
2021-05-21,115526,675
2021-05-22,115892,366
2021-05-23,116020,128
2021-05-24,116465,445
2021-05-25,116915,450
2021-05-26,117285,370
2021-05-27,117680,395
2021-05-28,118202,522
2021-05-29,118336,134
2021-05-30,118407,71
2021-05-31,118482,75
2021-06-01,118933,451
2021-06-02,119289,356
2021-06-03,119632,343
2021-06-04,120040,408
2021-06-05,120247,207
2021-06-06,120322,75
2021-06-07,120732,410
2021-06-08,121006,274
2021-06-09,121428,422
2021-06-10,121775,347
2021-06-11,122219,444
2021-06-12,122491,272
2021-06-13,122578,87
2021-06-14,122892,314
2021-06-15,123242,350
2021-06-16,123560,318
2021-06-17,123816,256
2021-06-18,124169,353
2021-06-19,124348,179
2021-06-20,124439,91
2021-06-21,124673,234
2021-06-22,124929,256
2021-06-23,125193,264
2021-06-24,125414,221
2021-06-25,125735,321
2021-06-26,125876,141
2021-06-27,125944,68
2021-06-28,126153,209
2021-06-29,126385,232
2021-06-30,126647,262
2021-07-01,126886,239
2021-07-02,127197,311
2021-07-03,127294,97
2021-07-04,127318,24
2021-07-05,127508,190
2021-07-06,127710,202
2021-07-07,127921,211
2021-07-08,128150,229
2021-07-09,128427,277
2021-07-10,128612,185
2021-07-11,128680,68
2021-07-12,128911,231
