date,pcr_tests_GRAHAM,pcr_pos_tests_GRAHAM,pcr_positivity_GRAHAM,ser_tests_GRAHAM,ser_pos_tests_GRAHAM,ser_positivity_GRAHAM
2021-09-06 00:00:00,3,1,0.3333333333333333,,,
2021-09-05 00:00:00,11,3,0.2727272727272727,,,
2021-09-04 00:00:00,9,2,0.2222222222222222,,,
2021-09-03 00:00:00,43,13,0.3023255813953488,,,
2021-09-02 00:00:00,53,17,0.3207547169811321,,,
2021-09-01 00:00:00,72,12,0.1666666666666667,2,2,1
2021-08-31 00:00:00,84,11,0.130952380952381,1,0,0
2021-08-30 00:00:00,102,17,0.1666666666666667,1,0,0
2021-08-29 00:00:00,6,3,0.5,,,
2021-08-28 00:00:00,8,1,0.125,,,
2021-08-27 00:00:00,80,26,0.325,1,1,1
2021-08-26 00:00:00,75,12,0.16,1,0,0
2021-08-25 00:00:00,94,15,0.1595744680851064,1,1,1
2021-08-24 00:00:00,100,14,0.14,1,0,0
2021-08-23 00:00:00,103,22,0.2135922330097087,1,1,1
2021-08-22 00:00:00,5,1,0.2,,,
2021-08-21 00:00:00,7,2,0.2857142857142857,,,
2021-08-20 00:00:00,137,14,0.1021897810218978,,,
2021-08-19 00:00:00,57,7,0.1228070175438597,2,2,1
2021-08-18 00:00:00,58,13,0.2241379310344828,,,
2021-08-17 00:00:00,52,9,0.1730769230769231,3,1,0.3333333333333333
2021-08-16 00:00:00,74,10,0.1351351351351352,3,3,1
2021-08-15 00:00:00,6,1,0.1666666666666667,,,
2021-08-14 00:00:00,6,2,0.3333333333333333,,,
2021-08-13 00:00:00,40,7,0.175,,,
2021-08-12 00:00:00,35,5,0.1428571428571429,,,
2021-08-11 00:00:00,37,4,0.1081081081081081,2,2,1
2021-08-10 00:00:00,36,3,0.0833333333333333,,,
2021-08-09 00:00:00,32,5,0.15625,2,0,0
2021-08-08 00:00:00,12,1,0.0833333333333333,,,
2021-08-07 00:00:00,11,1,0.0909090909090909,,,
