date,20-34_Pinal,35-44_Pinal,45-54_Pinal,55-64_Pinal,65+_Pinal,<20_Pinal
1/1/2021,647,992,932,751,498,5
1/10/2021,1198,1728,1713,1466,2243,17
1/11/2021,1248,1812,1799,1531,2421,21
1/12/2021,1341,1928,1917,1631,2702,22
1/13/2021,1454,2069,2064,1808,3108,25
1/14/2021,1554,2257,2222,1955,3628,26
1/15/2021,1677,2414,2397,2091,4001,28
1/16/2021,1738,2505,2495,2183,4621,31
1/17/2021,1757,2537,2538,2218,4675,31
1/18/2021,1822,2652,2606,2310,4893,32
1/19/2021,1896,2728,2689,2394,5396,35
1/2/2021,730,1110,1056,858,576,7
1/20/2021,1972,2857,2798,2516,6164,40
1/21/2021,2067,2991,2969,2684,6910,45
1/22/2021,2216,3160,3155,2870,7663,49
1/23/2021,2302,3327,3315,3026,8254,52
1/24/2021,2339,3361,3376,3055,8415,54
1/25/2021,2421,3428,3469,3177,9009,57
1/26/2021,2497,3515,3562,3291,9580,58
1/27/2021,2612,3641,3724,3478,10303,60
1/28/2021,2688,3759,3844,3629,11314,61
1/29/2021,2800,3885,3980,3821,12309,71
1/3/2021,759,1156,1099,881,598,7
1/30/2021,2871,3977,4116,3977,13090,74
1/31/2021,2907,4000,4148,4008,13240,76
1/4/2021,826,1254,1191,969,823,8
1/5/2021,922,1366,1276,1066,1053,9
1/6/2021,1037,1494,1406,1188,1317,11
1/7/2021,1099,1586,1518,1288,1653,13
1/8/2021,1153,1669,1654,1419,2086,16
1/9/2021,1187,1713,1698,1455,2222,17
12/1/2020,,,1,1,,
12/10/2020,,,1,1,1,
12/11/2020,,,1,1,1,
12/12/2020,,,1,1,1,
12/13/2020,,,1,1,1,
12/14/2020,,,1,1,1,
12/15/2020,,,1,1,1,
12/16/2020,1,1,4,1,1,
12/17/2020,9,13,15,6,2,
12/18/2020,19,22,23,11,3,
12/19/2020,23,31,29,16,6,
12/2/2020,,,1,1,,
12/20/2020,23,35,30,18,7,
12/21/2020,49,82,74,35,19,1
12/22/2020,109,153,131,80,34,1
12/23/2020,168,245,237,157,66,2
12/24/2020,185,264,254,171,68,2
12/25/2020,185,264,254,171,68,2
12/26/2020,242,362,330,228,91,3
12/27/2020,258,391,346,239,93,3
12/28/2020,321,505,477,335,128,3
12/29/2020,429,672,637,474,180,4
12/3/2020,,,1,1,,
12/30/2020,565,895,824,655,304,4
12/31/2020,644,988,928,747,476,5
12/4/2020,,,1,1,,
12/5/2020,,,1,1,,
12/6/2020,,,1,1,,
12/7/2020,,,1,1,,
12/8/2020,,,1,1,,
12/9/2020,,,1,1,1,
2/1/2021,2987,4103,4241,4113,14062,82
2/10/2021,3711,4900,5148,5404,24334,117
2/11/2021,3781,4966,5230,5546,26079,120
2/12/2021,3885,5077,5368,5737,28100,126
2/13/2021,4085,5316,5633,5969,29573,138
2/14/2021,4114,5357,5683,6026,29919,139
2/15/2021,4164,5400,5732,6112,30701,144
2/16/2021,4240,5468,5781,6189,31708,153
2/17/2021,4321,5524,5837,6285,32745,160
2/18/2021,4393,5582,5895,6346,33874,173
2/19/2021,4463,5652,5963,6420,34505,182
2/2/2021,3060,4196,4360,4273,14980,82
2/20/2021,4603,5744,6052,6492,35004,202
2/21/2021,4615,5757,6064,6515,35279,203
2/22/2021,4648,5797,6090,6571,35695,207
2/23/2021,4687,5837,6139,6636,36291,209
2/24/2021,4742,5903,6196,6708,37300,214
2/25/2021,4829,5995,6290,6900,38933,222
2/26/2021,4915,6082,6386,7074,40728,229
2/27/2021,4963,6115,6433,7153,41265,232
2/28/2021,4975,6128,6457,7206,41625,232
2/3/2021,3175,4341,4490,4415,16008,86
2/4/2021,3250,4443,4600,4540,17040,91
2/5/2021,3408,4597,4775,4731,18101,95
2/6/2021,3467,4675,4866,4890,19475,103
2/7/2021,3486,4680,4881,4919,19836,103
2/8/2021,3541,4734,4953,5052,21139,104
2/9/2021,3594,4803,5038,5239,22581,109
3/1/2021,5026,6187,6543,7410,42732,236
3/10/2021,5683,6846,7430,12026,51362,298
3/11/2021,5855,7081,7631,13058,52545,305
3/12/2021,6001,7171,7809,13790,53372,316
3/13/2021,6087,7260,7896,14238,53750,322
3/14/2021,6128,7296,7964,14609,53956,327
3/15/2021,6231,7373,8122,15398,54510,339
3/16/2021,6357,7516,8334,16264,55359,348
3/17/2021,6583,7702,8611,17181,56247,363
3/18/2021,6777,7890,8888,18062,57239,374
3/19/2021,7044,8161,9226,18827,57949,408
3/2/2021,5080,6245,6644,7623,44016,244
3/20/2021,7169,8292,9456,19172,58331,424
3/21/2021,7276,8431,9633,19472,58582,438
