date,20-34_Pima,35-44_Pima,45-54_Pima,55-64_Pima,65+_Pima,<20_Pima
1/1/2021,4336,4479,3735,3530,2306,26
1/10/2021,6613,6472,5607,5458,4876,59
1/11/2021,6926,6750,5876,5747,5267,70
1/12/2021,7255,7011,6142,6008,5790,78
1/13/2021,7470,7251,6384,6257,6243,87
1/14/2021,7774,7560,6704,6549,6676,92
1/15/2021,8399,8128,7288,7113,7993,100
1/16/2021,8639,8322,7472,7278,8271,103
1/17/2021,8722,8380,7518,7336,8405,106
1/18/2021,9065,8690,7837,7628,9977,112
1/19/2021,9436,8976,8162,7954,11651,122
1/2/2021,4509,4604,3836,3643,2430,27
1/20/2021,9932,9521,8675,8435,13795,133
1/21/2021,10333,9963,9169,8920,16907,142
1/22/2021,11031,10644,9919,9664,19970,155
1/23/2021,11309,10879,10112,9864,21767,160
1/24/2021,11452,11009,10223,9970,22091,163
1/25/2021,12171,11650,10967,10723,25357,178
1/26/2021,12882,12226,11628,11372,28397,187
1/27/2021,13604,12822,12293,12095,31580,195
1/28/2021,14445,13461,12969,12815,34920,208
1/29/2021,15366,14189,13699,13569,38010,227
1/3/2021,4597,4697,3906,3699,2483,29
1/30/2021,16017,14621,14053,13969,40739,233
1/31/2021,16187,14732,14169,14105,41491,237
1/4/2021,4936,5019,4168,3983,2744,38
1/5/2021,5272,5342,4433,4268,3063,41
1/6/2021,5687,5682,4855,4636,3402,48
1/7/2021,5990,5915,5065,4916,3815,52
1/8/2021,6264,6199,5352,5195,4074,55
1/9/2021,6515,6374,5521,5382,4803,59
10/1/2021,130344,83348,82766,99959,199526,58039
10/10/2021,131749,84084,83277,100407,200044,58750
10/11/2021,131943,84198,83351,100471,200123,58864
10/12/2021,132059,84250,83383,100490,200162,58919
10/13/2021,132199,84332,83439,100538,200222,58997
10/14/2021,132408,84434,83509,100599,200304,59087
10/15/2021,132642,84542,83618,100671,200370,59184
10/16/2021,132754,84599,83655,100710,200404,59223
10/17/2021,132835,84636,83681,100722,200419,59262
10/18/2021,133022,84741,83748,100787,200474,59327
10/19/2021,133151,84821,83821,100847,200549,59402
10/2/2021,130448,83405,82814,99991,199561,58110
10/20/2021,133300,84886,83892,100899,200606,59477
10/21/2021,133451,84966,83983,100957,200654,59553
10/22/2021,133642,85070,84059,101038,200786,59632
10/23/2021,133746,85117,84097,101086,200874,59688
10/24/2021,133799,85142,84115,101110,200931,59730
10/25/2021,133968,85219,84172,101173,201138,59791
10/26/2021,134116,85327,84252,101261,201343,59875
10/27/2021,134302,85444,84332,101340,201543,60054
