Category,value
Apache,497
Cochise,364
Coconino,373
Gila,268
Graham,121
Greenlee,16
La Paz,102
Maricopa,"12,459"
Mohave,"1,008"
Navajo,648
Pima,"2,807"
Pinal,"1,133"
Santa Cruz,195
Yavapai,739
Yuma,921
Female,8949
Male,12689
20-44y,1153
45-54y,1639
55-64y,3357
65+,15454
<20y,48
"White, non-Hispanic",11045
Hispanic or Latino,6032
"American Indian or Alaska Native, non-Hispanic",1667
"Black or African American, non-Hispanic",666
"Asian or Pacific Islander, non-Hispanic",277
Other Race,608
Unknown,1356
