date,20-34,35-44,45-54,55-64,65+,<20
1/1/2021,21172,22650,20567,17921,11799,211
1/10/2021,34925,34752,32634,29537,28374,499
1/11/2021,36865,36564,34581,31200,32101,560
1/12/2021,39685,39249,37365,33708,39600,678
1/13/2021,42475,42163,40442,36407,48303,774
1/14/2021,45257,45203,43666,39392,57604,846
1/15/2021,48760,48437,47025,42502,66671,971
1/16/2021,50569,50016,48693,44109,72021,1019
1/17/2021,51684,51036,49766,45199,75461,1063
1/18/2021,53338,52574,51504,46929,83212,1112
1/19/2021,55384,54452,53531,49107,93230,1213
1/2/2021,23088,24343,22098,19333,12799,244
1/20/2021,57807,56961,56455,52038,105418,1344
1/21/2021,60523,59832,59788,55506,121058,1496
1/22/2021,65041,63979,64405,60364,136663,1671
1/23/2021,68357,66749,67503,63531,147146,1826
1/24/2021,69899,68141,69023,65216,154772,1881
1/25/2021,72303,70289,71625,68154,168335,1967
1/26/2021,75244,72808,74527,71406,185548,2085
1/27/2021,78375,75424,77468,74766,204413,2191
1/28/2021,81424,78005,80434,78410,225618,2341
1/29/2021,85295,81133,83794,82171,245500,2560
1/3/2021,23991,25084,22743,19880,13135,266
1/30/2021,88123,83270,86124,84639,256893,2750
1/31/2021,89032,84010,86991,85669,262846,2799
1/4/2021,25724,26718,24331,21356,14978,292
1/5/2021,27521,28356,25904,22909,17057,329
1/6/2021,29738,30302,27938,24924,20076,398
1/7/2021,31555,31925,29709,26706,23373,436
1/8/2021,33286,33479,31372,28354,25758,465
1/9/2021,34388,34311,32215,29145,27921,492
12/1/2020,31,21,25,17,28,1
12/10/2020,43,29,38,35,49,2
12/11/2020,43,32,40,40,51,2
12/12/2020,44,32,42,43,52,2
12/13/2020,45,33,44,44,54,2
12/14/2020,46,37,47,45,61,2
12/15/2020,55,48,60,59,69,2
12/16/2020,163,195,219,180,125,2
12/17/2020,791,1026,1012,832,374,9
12/18/2020,1651,2030,1850,1484,663,10
12/19/2020,2274,2745,2425,1917,861,15
12/2/2020,34,22,27,21,33,2
12/20/2020,2486,3008,2678,2128,954,17
12/21/2020,3854,4429,3937,3096,1426,26
12/22/2020,5716,6470,5738,4532,2054,35
12/23/2020,7987,9028,7972,6346,2937,53
12/24/2020,8957,9997,8782,7081,3285,56
12/25/2020,8995,10031,8809,7106,3301,56
12/26/2020,10521,11757,10237,8373,3845,70
12/27/2020,11146,12410,10842,8880,4091,81
12/28/2020,13296,14580,12836,10723,5302,106
12/29/2020,16161,17517,15556,13235,7431,154
12/3/2020,37,22,30,23,36,2
12/30/2020,19329,20848,18760,16208,9712,186
12/31/2020,21032,22511,20403,17738,11083,205
12/4/2020,37,22,32,26,37,2
12/5/2020,38,22,32,26,38,2
12/6/2020,39,22,32,27,38,2
12/7/2020,39,24,36,28,39,2
12/8/2020,40,25,36,31,40,2
