date,pcr_tests_APACHE,pcr_pos_tests_APACHE,pcr_positivity_APACHE,ser_tests_APACHE,ser_pos_tests_APACHE,ser_positivity_APACHE
2021-05-20 00:00:00,42,1,0.0238095238095238,3.0,2.0,0.6666666666666666
2021-05-19 00:00:00,55,0,0,,,
2021-05-18 00:00:00,64,3,0.046875,1.0,0.0,0
2021-05-17 00:00:00,51,0,0,1.0,0.0,0
2021-05-16 00:00:00,26,1,0.0384615384615385,,,
2021-05-15 00:00:00,15,0,0,,,
2021-05-14 00:00:00,48,1,0.0208333333333333,4.0,1.0,0.25
2021-05-13 00:00:00,57,2,0.0350877192982456,1.0,0.0,0
2021-05-12 00:00:00,65,4,0.0615384615384615,3.0,2.0,0.6666666666666666
2021-05-11 00:00:00,62,2,0.032258064516129,2.0,1.0,0.5
2021-05-10 00:00:00,99,6,0.0606060606060606,1.0,0.0,0
2021-05-09 00:00:00,21,3,0.1428571428571429,,,
2021-05-08 00:00:00,11,1,0.0909090909090909,,,
2021-05-07 00:00:00,59,4,0.0677966101694915,,,
2021-05-06 00:00:00,42,2,0.0476190476190476,,,
2021-05-05 00:00:00,61,2,0.0327868852459016,,,
2021-05-04 00:00:00,78,0,0,,,
2021-05-03 00:00:00,87,3,0.0344827586206897,3.0,2.0,0.6666666666666666
2021-05-02 00:00:00,10,1,0.1,,,
2021-05-01 00:00:00,18,2,0.1111111111111111,1.0,1.0,1
2021-04-30 00:00:00,74,1,0.0135135135135135,,,
2021-04-29 00:00:00,43,3,0.0697674418604651,2.0,2.0,1
2021-04-28 00:00:00,40,0,0,3.0,3.0,1
2021-04-27 00:00:00,149,2,0.0134228187919463,33.0,23.0,0.696969696969697
2021-04-26 00:00:00,73,1,0.0136986301369863,11.0,6.0,0.5454545454545454
2021-04-25 00:00:00,14,0,0,,,
2021-04-24 00:00:00,31,0,0,2.0,2.0,1
2021-04-23 00:00:00,63,2,0.0317460317460317,5.0,3.0,0.6
2021-04-22 00:00:00,80,1,0.0125,2.0,0.0,0
2021-04-21 00:00:00,71,0,0,92.0,47.0,0.5108695652173914
2021-04-20 00:00:00,102,1,0.0098039215686275,3.0,1.0,0.3333333333333333
2021-04-19 00:00:00,81,2,0.0246913580246914,3.0,1.0,0.3333333333333333
2021-04-18 00:00:00,36,1,0.0277777777777778,,,
2021-04-17 00:00:00,21,0,0,2.0,2.0,1
2021-04-16 00:00:00,68,5,0.0735294117647059,3.0,0.0,0
2021-04-15 00:00:00,73,2,0.0273972602739726,2.0,0.0,0
2021-04-14 00:00:00,68,0,0,10.0,7.0,0.7
2021-04-13 00:00:00,92,3,0.0326086956521739,1.0,0.0,0
2021-04-12 00:00:00,68,1,0.0147058823529412,3.0,2.0,0.6666666666666666
2021-04-11 00:00:00,40,0,0,1.0,1.0,1
2021-04-10 00:00:00,29,0,0,2.0,2.0,1
2021-04-09 00:00:00,69,0,0,1.0,0.0,0
2021-04-08 00:00:00,106,2,0.0188679245283019,,,
2021-04-07 00:00:00,66,2,0.0303030303030303,3.0,0.0,0
2021-04-06 00:00:00,124,1,0.0080645161290323,4.0,4.0,1
2021-04-05 00:00:00,80,3,0.0375,7.0,4.0,0.5714285714285714
2021-04-04 00:00:00,18,1,0.0555555555555556,,,
2021-04-03 00:00:00,28,1,0.0357142857142857,,,
2021-04-02 00:00:00,47,2,0.0425531914893617,,,
2021-04-01 00:00:00,66,2,0.0303030303030303,,,
2021-03-31 00:00:00,74,1,0.0135135135135135,2.0,2.0,1
