Category,value
Apache,498
Cochise,366
Coconino,374
Gila,269
Graham,121
Greenlee,17
La Paz,102
Maricopa,"12,490"
Mohave,"1,010"
Navajo,653
Pima,"2,827"
Pinal,"1,141"
Santa Cruz,195
Yavapai,750
Yuma,923
Female,8978
Male,12745
20-44y,1157
45-54y,1652
55-64y,3378
65+,15501
<20y,48
"White, non-Hispanic",11099
Hispanic or Latino,6061
"American Indian or Alaska Native, non-Hispanic",1672
"Black or African American, non-Hispanic",666
"Asian or Pacific Islander, non-Hispanic",277
Other Race,605
Unknown,1356
