date,pcr_tests_GILA,pcr_pos_tests_GILA,pcr_positivity_GILA,ser_tests_GILA,ser_pos_tests_GILA,ser_positivity_GILA
2021-04-06 00:00:00,123,1,0.008130081300813,1,1,1
2021-04-05 00:00:00,55,0,0,5,2,0.4
2021-04-04 00:00:00,13,0,0,,,
2021-04-03 00:00:00,16,2,0.125,1,1,1
2021-04-02 00:00:00,34,1,0.0294117647058824,4,2,0.5
2021-04-01 00:00:00,35,1,0.0285714285714286,1,1,1
2021-03-31 00:00:00,43,2,0.0465116279069767,,,
2021-03-30 00:00:00,33,2,0.0606060606060606,,,
2021-03-29 00:00:00,84,3,0.0357142857142857,6,3,0.5
2021-03-28 00:00:00,15,0,0,1,0,0
2021-03-27 00:00:00,15,1,0.0666666666666667,,,
2021-03-26 00:00:00,41,1,0.024390243902439,3,1,0.3333333333333333
2021-03-25 00:00:00,75,3,0.04,4,3,0.75
2021-03-24 00:00:00,88,9,0.1022727272727273,6,4,0.6666666666666666
2021-03-23 00:00:00,40,3,0.075,1,0,0
2021-03-22 00:00:00,84,8,0.0952380952380952,6,3,0.5
2021-03-21 00:00:00,25,1,0.04,,,
2021-03-20 00:00:00,21,2,0.0952380952380952,,,
2021-03-19 00:00:00,37,0,0,4,2,0.5
2021-03-18 00:00:00,36,2,0.0555555555555556,9,4,0.4444444444444444
2021-03-17 00:00:00,39,1,0.0256410256410256,1,0,0
2021-03-16 00:00:00,39,0,0,4,3,0.75
2021-03-15 00:00:00,66,4,0.0606060606060606,3,1,0.3333333333333333
2021-03-14 00:00:00,11,0,0,,,
2021-03-13 00:00:00,16,0,0,,,
2021-03-12 00:00:00,51,3,0.0588235294117647,,,
2021-03-11 00:00:00,44,3,0.0681818181818182,3,1,0.3333333333333333
2021-03-10 00:00:00,45,6,0.1333333333333333,3,1,0.3333333333333333
2021-03-09 00:00:00,47,4,0.0851063829787234,24,16,0.6666666666666666
2021-03-08 00:00:00,66,1,0.0151515151515152,2,0,0
2021-03-07 00:00:00,12,1,0.0833333333333333,,,
2021-03-06 00:00:00,18,3,0.1666666666666667,,,
2021-03-05 00:00:00,42,0,0,7,2,0.2857142857142857
2021-03-04 00:00:00,51,0,0,2,1,0.5
2021-03-03 00:00:00,41,1,0.024390243902439,1,0,0
2021-03-02 00:00:00,43,5,0.1162790697674419,7,3,0.4285714285714286
2021-03-01 00:00:00,44,1,0.0227272727272727,4,3,0.75
2021-02-28 00:00:00,15,1,0.0666666666666667,,,
2021-02-27 00:00:00,25,5,0.2,,,
2021-02-26 00:00:00,54,6,0.1111111111111111,5,4,0.8
2021-02-25 00:00:00,57,1,0.0175438596491228,3,2,0.6666666666666666
2021-02-24 00:00:00,58,5,0.0862068965517241,3,0,0
2021-02-23 00:00:00,75,5,0.0666666666666667,3,1,0.3333333333333333
2021-02-22 00:00:00,77,8,0.1038961038961039,5,4,0.8
2021-02-21 00:00:00,22,2,0.0909090909090909,,,
2021-02-20 00:00:00,27,2,0.0740740740740741,2,1,0.5
2021-02-19 00:00:00,68,7,0.1029411764705882,6,1,0.1666666666666667
2021-02-18 00:00:00,55,7,0.1272727272727273,3,1,0.3333333333333333
2021-02-17 00:00:00,68,3,0.0441176470588235,2,2,1
2021-02-16 00:00:00,91,9,0.0989010989010989,6,3,0.5
