date,pcr_tests_COCHISE,pcr_pos_test_COCHISE,pcr_positivity_COCHISE
2021-11-10 00:00:00,7,1,0.1428571428571429
2021-11-09 00:00:00,154,14,0.0909090909090909
2021-11-08 00:00:00,454,72,0.1585903083700441
2021-11-07 00:00:00,158,23,0.1455696202531646
2021-11-06 00:00:00,210,32,0.1523809523809524
2021-11-05 00:00:00,534,73,0.1367041198501873
2021-11-04 00:00:00,512,67,0.130859375
2021-11-03 00:00:00,795,120,0.1509433962264151
2021-11-02 00:00:00,715,96,0.1342657342657343
2021-11-01 00:00:00,635,86,0.1354330708661417
2021-10-31 00:00:00,163,34,0.2085889570552147
2021-10-30 00:00:00,151,32,0.2119205298013245
2021-10-29 00:00:00,481,66,0.1372141372141372
2021-10-28 00:00:00,491,57,0.1160896130346232
2021-10-27 00:00:00,661,85,0.1285930408472012
2021-10-26 00:00:00,648,72,0.1111111111111111
2021-10-25 00:00:00,732,95,0.1297814207650273
2021-10-24 00:00:00,148,14,0.0945945945945946
2021-10-23 00:00:00,188,37,0.1968085106382979
2021-10-22 00:00:00,456,57,0.125
2021-10-21 00:00:00,829,65,0.0784077201447527
2021-10-20 00:00:00,607,77,0.1268533772652389
2021-10-19 00:00:00,704,52,0.0738636363636364
2021-10-18 00:00:00,703,93,0.1322901849217639
2021-10-17 00:00:00,194,28,0.1443298969072165
2021-10-16 00:00:00,239,24,0.100418410041841
2021-10-15 00:00:00,499,51,0.1022044088176353
2021-10-14 00:00:00,542,45,0.0830258302583026
2021-10-13 00:00:00,576,58,0.1006944444444445
2021-10-12 00:00:00,457,67,0.1466083150984683
2021-10-11 00:00:00,734,82,0.111716621253406
2021-10-10 00:00:00,153,17,0.1111111111111111
2021-10-09 00:00:00,152,14,0.0921052631578947
2021-10-08 00:00:00,589,88,0.1494057724957555
2021-10-07 00:00:00,751,57,0.0758988015978695
2021-10-06 00:00:00,599,72,0.1202003338898164
2021-10-05 00:00:00,650,39,0.06
2021-10-04 00:00:00,709,85,0.1198871650211566
2021-10-03 00:00:00,129,18,0.1395348837209302
2021-10-02 00:00:00,132,17,0.1287878787878788
2021-10-01 00:00:00,490,62,0.126530612244898
2021-09-30 00:00:00,472,54,0.114406779661017
2021-09-29 00:00:00,737,90,0.1221166892808684
2021-09-28 00:00:00,708,41,0.057909604519774
2021-09-27 00:00:00,634,76,0.1198738170347003
2021-09-26 00:00:00,117,14,0.1196581196581197
2021-09-25 00:00:00,163,30,0.1840490797546012
2021-09-24 00:00:00,519,68,0.1310211946050096
2021-09-23 00:00:00,585,47,0.0803418803418804
2021-09-22 00:00:00,501,52,0.1037924151696607
2021-09-21 00:00:00,718,47,0.0654596100278552
