date,20-34_Navajo,35-44_Navajo,45-54_Navajo,55-64_Navajo,65+_Navajo,<20_Navajo
1/1/2021,225,276,294,344,912,6
1/10/2021,376,463,492,588,2184,32
1/11/2021,412,511,557,639,2368,35
1/12/2021,438,538,617,708,2592,36
1/13/2021,456,561,641,779,2755,37
1/14/2021,488,607,680,864,2958,45
1/15/2021,520,652,736,944,3204,46
1/16/2021,524,653,737,946,3212,46
1/17/2021,526,654,737,947,3214,46
1/18/2021,539,665,766,974,3238,46
1/19/2021,570,691,807,1055,3393,47
1/2/2021,226,276,294,344,913,6
1/20/2021,594,730,861,1140,3542,53
1/21/2021,678,807,963,1289,3735,69
1/22/2021,747,863,1012,1390,3862,84
1/23/2021,752,866,1015,1395,3987,118
1/24/2021,753,867,1015,1396,4000,120
1/25/2021,765,882,1041,1445,4115,122
1/26/2021,792,901,1070,1497,4257,124
1/27/2021,813,919,1097,1537,4418,137
1/28/2021,962,1007,1206,1661,4630,187
1/29/2021,1037,1054,1272,1756,4863,244
1/3/2021,226,276,294,345,915,6
1/30/2021,1049,1073,1323,1785,4883,244
1/31/2021,1049,1074,1325,1786,4891,244
1/4/2021,242,296,313,374,1043,6
1/5/2021,285,330,352,409,1268,6
1/6/2021,297,352,373,438,1610,25
1/7/2021,336,421,459,535,1983,31
1/8/2021,375,462,491,583,2181,32
1/9/2021,376,463,491,588,2184,32
10/1/2021,5728,4401,4845,7071,14479,6418
10/10/2021,5772,4441,4872,7097,14523,6460
10/11/2021,5782,4448,4873,7105,14535,6473
10/12/2021,5792,4451,4877,7112,14544,6478
10/13/2021,5805,4453,4884,7120,14555,6491
10/14/2021,5818,4458,4888,7129,14567,6496
10/15/2021,5827,4467,4891,7138,14577,6506
10/16/2021,5832,4468,4892,7142,14579,6507
10/17/2021,5834,4468,4894,7143,14579,6507
10/18/2021,5844,4474,4896,7149,14591,6511
10/19/2021,5856,4480,4900,7161,14603,6519
10/2/2021,5729,4403,4848,7075,14486,6418
10/20/2021,5863,4482,4903,7169,14622,6529
10/21/2021,5870,4489,4906,7172,14637,6535
10/22/2021,5890,4496,4918,7178,14654,6545
10/23/2021,5892,4498,4919,7178,14660,6548
10/24/2021,5893,4501,4919,7180,14665,6550
10/25/2021,5902,4507,4924,7191,14685,6553
10/26/2021,5908,4515,4933,7198,14709,6559
10/27/2021,5920,4520,4938,7209,14728,6571
10/28/2021,5939,4538,4958,7231,14759,6577
10/29/2021,5953,4550,4966,7246,14779,6592
10/3/2021,5730,4404,4848,7075,14487,6418
10/30/2021,5959,4553,4968,7249,14783,6595
10/31/2021,5962,4553,4968,7249,14785,6595
10/4/2021,5738,4409,4850,7080,14493,6427
10/5/2021,5746,4413,4853,7084,14500,6435
10/6/2021,5752,4421,4859,7087,14512,6440
10/7/2021,5759,4425,4863,7091,14520,6449
10/8/2021,5766,4437,4871,7094,14523,6460
10/9/2021,5770,4439,4872,7097,14523,6460
11/1/2021,5970,4557,4975,7255,14796,6596
11/10/2021,6021,4595,5027,7317,14915,6649
11/2/2021,5979,4564,4980,7264,14814,6599
11/3/2021,5984,4569,4992,7280,14835,6606
11/4/2021,5992,4571,4997,7289,14850,6610
11/5/2021,5997,4574,5007,7296,14865,6616
11/6/2021,6002,4578,5016,7301,14885,6623
11/7/2021,6002,4583,5018,7302,14892,6629
11/8/2021,6010,4587,5023,7310,14902,6635
11/9/2021,6015,4592,5026,7315,14911,6646
12/10/2020,1,,1,1,1,1
12/11/2020,1,,1,1,1,1
12/12/2020,1,,1,1,1,1
12/13/2020,1,,1,1,1,1
12/14/2020,1,,1,2,1,1
12/15/2020,1,1,2,2,1,1
12/16/2020,7,5,11,7,2,1
12/17/2020,14,26,32,25,8,1
12/18/2020,24,41,47,39,22,1
12/19/2020,25,41,47,40,22,1
12/2/2020,,,,,,1
12/20/2020,25,41,47,42,22,1
12/21/2020,26,41,47,44,25,2
12/22/2020,29,52,64,52,63,2
12/23/2020,59,82,88,84,112,2
12/24/2020,72,99,103,99,158,2
12/25/2020,74,100,104,99,158,2
12/26/2020,74,100,105,99,158,2
12/27/2020,75,100,105,99,158,2
12/28/2020,113,152,163,174,276,2
12/29/2020,136,197,219,238,462,3
12/3/2020,,,,,,1
12/30/2020,177,237,262,291,650,4
12/31/2020,222,273,294,341,831,6
12/4/2020,,,,1,,1
12/5/2020,,,,1,,1
12/6/2020,,,1,1,,1
12/7/2020,1,,1,1,,1
12/8/2020,1,,1,1,,1
12/9/2020,1,,1,1,,1
2/1/2021,1070,1098,1357,1869,5154,257
2/10/2021,1278,1346,1764,2525,6858,453
2/11/2021,1399,1430,1838,2627,7119,491
2/12/2021,1463,1479,1887,2702,7370,507
2/13/2021,1667,1582,1980,2780,7478,543
2/14/2021,1670,1583,1982,2787,7508,545
2/15/2021,1678,1588,1988,2802,7598,546
2/16/2021,1706,1611,2021,2839,7883,568
2/17/2021,1756,1654,2073,2884,8125,651
2/18/2021,1792,1683,2107,2942,8331,671
2/19/2021,1842,1713,2144,2989,8415,686
2/2/2021,1085,1113,1386,1900,5394,264
2/20/2021,1876,1729,2159,3003,8436,706
2/21/2021,1878,1730,2161,3004,8448,709
2/22/2021,1932,1769,2202,3039,8504,722
2/23/2021,2003,1810,2235,3108,8629,756
2/24/2021,2040,1833,2253,3155,8754,766
2/25/2021,2086,1885,2300,3232,9043,896
2/26/2021,2148,1928,2346,3266,9164,978
2/27/2021,2163,1938,2354,3282,9202,980
2/28/2021,2166,1938,2358,3286,9208,982
2/3/2021,1107,1139,1421,1962,5703,267
2/4/2021,1123,1168,1467,2018,5922,287
2/5/2021,1137,1186,1499,2144,6081,294
2/6/2021,1180,1245,1642,2389,6189,393
2/7/2021,1180,1245,1643,2389,6197,394
2/8/2021,1210,1286,1682,2416,6395,407
2/9/2021,1220,1310,1715,2462,6604,418
3/1/2021,2207,1962,2380,3313,9302,991
