Category,value
Apache,494
Cochise,362
Coconino,371
Gila,268
Graham,121
Greenlee,16
La Paz,101
Maricopa,"12,419"
Mohave,"1,004"
Navajo,643
Pima,"2,786"
Pinal,"1,123"
Santa Cruz,194
Yavapai,728
Yuma,919
Female,8907
Male,12629
20-44y,1145
45-54y,1628
55-64y,3343
65+,15387
<20y,46
"White, non-Hispanic",10984
Hispanic or Latino,6008
"American Indian or Alaska Native, non-Hispanic",1661
"Black or African American, non-Hispanic",662
"Asian or Pacific Islander, non-Hispanic",277
Other Race,605
Unknown,1352
