date,Maricopa_cume,Maricopa
2020-12-01,146,
2020-12-02,161,15
2020-12-03,170,9
2020-12-04,174,4
2020-12-05,176,2
2020-12-07,185,9
2020-12-08,191,6
2020-12-09,199,8
2020-12-10,213,14
2020-12-11,221,8
2020-12-12,224,3
2020-12-13,229,5
2020-12-14,242,13
2020-12-15,276,34
2020-12-16,327,51
2020-12-17,1580,1253
2020-12-18,3247,1667
2020-12-19,4903,1656
2020-12-20,5895,992
2020-12-21,9054,3159
2020-12-22,13133,4079
2020-12-23,17828,4695
2020-12-24,19385,1557
2020-12-25,19390,5
2020-12-26,24331,4941
2020-12-27,26564,2233
2020-12-28,31711,5147
2020-12-29,39470,7759
2020-12-30,48000,8530
2020-12-31,52000,4000
2021-01-01,53284,1284
2021-01-02,59312,6028
2021-01-03,61860,2548
2021-01-04,66512,4652
2021-01-05,70830,4318
2021-01-06,75713,4883
2021-01-07,81009,5296
2021-01-08,85572,4563
2021-01-09,90193,4621
2021-01-10,92795,2602
2021-01-11,102304,9509
2021-01-12,118221,15917
2021-01-13,135401,17180
2021-01-14,151993,16592
2021-01-15,167259,15266
2021-01-16,178753,11494
2021-01-17,187105,8352
2021-01-18,199836,12731
2021-01-19,217412,17576
2021-01-20,236153,18741
2021-01-21,255898,19745
2021-01-22,277975,22077
2021-01-23,296883,18908
2021-01-24,309185,12302
2021-01-25,325358,16173
2021-01-26,347522,22164
2021-01-27,367862,20340
2021-01-28,386770,18908
2021-01-29,408210,21440
2021-01-30,423697,15487
2021-01-31,431732,8035
2021-02-01,449637,17905
2021-02-02,471795,22158
2021-02-03,493846,22051
2021-02-04,519029,25183
2021-02-05,541684,22655
2021-02-06,565654,23970
2021-02-07,578551,12897
2021-02-08,602147,23596
2021-02-09,629483,27336
2021-02-10,655531,26048
2021-02-11,681933,26402
2021-02-12,717474,35541
2021-02-13,745407,27933
2021-02-14,758633,13226
2021-02-15,778120,19487
2021-02-16,805739,27619
2021-02-17,834259,28520
2021-02-18,862448,28189
2021-02-19,891075,28627
2021-02-20,916436,25361
2021-02-21,929568,13132
2021-02-22,948429,18861
2021-02-23,977258,28829
2021-02-24,1008216,30958
2021-02-25,1037937,29721
2021-02-26,1074470,36533
2021-02-27,1104942,30472
2021-02-28,1122284,17342
2021-03-01,1148371,26087
2021-03-02,1176147,27776
2021-03-03,1205877,29730
2021-03-04,1236564,30687
2021-03-05,1268526,31962
2021-03-06,1295610,27084
2021-03-07,1313090,17480
2021-03-08,1342508,29418
2021-03-09,1374108,31600
2021-03-10,1409247,35139
2021-03-11,1445749,36502
2021-03-12,1486901,41152
2021-03-13,1518163,31262
2021-03-14,1537961,19798
2021-03-15,1565894,27933
2021-03-16,1596776,30882
2021-03-17,1632723,35947
2021-03-18,1668629,35906
2021-03-19,1702946,34317
2021-03-20,1734430,31484
2021-03-21,1756405,21975
2021-03-22,1782492,26087
2021-03-23,1809233,26741
2021-03-24,1845062,35829
2021-03-25,1885840,40778
2021-03-26,1926170,40330
2021-03-27,1961544,35374
2021-03-28,1988672,27128
2021-03-29,2027610,38938
2021-03-30,2067596,39986
2021-03-31,2112316,44720
2021-04-01,2159523,47207
2021-04-02,2201638,42115
2021-04-03,2233265,31627
2021-04-04,2245603,12338
2021-04-05,2280162,34559
2021-04-06,2318837,38675
2021-04-07,2362715,43878
2021-04-08,2407791,45076
2021-04-09,2448613,40822
2021-04-10,2480231,31618
2021-04-11,2502391,22160
2021-04-12,2533249,30858
2021-04-13,2563652,30403
2021-04-14,2597806,34154
2021-04-15,2634462,36656
2021-04-16,2670694,36232
2021-04-17,2698841,28147
2021-04-18,2719933,21092
2021-04-19,2752299,32366
2021-04-20,2785413,33114
2021-04-21,2822777,37364
2021-04-22,2860405,37628
2021-04-23,2893941,33536
2021-04-24,2917981,24040
2021-04-25,2935427,17446
2021-04-26,2961977,26550
2021-04-27,2988888,26911
2021-04-28,3016528,27640
2021-04-29,3042090,25562
2021-04-30,3067895,25805
2021-05-01,3085987,18092
2021-05-02,3101378,15391
2021-05-03,3117869,16491
2021-05-04,3141691,23822
2021-05-05,3160492,18801
2021-05-06,3183220,22728
2021-05-07,3206947,23727
2021-05-08,3225587,18640
