Category,value
Apache,511
Cochise,389
Coconino,384
Gila,278
Graham,132
Greenlee,22
La Paz,102
Maricopa,"12,782"
Mohave,"1,046"
Navajo,677
Pima,"2,899"
Pinal,"1,171"
Santa Cruz,196
Yavapai,791
Yuma,927
Female,9204
Male,13090
20-44y,1199
45-54y,1710
55-64y,3470
65+,15878
<20y,50
"White, non-Hispanic",11464
Hispanic or Latino,6204
"American Indian or Alaska Native, non-Hispanic",1699
"Black or African American, non-Hispanic",686
"Asian or Pacific Islander, non-Hispanic",278
Other Race,618
Unknown,1358
