Category,value
tests,517240
Yuma,10517
Yavapai,13312
Santa Cruz,1962
Pinal,32968
Pima,52599
Navajo,4336
Mohave,10887
Maricopa,359202
La Paz,1582
Greenlee,203
Graham,1104
Gila,5710
Coconino,6588
Cochise,5638
Apache,1208
Unknown,440
65 years and older,121509
55 - 64 years,97921
45 - 54 years,91325
20 - 44 years,180721
Less than 20 years,25324
positive,0.1823292862114299
