date,Yuma_cume,Yuma
1/1/2021,6,
1/10/2021,7,1
1/11/2021,8,1
1/12/2021,9,1
1/13/2021,10,1
1/14/2021,12,2
1/15/2021,18,6
1/16/2021,43,25
1/17/2021,44,1
1/18/2021,47,3
1/19/2021,50,3
1/2/2021,223,173
1/20/2021,869,646
1/21/2021,1598,729
1/22/2021,1819,221
1/23/2021,1918,99
1/24/2021,1919,1
1/25/2021,2332,413
1/26/2021,2661,329
1/27/2021,3071,410
1/28/2021,3154,83
1/29/2021,3198,44
1/3/2021,3204,6
1/30/2021,3206,2
1/31/2021,3430,224
1/4/2021,3762,332
1/5/2021,4227,465
1/6/2021,4441,214
1/7/2021,4714,273
1/8/2021,4730,16
1/9/2021,4747,17
10/1/2021,5353,606
10/10/2021,5943,590
10/11/2021,6582,639
10/12/2021,6762,180
10/13/2021,6949,187
10/14/2021,6965,16
10/15/2021,6976,11
10/16/2021,7024,48
10/17/2021,7436,412
10/18/2021,7987,551
10/19/2021,9563,1576
10/2/2021,10968,1405
10/20/2021,11135,167
10/21/2021,11156,21
10/22/2021,11587,431
10/23/2021,12384,797
10/24/2021,13712,1328
10/25/2021,15596,1884
10/26/2021,17416,1820
10/3/2021,18470,1054
10/4/2021,18495,25
10/5/2021,19299,804
10/6/2021,20314,1015
10/7/2021,21699,1385
10/8/2021,22671,972
10/9/2021,23315,644
12/1/2020,23389,74
12/10/2020,23428,39
12/12/2020,23732,304
12/16/2020,24558,826
12/17/2020,26500,1942
12/18/2020,28603,2103
12/19/2020,30205,1602
12/20/2020,30998,793
12/21/2020,31021,23
12/22/2020,31143,122
12/23/2020,31411,268
12/24/2020,31751,340
12/26/2020,32287,536
12/27/2020,33020,733
12/28/2020,33341,321
12/29/2020,33370,29
12/3/2020,33424,54
12/30/2020,34587,1163
12/31/2020,36936,2349
12/4/2020,39551,2615
12/8/2020,41943,2392
2/1/2021,42783,840
2/10/2021,43074,291
2/11/2021,44715,1641
2/12/2021,45885,1170
2/13/2021,47040,1155
2/14/2021,49517,2477
2/15/2021,52839,3322
2/16/2021,53079,240
2/17/2021,53242,163
2/18/2021,54061,819
2/19/2021,55860,1799
2/2/2021,57681,1821
2/20/2021,60595,2914
2/21/2021,63361,2766
2/22/2021,64802,1441
2/23/2021,64992,190
2/24/2021,65743,751
2/25/2021,67233,1490
2/26/2021,69241,2008
2/27/2021,72775,3534
2/28/2021,75692,2917
2/3/2021,76882,1190
2/4/2021,77188,306
2/5/2021,77629,441
2/6/2021,79002,1373
2/7/2021,81199,2197
2/8/2021,83228,2029
2/9/2021,85410,2182
3/1/2021,85992,582
3/10/2021,86212,220
3/11/2021,87586,1374
3/12/2021,91133,3547
3/13/2021,94778,3645
3/14/2021,98443,3665
3/15/2021,101121,2678
3/16/2021,102727,1606
3/17/2021,104217,1490
3/18/2021,106268,2051
3/19/2021,108910,2642
3/2/2021,111836,2926
3/20/2021,114950,3114
3/21/2021,117658,2708
3/22/2021,118912,1254
3/23/2021,119499,587
3/24/2021,120269,770
3/25/2021,121445,1176
3/26/2021,124025,2580
3/27/2021,126726,2701
3/28/2021,129743,3017
3/29/2021,130638,895
3/3/2021,131269,631
3/30/2021,133293,2024
3/31/2021,136069,2776
3/4/2021,138601,2532
3/5/2021,140851,2250
3/6/2021,143930,3079
3/7/2021,145267,1337
3/8/2021,146280,1013
3/9/2021,147613,1333
4/1/2021,151221,3608
4/10/2021,153766,2545
4/11/2021,156166,2400
4/12/2021,158539,2373
4/13/2021,159528,989
4/14/2021,160138,610
4/15/2021,161231,1093
4/16/2021,162823,1592
4/17/2021,164330,1507
4/18/2021,165969,1639
4/19/2021,167570,1601
4/2/2021,168088,518
