date,Coconino_cume,Coconino
1/1/2021,1,
1/10/2021,2,1
1/11/2021,3,1
1/12/2021,10,7
1/13/2021,139,129
1/14/2021,264,125
1/15/2021,465,201
1/16/2021,510,45
1/17/2021,514,4
1/18/2021,522,8
1/19/2021,579,57
1/2/2021,881,302
1/20/2021,1205,324
1/21/2021,1304,99
1/22/2021,1372,68
1/23/2021,1452,80
1/24/2021,1655,203
1/25/2021,1984,329
1/26/2021,2410,426
1/27/2021,2640,230
1/28/2021,2748,108
1/29/2021,2823,75
1/3/2021,2828,5
1/30/2021,3171,343
1/31/2021,3533,362
1/4/2021,3971,438
1/5/2021,4562,591
1/6/2021,5160,598
1/7/2021,5258,98
1/8/2021,5267,9
1/9/2021,5630,363
10/1/2021,6188,558
10/10/2021,6746,558
10/11/2021,7408,662
10/12/2021,8547,1139
10/13/2021,8718,171
10/14/2021,8753,35
10/15/2021,9080,327
10/16/2021,9674,594
10/17/2021,11223,1549
10/18/2021,12139,916
10/19/2021,13122,983
10/2/2021,13614,492
10/20/2021,13645,31
10/21/2021,14361,716
10/22/2021,15061,700
10/23/2021,16502,1441
10/24/2021,17933,1431
10/25/2021,18992,1059
10/26/2021,19361,369
10/3/2021,19407,46
10/4/2021,20521,1114
10/5/2021,21488,967
10/6/2021,23254,1766
10/7/2021,25390,2136
10/8/2021,27633,2243
10/9/2021,29324,1691
12/1/2020,29416,92
12/12/2020,30526,1110
12/15/2020,31614,1088
12/16/2020,34414,2800
12/17/2020,36096,1682
12/18/2020,38766,2670
12/19/2020,40374,1608
12/2/2020,40445,71
12/20/2020,41742,1297
12/21/2020,43562,1820
12/22/2020,46263,2701
12/23/2020,47414,1151
12/24/2020,48777,1363
12/25/2020,49782,1005
12/26/2020,49814,32
12/27/2020,50343,529
12/28/2020,51087,744
12/29/2020,53245,2158
12/30/2020,55127,1882
12/31/2020,56968,1841
2/1/2021,58683,1715
2/10/2021,58813,130
2/11/2021,60675,1862
2/12/2021,62489,1814
2/13/2021,64313,1824
2/14/2021,66479,2166
2/15/2021,68260,1781
2/16/2021,69201,941
2/17/2021,69316,115
2/18/2021,70472,1156
2/19/2021,71534,1062
2/2/2021,74420,2886
2/20/2021,76383,1963
2/21/2021,78930,2547
2/22/2021,80166,1236
2/23/2021,80267,101
2/24/2021,81593,1326
2/25/2021,83480,1887
2/26/2021,85189,1709
2/27/2021,86525,1336
2/28/2021,87948,1423
2/3/2021,88866,918
2/4/2021,88956,90
2/5/2021,89727,771
2/6/2021,91167,1440
2/7/2021,92737,1570
2/8/2021,94439,1702
2/9/2021,96403,1964
3/1/2021,96950,547
3/10/2021,97104,154
3/11/2021,98714,1610
3/12/2021,100309,1595
3/13/2021,101887,1578
3/14/2021,103182,1295
3/15/2021,104578,1396
3/16/2021,105097,519
3/17/2021,105192,95
3/18/2021,106036,844
3/19/2021,107229,1193
3/2/2021,108250,1021
3/20/2021,109483,1233
3/21/2021,110681,1198
3/22/2021,111248,567
3/23/2021,111360,112
3/24/2021,111886,526
3/25/2021,112756,870
3/26/2021,113690,934
3/27/2021,114592,902
3/28/2021,115672,1080
3/29/2021,116013,341
3/3/2021,116093,80
3/30/2021,117068,975
3/31/2021,117993,925
3/4/2021,118921,928
3/5/2021,119888,967
3/6/2021,121001,1113
3/7/2021,121361,360
3/8/2021,121533,172
3/9/2021,122128,595
4/1/2021,122950,822
4/10/2021,123771,821
4/11/2021,124554,783
4/12/2021,125325,771
4/13/2021,125735,410
4/14/2021,125832,97
4/15/2021,126282,450
4/16/2021,126855,573
4/17/2021,127458,603
4/18/2021,127889,431
4/19/2021,128510,621
4/2/2021,128724,214
4/20/2021,128811,87
4/21/2021,129288,477
4/22/2021,129597,309
4/23/2021,130073,476
4/24/2021,130870,797
4/25/2021,131959,1089
4/26/2021,132419,460
4/27/2021,132499,80
4/28/2021,133007,508
4/29/2021,133358,351
4/3/2021,134032,674
4/30/2021,134474,442
4/4/2021,135060,586
4/5/2021,135448,388
4/6/2021,135517,69
4/7/2021,135744,227
4/8/2021,135971,227
4/9/2021,136532,561
5/1/2021,136823,291
5/10/2021,137282,459
5/11/2021,137413,131
5/12/2021,137461,48
5/13/2021,137496,35
