date,20-34_Yuma,35-44_Yuma,45-54_Yuma,55-64_Yuma,65+_Yuma,<20_Yuma
1/1/2021,945,863,633,481,219,7
1/10/2021,1291,1201,923,709,494,12
1/11/2021,1352,1288,986,747,835,12
1/12/2021,1415,1355,1062,801,1156,14
1/13/2021,1502,1429,1137,863,1491,14
1/14/2021,1521,1446,1166,886,1579,14
1/15/2021,1550,1462,1186,913,1668,14
1/16/2021,1554,1464,1189,914,1673,14
1/17/2021,1556,1467,1190,915,1677,14
1/18/2021,1565,1473,1199,919,1694,14
1/19/2021,1608,1501,1228,949,1806,19
1/2/2021,947,864,633,483,220,7
1/20/2021,1623,1508,1236,959,1836,20
1/21/2021,1745,1700,1406,1057,2357,23
1/22/2021,1854,1794,1488,1138,3018,24
1/23/2021,1883,1834,1513,1169,3052,25
1/24/2021,1884,1836,1516,1172,3063,25
1/25/2021,1919,1908,1579,1221,3220,25
1/26/2021,2053,2049,1717,1357,3374,33
1/27/2021,2195,2202,1835,1453,3575,33
1/28/2021,2352,2354,2024,1672,4269,34
1/29/2021,2511,2485,2189,1814,5351,38
1/3/2021,949,864,633,483,220,7
1/30/2021,2551,2516,2227,1888,6210,38
1/31/2021,2552,2517,2227,1889,6226,38
1/4/2021,1004,919,674,515,257,8
1/5/2021,1091,1014,739,560,292,8
1/6/2021,1205,1130,833,624,362,12
1/7/2021,1251,1168,893,661,393,12
1/8/2021,1284,1197,919,702,484,12
1/9/2021,1286,1198,923,706,489,12
12/1/2020,1,1,1,,2,
12/10/2020,1,2,3,,3,
12/11/2020,1,2,3,,3,
12/12/2020,1,2,5,,3,
12/13/2020,1,2,5,,3,
12/14/2020,1,2,5,,3,
12/15/2020,1,2,5,,3,
12/16/2020,3,3,6,1,4,
12/17/2020,9,7,10,5,6,
12/18/2020,9,7,11,5,6,
12/19/2020,9,7,11,5,8,
12/2/2020,1,1,1,,2,
12/20/2020,9,9,11,6,8,
12/21/2020,75,45,49,23,23,
12/22/2020,255,243,170,136,54,1
12/23/2020,445,459,328,253,94,4
12/24/2020,508,512,385,293,101,4
12/25/2020,508,512,385,293,101,4
12/26/2020,532,547,401,311,107,4
12/27/2020,532,547,401,311,108,4
12/28/2020,675,660,477,361,134,6
12/29/2020,774,749,535,409,166,7
12/3/2020,1,1,2,,2,
12/30/2020,912,847,615,463,200,7
12/31/2020,944,862,629,477,208,7
12/4/2020,1,1,3,,2,
12/5/2020,1,1,3,,2,
12/6/2020,1,1,3,,2,
12/7/2020,1,1,3,,2,
12/8/2020,1,1,3,,3,
12/9/2020,1,1,3,,3,
2/1/2021,2591,2543,2247,1914,6830,42
2/10/2021,2931,2845,2624,2360,9929,57
2/11/2021,3061,2959,2755,2515,10941,68
2/12/2021,3120,3006,2813,2570,12026,69
2/13/2021,3147,3029,2830,2605,12673,71
2/14/2021,3152,3033,2830,2606,12679,71
2/15/2021,3158,3037,2834,2613,12717,71
2/16/2021,3183,3041,2843,2617,12762,73
2/17/2021,3222,3077,2895,2674,12815,74
2/18/2021,3252,3098,2911,2693,12943,74
2/19/2021,3323,3169,2996,2788,13090,76
2/2/2021,2624,2576,2281,1971,7522,46
2/20/2021,3362,3191,3019,2823,13140,81
2/21/2021,3363,3192,3022,2823,13150,81
2/22/2021,3366,3195,3023,2825,13159,81
2/23/2021,3408,3248,3059,2879,13337,85
2/24/2021,3429,3282,3082,2923,14337,88
2/25/2021,3502,3341,3146,3000,15331,90
2/26/2021,3562,3399,3189,3101,16333,92
2/27/2021,3591,3425,3205,3136,16697,95
2/28/2021,3611,3450,3242,3167,16815,95
2/3/2021,2748,2710,2450,2141,8217,49
2/4/2021,2797,2752,2507,2203,8538,52
2/5/2021,2834,2783,2538,2234,8669,54
2/6/2021,2845,2784,2540,2238,8692,55
2/7/2021,2846,2785,2541,2239,8710,55
2/8/2021,2867,2807,2560,2267,8813,55
2/9/2021,2888,2827,2594,2308,8854,55
3/1/2021,3634,3473,3257,3195,16967,96
3/10/2021,4612,4271,4253,5008,19967,126
3/11/2021,4831,4379,4373,5243,20283,137
3/12/2021,4884,4437,4492,5880,20616,141
3/13/2021,4959,4495,4539,6004,20766,143
3/14/2021,4971,4500,4549,6071,20831,143
3/15/2021,5093,4601,4679,6274,20936,149
3/16/2021,5336,4815,4924,6617,21108,161
3/17/2021,5917,5038,5130,6892,21663,172
3/18/2021,6293,5271,5475,7832,22438,194
3/19/2021,6643,5563,5871,8774,23044,213
3/2/2021,3664,3488,3285,3227,17090,98
3/20/2021,6726,5622,5962,9111,23351,220
3/21/2021,6743,5632,5983,9150,23383,222
3/22/2021,6777,5681,6023,9248,23458,227
3/23/2021,7028,5889,6245,9537,23600,247
3/24/2021,7549,6198,6620,9909,23855,311
3/25/2021,8049,6444,6899,10239,24022,351
3/26/2021,8338,6624,7163,10489,24220,398
3/27/2021,8377,6638,7185,10522,24252,404
3/28/2021,8398,6651,7197,10541,24265,405
3/29/2021,8670,6805,7391,10728,24439,522
3/3/2021,3691,3520,3315,3275,17254,101
3/30/2021,9480,7322,8093,11348,24815,720
3/31/2021,10378,7819,8718,11796,25134,930
3/4/2021,3803,3635,3443,3478,17587,106
3/5/2021,4126,3888,3729,3931,18484,117
3/6/2021,4143,3899,3743,4005,18554,117
3/7/2021,4154,3908,3756,4060,18601,119
3/8/2021,4181,3931,3793,4209,19058,120
3/9/2021,4405,4127,4030,4552,19608,123
4/1/2021,11050,8194,9180,12186,25443,1152
4/10/2021,14707,10275,11336,14288,27099,2330
4/11/2021,14840,10349,11393,14384,27167,2404
4/12/2021,14981,10422,11497,14492,27274,2446
4/13/2021,15173,10523,11628,14630,27397,2498
4/14/2021,15543,10720,11835,14796,27518,2576
4/15/2021,15710,10927,12027,14899,27613,2666
4/16/2021,15904,11076,12171,15001,27700,2717
4/17/2021,16033,11149,12233,15070,27750,2769
4/18/2021,16077,11172,12262,15106,27774,2793
4/19/2021,16217,11273,12352,15177,27843,2816
4/2/2021,11543,8493,9518,12490,25635,1328
4/20/2021,16318,11327,12407,15265,27912,2851
4/21/2021,16447,11405,12503,15344,28002,2898
4/22/2021,16578,11468,12584,15430,28073,2928
4/23/2021,16712,11540,12670,15532,28166,2974
4/24/2021,16800,11579,12715,15585,28211,3009
4/25/2021,16847,11596,12748,15621,28225,3032
4/26/2021,16912,11640,12792,15669,28267,3055
4/27/2021,17068,11746,12894,15802,28375,3108
4/28/2021,17244,11828,13002,15915,28435,3152
4/29/2021,17404,11914,13096,16008,28513,3204
4/3/2021,11847,8639,9677,12674,25781,1437
4/30/2021,17608,12024,13221,16109,28589,3260
4/4/2021,12118,8799,9832,12839,25880,1561
4/5/2021,12427,8984,10032,13080,26115,1692
4/6/2021,12825,9185,10289,13359,26374,1790
4/7/2021,13369,9530,10580,13611,26562,1906
4/8/2021,14022,9915,10896,13892,26786,2056
4/9/2021,14472,10176,11180,14156,26993,2191
5/1/2021,17673,12051,13260,16147,28618,3284
5/10/2021,18524,12486,13776,16608,29040,3654
5/11/2021,18617,12530,13826,16662,29085,3682
5/12/2021,18741,12592,13898,16754,29136,3714
5/13/2021,18846,12648,13961,16804,29174,3893
5/14/2021,18956,12721,14039,16853,29225,4091
5/15/2021,19029,12746,14080,16884,29252,4619
5/16/2021,19057,12758,14091,16894,29265,4637
5/17/2021,19144,12808,14141,16942,29311,4688
5/18/2021,19249,12848,14189,16988,29356,4747
5/19/2021,19385,12899,14248,17034,29412,4952
5/2/2021,17717,12065,13281,16167,28638,3295
