date,Santa Cruz_cume,Santa Cruz
1/1/2021,1,
1/10/2021,9,8
1/11/2021,15,6
1/12/2021,19,4
1/13/2021,20,1
1/14/2021,23,3
1/15/2021,70,47
1/16/2021,96,26
1/17/2021,121,25
1/18/2021,127,6
1/19/2021,170,43
1/2/2021,231,61
1/20/2021,303,72
1/21/2021,367,64
1/22/2021,377,10
1/23/2021,380,3
1/24/2021,386,6
1/25/2021,453,67
1/26/2021,530,77
1/27/2021,650,120
1/28/2021,818,168
1/29/2021,982,164
1/3/2021,991,9
1/30/2021,996,5
1/31/2021,1097,101
1/4/2021,1236,139
1/5/2021,1442,206
1/6/2021,1658,216
1/7/2021,1878,220
1/8/2021,1892,14
1/9/2021,1900,8
10/1/2021,1928,28
10/10/2021,2036,108
10/11/2021,2471,435
10/12/2021,2879,408
10/13/2021,3430,551
10/14/2021,3459,29
10/15/2021,3467,8
10/16/2021,3593,126
10/17/2021,4033,440
10/18/2021,4240,207
10/2/2021,4749,509
10/3/2021,5224,475
10/4/2021,5309,85
10/5/2021,5355,46
10/6/2021,5547,192
10/7/2021,6155,608
10/8/2021,6390,235
10/9/2021,6984,594
12/1/2020,7688,704
12/17/2020,7725,37
12/18/2020,7739,14
12/19/2020,7920,181
12/20/2020,8487,567
12/21/2020,9148,661
12/22/2020,9786,638
12/23/2020,10431,645
12/24/2020,10914,483
12/26/2020,11348,434
12/28/2020,11463,115
12/29/2020,11575,112
12/30/2020,11628,53
12/31/2020,11676,48
2/1/2021,11790,114
2/10/2021,11832,42
2/11/2021,11849,17
2/12/2021,11920,71
2/13/2021,12559,639
2/14/2021,13399,840
2/15/2021,14175,776
2/16/2021,15033,858
2/17/2021,15175,142
2/18/2021,15262,87
2/19/2021,15556,294
2/2/2021,16516,960
2/20/2021,17337,821
2/21/2021,18209,872
2/22/2021,19045,836
2/23/2021,19172,127
2/24/2021,19236,64
2/25/2021,19480,244
2/26/2021,20184,704
2/27/2021,21005,821
2/28/2021,21797,792
2/3/2021,22548,751
2/4/2021,23093,545
2/5/2021,23526,433
2/6/2021,23784,258
2/7/2021,24575,791
2/8/2021,25388,813
2/9/2021,26149,761
3/1/2021,27088,939
3/10/2021,27203,115
3/11/2021,27312,109
3/12/2021,27581,269
3/13/2021,28402,821
3/14/2021,29227,825
3/15/2021,30015,788
3/16/2021,30895,880
3/17/2021,31053,158
3/18/2021,31136,83
3/19/2021,31443,307
3/2/2021,32433,990
3/20/2021,33390,957
3/21/2021,34425,1035
3/22/2021,35234,809
3/23/2021,35363,129
3/24/2021,35433,70
3/25/2021,36130,697
3/26/2021,36979,849
3/27/2021,37898,919
3/28/2021,38810,912
3/29/2021,39677,867
3/3/2021,40319,642
3/30/2021,40393,74
3/31/2021,40834,441
3/4/2021,41733,899
3/5/2021,42691,958
3/6/2021,43639,948
3/7/2021,44695,1056
3/8/2021,44859,164
3/9/2021,44963,104
4/1/2021,45280,317
4/10/2021,46154,874
4/11/2021,46998,844
4/12/2021,47866,868
4/13/2021,48745,879
4/14/2021,49191,446
4/15/2021,49260,69
4/16/2021,49908,648
4/17/2021,50760,852
4/18/2021,51487,727
4/19/2021,52226,739
4/2/2021,52873,647
4/20/2021,52998,125
4/21/2021,53057,59
4/22/2021,53584,527
4/23/2021,54207,623
4/24/2021,54978,771
4/25/2021,55618,640
4/26/2021,56317,699
4/27/2021,56405,88
4/28/2021,56447,42
4/29/2021,56895,448
4/3/2021,57047,152
4/30/2021,57418,371
4/4/2021,58250,832
4/5/2021,58952,702
4/6/2021,59044,92
4/7/2021,59092,48
4/8/2021,59918,826
4/9/2021,60436,518
5/1/2021,60858,422
5/10/2021,61520,662
5/11/2021,61923,403
