date,Yavapai_cume,Yavapai
1/1/2021,1,
1/10/2021,2,1
1/11/2021,3,1
1/12/2021,5,2
1/13/2021,8,3
1/14/2021,11,3
1/15/2021,14,3
1/16/2021,17,3
1/17/2021,382,365
1/18/2021,822,440
1/19/2021,872,50
1/2/2021,888,16
1/20/2021,926,38
1/21/2021,940,14
1/22/2021,1015,75
1/23/2021,1319,304
1/24/2021,2067,748
1/25/2021,2207,140
1/26/2021,2235,28
1/27/2021,2354,119
1/28/2021,2358,4
1/29/2021,2401,43
1/3/2021,2473,72
1/30/2021,2561,88
1/31/2021,3223,662
1/4/2021,3962,739
1/5/2021,4145,183
1/6/2021,4154,9
1/7/2021,4232,78
1/8/2021,4452,220
1/9/2021,4916,464
10/1/2021,5242,326
10/10/2021,5353,111
10/11/2021,5650,297
10/12/2021,5681,31
10/13/2021,5885,204
10/14/2021,6624,739
10/15/2021,7567,943
10/16/2021,8991,1424
10/17/2021,10664,1673
10/18/2021,12079,1415
10/2/2021,13414,1335
10/3/2021,14267,853
10/4/2021,14764,497
10/5/2021,16516,1752
10/6/2021,18477,1961
10/7/2021,20249,1772
10/8/2021,21200,951
10/9/2021,22114,914
12/1/2020,24065,1951
12/12/2020,26273,2208
12/16/2020,28742,2469
12/17/2020,30664,1922
12/19/2020,32524,1860
12/20/2020,33777,1253
12/21/2020,34783,1006
12/22/2020,36322,1539
12/23/2020,37873,1551
12/24/2020,39983,2110
12/25/2020,41629,1646
12/26/2020,43183,1554
12/27/2020,44472,1289
12/28/2020,45474,1002
12/29/2020,46250,776
12/30/2020,47711,1461
12/31/2020,48672,961
12/6/2020,49258,586
2/1/2021,49829,571
2/10/2021,50114,285
2/11/2021,50329,215
2/12/2021,50626,297
2/13/2021,52054,1428
2/14/2021,55034,2980
2/15/2021,57832,2798
2/16/2021,60978,3146
2/17/2021,62154,1176
2/18/2021,63302,1148
2/19/2021,65848,2546
2/2/2021,68126,2278
2/20/2021,70801,2675
2/21/2021,72475,1674
2/22/2021,74472,1997
2/23/2021,76108,1636
2/24/2021,77686,1578
2/25/2021,80216,2530
2/26/2021,83043,2827
2/27/2021,85927,2884
2/28/2021,87943,2016
2/3/2021,89777,1834
2/4/2021,91530,1753
2/5/2021,93218,1688
2/6/2021,95254,2036
2/7/2021,97431,2177
2/8/2021,99253,1822
2/9/2021,100529,1276
3/1/2021,101787,1258
3/10/2021,102752,965
3/11/2021,103033,281
3/12/2021,104140,1107
3/13/2021,105246,1106
3/14/2021,106633,1387
3/15/2021,108060,1427
3/16/2021,109526,1466
3/17/2021,110384,858
3/18/2021,110590,206
3/19/2021,111608,1018
3/2/2021,112689,1081
3/20/2021,113842,1153
3/21/2021,115196,1354
3/22/2021,116531,1335
3/23/2021,117342,811
3/24/2021,117553,211
3/25/2021,118935,1382
3/26/2021,120548,1613
3/27/2021,122080,1532
3/28/2021,123892,1812
3/29/2021,125801,1909
3/3/2021,126607,806
3/30/2021,127276,669
3/31/2021,128537,1261
3/4/2021,129345,808
3/5/2021,130892,1547
3/6/2021,132590,1698
3/7/2021,134093,1503
3/8/2021,135757,1664
3/9/2021,136513,756
4/1/2021,138085,1572
4/10/2021,138958,873
4/11/2021,140245,1287
4/12/2021,141742,1497
4/13/2021,143203,1461
4/14/2021,144431,1228
4/15/2021,144932,501
4/16/2021,146107,1175
4/17/2021,146954,847
4/18/2021,148040,1086
4/19/2021,148884,844
4/2/2021,149862,978
4/20/2021,150460,598
4/21/2021,150677,217
4/22/2021,151409,732
4/23/2021,152292,883
4/24/2021,152930,638
4/25/2021,153528,598
4/26/2021,154131,603
4/27/2021,154590,459
4/28/2021,154749,159
4/29/2021,155347,598
4/3/2021,155868,521
4/30/2021,156571,703
4/4/2021,157122,551
4/5/2021,157852,730
4/6/2021,158314,462
4/7/2021,158496,182
4/8/2021,158927,431
4/9/2021,159429,502
5/1/2021,160005,576
5/10/2021,160678,673
5/11/2021,161187,509
5/12/2021,161459,272
5/13/2021,161644,185
5/14/2021,162033,389
5/15/2021,162417,384
5/16/2021,162830,413
5/17/2021,163196,366
5/18/2021,163626,430
5/19/2021,163821,195
5/2/2021,163964,143
5/20/2021,164063,99
5/21/2021,164462,399
