date,pcr_tests_NAVAJO,pcr_pos_test_NAVAJO,pcr_positivity_NAVAJO
2021-11-08 00:00:00,15,0,0
2021-11-07 00:00:00,211,40,0.1895734597156398
2021-11-06 00:00:00,258,59,0.2286821705426357
2021-11-05 00:00:00,643,86,0.1337480559875583
2021-11-04 00:00:00,647,114,0.1761978361669243
2021-11-03 00:00:00,598,111,0.18561872909699
2021-11-02 00:00:00,605,88,0.1454545454545455
2021-11-01 00:00:00,810,147,0.1814814814814815
2021-10-31 00:00:00,196,30,0.1530612244897959
2021-10-30 00:00:00,218,36,0.1651376146788991
2021-10-29 00:00:00,540,70,0.1296296296296296
2021-10-28 00:00:00,589,86,0.1460101867572156
2021-10-27 00:00:00,535,89,0.1663551401869159
2021-10-26 00:00:00,648,85,0.1311728395061729
2021-10-25 00:00:00,746,93,0.1246648793565684
2021-10-24 00:00:00,181,18,0.0994475138121547
2021-10-23 00:00:00,184,30,0.1630434782608696
2021-10-22 00:00:00,520,71,0.1365384615384615
2021-10-21 00:00:00,567,103,0.181657848324515
2021-10-20 00:00:00,528,94,0.1780303030303031
2021-10-19 00:00:00,487,84,0.1724845995893224
2021-10-18 00:00:00,660,89,0.1348484848484849
2021-10-17 00:00:00,159,24,0.1509433962264151
2021-10-16 00:00:00,229,35,0.1528384279475983
2021-10-15 00:00:00,420,66,0.1571428571428572
2021-10-14 00:00:00,478,70,0.1464435146443515
2021-10-13 00:00:00,404,50,0.1237623762376238
2021-10-12 00:00:00,568,63,0.1109154929577465
2021-10-11 00:00:00,467,66,0.1413276231263384
2021-10-10 00:00:00,139,19,0.1366906474820144
2021-10-09 00:00:00,156,16,0.1025641025641026
2021-10-08 00:00:00,378,45,0.1190476190476191
2021-10-07 00:00:00,473,78,0.1649048625792812
2021-10-06 00:00:00,435,56,0.1287356321839081
2021-10-05 00:00:00,536,62,0.1156716417910448
2021-10-04 00:00:00,549,79,0.1438979963570128
2021-10-03 00:00:00,126,12,0.0952380952380952
2021-10-02 00:00:00,149,24,0.1610738255033557
2021-10-01 00:00:00,380,38,0.1
2021-09-30 00:00:00,400,51,0.1275
2021-09-29 00:00:00,460,46,0.1
