date,20-34_Santa Cruz,35-44_Santa Cruz,45-54_Santa Cruz,55-64_Santa Cruz,65+_Santa Cruz,<20_Santa Cruz
1/1/2021,111,95,56,63,52,1
1/10/2021,266,212,158,157,184,5
1/11/2021,282,233,184,174,200,5
1/12/2021,301,249,207,200,245,6
1/13/2021,310,258,213,209,413,6
1/14/2021,321,270,222,220,575,6
1/15/2021,337,284,232,229,741,7
1/16/2021,343,286,232,229,746,7
1/17/2021,344,287,232,231,750,7
1/18/2021,346,292,234,235,757,7
1/19/2021,351,301,236,240,800,7
1/2/2021,111,95,56,64,53,2
1/20/2021,371,316,257,260,1129,9
1/21/2021,387,337,275,277,1445,9
1/22/2021,418,368,313,304,1860,10
1/23/2021,424,373,314,306,1868,10
1/24/2021,424,375,314,308,1870,10
1/25/2021,440,385,330,327,1896,10
1/26/2021,464,402,346,350,2195,12
1/27/2021,484,422,361,374,2261,14
1/28/2021,508,448,402,449,2551,14
1/29/2021,563,511,494,524,2718,15
1/3/2021,113,97,56,65,54,2
1/30/2021,585,525,508,544,2728,15
1/31/2021,597,532,513,556,2738,15
1/4/2021,133,112,66,78,60,2
1/5/2021,160,122,84,90,70,2
1/6/2021,190,155,107,112,79,3
1/7/2021,214,174,124,127,164,4
1/8/2021,263,209,155,155,183,4
1/9/2021,266,210,157,156,184,4
10/1/2021,10214,6375,6420,6260,9623,6339
10/10/2021,10259,6405,6434,6278,9641,6410
10/11/2021,10262,6412,6440,6281,9645,6412
10/12/2021,10274,6413,6442,6282,9647,6445
10/13/2021,10279,6418,6446,6286,9648,6449
10/14/2021,10287,6427,6452,6291,9653,6460
10/15/2021,10306,6433,6459,6294,9656,6466
10/16/2021,10315,6434,6459,6294,9657,6473
10/17/2021,10320,6435,6459,6294,9657,6476
10/18/2021,10328,6441,6463,6297,9662,6480
10/19/2021,10349,6450,6470,6302,9667,6492
10/2/2021,10216,6376,6421,6262,9624,6341
10/20/2021,10353,6451,6473,6303,9668,6500
10/21/2021,10364,6453,6476,6305,9670,6505
10/22/2021,10373,6460,6480,6309,9674,6515
10/23/2021,10377,6465,6487,6312,9676,6523
10/24/2021,10378,6468,6489,6313,9677,6527
10/25/2021,10383,6474,6493,6313,9682,6530
10/26/2021,10393,6479,6498,6315,9688,6534
10/27/2021,10402,6485,6499,6319,9695,6538
10/28/2021,10415,6487,6505,6324,9704,6546
10/29/2021,10419,6492,6507,6327,9706,6550
10/3/2021,10220,6376,6421,6262,9626,6341
10/30/2021,10424,6496,6514,6336,9708,6552
10/31/2021,10424,6499,6516,6336,9708,6555
10/4/2021,10224,6379,6426,6263,9628,6345
10/5/2021,10236,6383,6429,6266,9636,6366
10/6/2021,10240,6391,6430,6268,9639,6371
10/7/2021,10249,6402,6433,6272,9640,6395
10/8/2021,10251,6405,6433,6273,9641,6404
10/9/2021,10257,6405,6433,6275,9641,6406
11/1/2021,10430,6505,6525,6338,9714,6562
11/2/2021,10447,6513,6538,6342,9722,6577
11/3/2021,10452,6519,6540,6344,9724,6640
11/4/2021,10473,6540,6555,6357,9734,7256
11/5/2021,10497,6567,6576,6367,9741,7826
11/6/2021,10498,6568,6577,6367,9746,7829
11/7/2021,10504,6571,6580,6369,9747,7839
11/8/2021,10515,6583,6586,6375,9751,7879
12/1/2020,,,1,,,
12/10/2020,,,1,,,
12/11/2020,,,1,,,
12/12/2020,,,1,,,
12/13/2020,,,1,,,
12/14/2020,,,1,,,
12/15/2020,,,1,,,
12/16/2020,,,1,,,
