Category,value
Apache,494
Cochise,361
Coconino,371
Gila,267
Graham,120
Greenlee,16
La Paz,100
Maricopa,"12,367"
Mohave,"1,004"
Navajo,644
Pima,"2,790"
Pinal,"1,118"
Santa Cruz,194
Yavapai,722
Yuma,918
Female,8888
Male,12585
20-44y,1141
45-54y,1618
55-64y,3328
65+,15353
<20y,46
"White, non-Hispanic",10971
Hispanic or Latino,6001
"American Indian or Alaska Native, non-Hispanic",1658
"Black or African American, non-Hispanic",659
"Asian or Pacific Islander, non-Hispanic",277
Other Race,600
Unknown,1320
