date,Cochise_cume,Cochise
2020-12-01,3,
2020-12-15,4,1
2020-12-16,5,1
2020-12-17,16,11
2020-12-18,24,8
2020-12-19,31,7
2020-12-20,32,1
2020-12-21,44,12
2020-12-22,305,261
2020-12-23,721,416
2020-12-24,831,110
2020-12-26,853,22
2020-12-28,937,84
2020-12-29,1011,74
2020-12-30,1217,206
2020-12-31,1411,194
2021-01-01,1444,33
2021-01-02,1458,14
2021-01-03,1536,78
2021-01-04,1583,47
2021-01-05,1671,88
2021-01-06,1774,103
2021-01-07,1843,69
2021-01-08,1997,154
2021-01-09,2371,374
2021-01-10,2386,15
2021-01-11,2666,280
2021-01-12,2923,257
2021-01-13,3366,443
2021-01-14,3668,302
2021-01-15,4138,470
2021-01-16,4540,402
2021-01-17,4565,25
2021-01-18,4776,211
2021-01-19,5178,402
2021-01-20,5848,670
2021-01-21,6459,611
2021-01-22,6792,333
2021-01-23,7362,570
2021-01-24,7482,120
2021-01-25,7901,419
2021-01-26,8366,465
2021-01-27,9048,682
2021-01-28,10008,960
2021-01-29,10689,681
2021-01-30,10727,38
2021-01-31,10843,116
2021-02-01,11171,328
2021-02-02,11416,245
2021-02-03,11961,545
2021-02-04,12420,459
2021-02-05,12980,560
2021-02-06,13171,191
2021-02-07,13203,32
2021-02-08,13642,439
2021-02-09,14469,827
2021-02-10,15778,1309
2021-02-11,17751,1973
2021-02-12,19128,1377
2021-02-13,19462,334
2021-02-14,19478,16
2021-02-15,19813,335
2021-02-16,20479,666
2021-02-17,20978,499
2021-02-18,21646,668
2021-02-19,22015,369
2021-02-20,22385,370
2021-02-21,22511,126
2021-02-22,22793,282
2021-02-23,23012,219
2021-02-24,23876,864
2021-02-25,25886,2010
2021-02-26,27378,1492
2021-02-27,28261,883
2021-02-28,28352,91
2021-03-01,28981,629
2021-03-02,29502,521
2021-03-03,30583,1081
2021-03-04,32154,1571
2021-03-05,33234,1080
2021-03-06,34273,1039
2021-03-07,34344,71
2021-03-08,34875,531
2021-03-09,35848,973
2021-03-10,37391,1543
2021-03-11,39514,2123
2021-03-12,40852,1338
2021-03-13,41708,856
2021-03-14,41755,47
2021-03-15,42658,903
2021-03-16,43573,915
2021-03-17,44462,889
2021-03-18,45837,1375
2021-03-19,46854,1017
2021-03-20,47776,922
2021-03-21,47848,72
2021-03-22,48416,568
2021-03-23,48783,367
2021-03-24,49708,925
2021-03-25,52063,2355
2021-03-26,53499,1436
2021-03-27,54570,1071
2021-03-28,54640,70
2021-03-29,55184,544
2021-03-30,55846,662
2021-03-31,57168,1322
2021-04-01,59386,2218
2021-04-02,60747,1361
2021-04-03,62076,1329
2021-04-04,62133,57
2021-04-05,62718,585
2021-04-06,63515,797
2021-04-07,64974,1459
2021-04-08,66574,1600
2021-04-09,67669,1095
2021-04-10,68452,783
2021-04-11,68554,102
2021-04-12,69256,702
2021-04-13,69810,554
2021-04-14,70768,958
2021-04-15,72631,1863
2021-04-16,73695,1064
2021-04-17,75038,1343
2021-04-18,75109,71
2021-04-19,75742,633
2021-04-20,76257,515
2021-04-21,77223,966
2021-04-22,78753,1530
2021-04-23,79752,999
2021-04-24,80625,873
2021-04-25,80682,57
2021-04-26,81149,467
2021-04-27,81648,499
2021-04-28,82594,946
2021-04-29,83611,1017
2021-04-30,84303,692
2021-05-01,84849,546
2021-05-02,84896,47
2021-05-03,85192,296
2021-05-04,85663,471
2021-05-05,86512,849
2021-05-06,87512,1000
2021-05-07,88224,712
2021-05-08,88705,481
2021-05-09,88752,47
2021-05-10,89088,336
2021-05-11,89395,307
2021-05-12,89955,560
2021-05-13,90954,999
2021-05-14,91490,536
2021-05-15,91829,339
2021-05-16,91891,62
2021-05-17,92342,451
2021-05-18,92803,461
2021-05-19,93579,776
2021-05-20,94350,771
2021-05-21,95062,712
2021-05-22,95388,326
2021-05-23,95443,55
2021-05-24,95859,416
2021-05-25,96151,292
2021-05-26,96583,432
2021-05-27,97234,651
2021-05-28,97760,526
2021-05-29,97852,92
2021-05-30,97914,62
2021-05-31,97983,69
2021-06-01,98301,318
2021-06-02,98723,422
2021-06-03,99309,586
2021-06-04,99795,486
2021-06-05,99930,135
2021-06-06,99968,38
