date,20-34,35-44,45-54,55-64,65+,<20,20-34_Apache,35-44_Apache,45-54_Apache,55-64_Apache,65+_Apache,<20_Apache,20-34_Coconino,35-44_Coconino,45-54_Coconino,55-64_Coconino,65+_Coconino,<20_Coconino,20-34_Cochise,35-44_Cochise,45-54_Cochise,55-64_Cochise,65+_Cochise,<20_Cochise,20-34_Graham,35-44_Graham,45-54_Graham,55-64_Graham,65+_Graham,<20_Graham,20-34_Greenlee,35-44_Greenlee,45-54_Greenlee,55-64_Greenlee,65+_Greenlee,<20_Greenlee,20-34_Gila,35-44_Gila,45-54_Gila,55-64_Gila,65+_Gila,<20_Gila,20-34_La Paz,35-44_La Paz,45-54_La Paz,55-64_La Paz,65+_La Paz,<20_La Paz,20-34_Maricopa,35-44_Maricopa,45-54_Maricopa,55-64_Maricopa,65+_Maricopa,<20_Maricopa,20-34_Mohave,35-44_Mohave,45-54_Mohave,55-64_Mohave,65+_Mohave,<20_Mohave,20-34_Navajo,35-44_Navajo,45-54_Navajo,55-64_Navajo,65+_Navajo,<20_Navajo,20-34_Pinal,35-44_Pinal,45-54_Pinal,55-64_Pinal,65+_Pinal,<20_Pinal,20-34_Pima,35-44_Pima,45-54_Pima,55-64_Pima,65+_Pima,<20_Pima,20-34_Yavapai,35-44_Yavapai,45-54_Yavapai,55-64_Yavapai,65+_Yavapai,<20_Yavapai,20-34_Santa Cruz,35-44_Santa Cruz,45-54_Santa Cruz,55-64_Santa Cruz,65+_Santa Cruz,<20_Santa Cruz,20-34_Yuma,35-44_Yuma,45-54_Yuma,55-64_Yuma,65+_Yuma,<20_Yuma
4/18/2021,454132,348198,381344,508322,1060297,68232,2980.0,2017.0,2331.0,3243.0,5169.0,1651.0,16289.0,9407.0,9014.0,10873.0,17780.0,1964.0,5610.0,4737.0,5293.0,8554.0,20532.0,652.0,2148.0,1825.0,1897.0,2502.0,4565.0,241.0,492.0,492.0,499.0,578.0,944.0,40.0,1630.0,1326.0,1865.0,3657.0,10469.0,228.0,305.0,275.0,392.0,931.0,4053.0,65.0,271295,215659,235902,295549,553622,38759,3306.0,3180.0,4612.0,10895.0,34183.0,318.0,3754.0,3094.0,3733.0,5807.0,13186.0,1644.0,15766.0,16263.0,19198.0,27221.0,67705.0,2306.0,80851.0,56384.0,58736.0,79333.0,184090.0,12357.0,5720.0,4716.0,6483.0,14279.0,48240,681.0,5129.0,3721.0,4423.0,5127.0,8944.0,761.0,16047.0,11271.0,12253.0,15093.0,28402.0,2472.0
4/19/2021,459238,351538,384849,511200,1062859,69523,2999.0,2022.0,2336.0,3247.0,5171.0,1658.0,16423.0,9428.0,9035.0,10909.0,17806.0,2090.0,5678.0,4769.0,5349.0,8606.0,20572.0,663.0,2162.0,1826.0,1901.0,2513.0,4569.0,243.0,492.0,493.0,499.0,578.0,944.0,41.0,1635.0,1330.0,1869.0,3670.0,10479.0,231.0,308.0,276.0,392.0,934.0,4058.0,65.0,274689,217998,238368,297149,554997,39553,3358.0,3205.0,4645.0,10993.0,34320.0,323.0,3788.0,3129.0,3753.0,5832.0,13212.0,1651.0,15969.0,16417.0,19392.0,27386.0,67908.0,2367.0,81491.0,56784.0,59144.0,79765.0,184458.0,12530.0,5800.0,4759.0,6539.0,14475.0,48394,689.0,5170.0,3749.0,4450.0,5148.0,8957.0,791.0,16182.0,11372.0,12343.0,15167.0,28475.0,2495.0
4/2/2021,330281,269393,294583,446711,1008461,39593,2746.0,1893.0,2207.0,3125.0,5024.0,1470.0,14375.0,8619.0,8332.0,10143.0,17079.0,1623.0,3785.0,3369.0,4156.0,7426.0,19392.0,330.0,1869.0,1521.0,1660.0,2324.0,4417.0,197.0,463.0,471.0,475.0,559.0,928.0,39.0,1434.0,1204.0,1703.0,3332.0,9985.0,185.0,212.0,219.0,298.0,808.0,3838.0,23.0,195098,165301,179559,261901,529321,21585,2133.0,2212.0,3196.0,8607.0,31235.0,131.0,3291.0,2755.0,3398.0,5399.0,12624.0,1462.0,11287.0,12253.0,14575.0,23730.0,64189.0,1196.0,58159.0,44084.0,45639.0,69058.0,174952.0,6402.0,4265.0,3778.0,5156.0,12114.0,45511,377.0,3436.0,2765.0,3492.0,4296.0,8467.0,307.0,11461.0,8568.0,9507.0,12463.0,26168.0,1136.0
4/20/2021,464146,354616,388252,513815,1065320,70734,3011.0,2030.0,2343.0,3258.0,5181.0,1667.0,16526.0,9455.0,9067.0,10941.0,17842.0,2139.0,5726.0,4806.0,5383.0,8648.0,20628.0,670.0,2192.0,1831.0,1913.0,2519.0,4581.0,248.0,494.0,496.0,500.0,578.0,946.0,41.0,1647.0,1335.0,1879.0,3684.0,10514.0,233.0,309.0,276.0,392.0,935.0,4065.0,65.0,277908,220090,240790,298702,556302,40384,3388.0,3246.0,4684.0,11084.0,34465.0,327.0,3830.0,3175.0,3773.0,5855.0,13240.0,1661.0,16209.0,16640.0,19601.0,27578.0,68111.0,2427.0,82192.0,57105.0,59498.0,80092.0,184784.0,12677.0,5840.0,4791.0,6586.0,14551.0,48488,700.0,5246.0,3786.0,4488.0,5170.0,8969.0,801.0,16282.0,11428.0,12399.0,15258.0,28547.0,2528.0
4/21/2021,470454,358731,392409,516929,1068099,72141,3019.0,2042.0,2348.0,3265.0,5189.0,1675.0,16647.0,9507.0,9121.0,10998.0,17886.0,2192.0,5838.0,4876.0,5434.0,8711.0,20679.0,689.0,2240.0,1860.0,1924.0,2526.0,4589.0,249.0,495.0,498.0,501.0,578.0,948.0,41.0,1656.0,1344.0,1885.0,3694.0,10524.0,235.0,320.0,282.0,399.0,955.0,4094.0,67.0,282093,222834,243547,300534,557814,41346,3430.0,3287.0,4723.0,11176.0,34599.0,333.0,3865.0,3217.0,3804.0,5867.0,13270.0,1667.0,16498.0,16906.0,19934.0,27754.0,68273.0,2500.0,82958.0,57582.0,59947.0,80483.0,185116.0,12827.0,5955.0,4854.0,6666.0,14726.0,48672,723.0,5316.0,3837.0,4526.0,5195.0,8976.0,807.0,16407.0,11509.0,12497.0,15336.0,28641.0,2574.0
4/22/2021,476488,362614,396338,519883,1070689,73384,3030.0,2049.0,2353.0,3278.0,5200.0,1685.0,16759.0,9536.0,9168.0,11043.0,17918.0,2231.0,5949.0,4968.0,5506.0,8786.0,20731.0,711.0,2264.0,1895.0,1949.0,2539.0,4600.0,250.0,500.0,507.0,504.0,579.0,951.0,42.0,1676.0,1352.0,1890.0,3701.0,10539.0,236.0,326.0,283.0,402.0,962.0,4118.0,67.0,286007,225357,246174,302237,559185,42139,3492.0,3328.0,4790.0,11301.0,34743.0,338.0,3915.0,3255.0,3834.0,5891.0,13283.0,1672.0,16725.0,17118.0,20146.0,27922.0,68415.0,2562.0,83740.0,58034.0,60370.0,80866.0,185472.0,13026.0,6077.0,4962.0,6778.0,14868.0,48854,747.0,5380.0,3889.0,4590.0,5228.0,8993.0,820.0,16537.0,11573.0,12580.0,15421.0,28716.0,2601.0
4/23/2021,482454,366646,400311,522953,1073039,74898,3037.0,2059.0,2356.0,3282.0,5203.0,1699.0,16888.0,9591.0,9203.0,11087.0,17955.0,2325.0,6051.0,5030.0,5575.0,8828.0,20765.0,726.0,2287.0,1917.0,1957.0,2550.0,4612.0,254.0,500.0,508.0,504.0,581.0,951.0,42.0,1695.0,1360.0,1893.0,3712.0,10553.0,240.0,331.0,290.0,404.0,966.0,4120.0,69.0,289803,228004,248854,303937,560386,43045,3569.0,3371.0,4840.0,11414.0,34860.0,358.0,3943.0,3278.0,3848.0,5909.0,13303.0,1684.0,16969.0,17315.0,20338.0,28100.0,68563.0,2619.0,84678.0,58654.0,60934.0,81382.0,185873.0,13282.0,6144.0,5037.0,6864.0,15009.0,48997,792.0,5438.0,3923.0,4632.0,5265.0,9017.0,836.0,16677.0,11644.0,12665.0,15521.0,28814.0,2641.0
4/24/2021,486196,368941,402841,524904,1074577,76356,3041.0,2059.0,2362.0,3282.0,5204.0,1704.0,16944.0,9617.0,9233.0,11105.0,17970.0,2347.0,6096.0,5054.0,5599.0,8848.0,20786.0,745.0,2297.0,1922.0,1961.0,2553.0,4617.0,257.0,500.0,509.0,504.0,582.0,951.0,42.0,1700.0,1361.0,1894.0,3712.0,10553.0,244.0,333.0,291.0,406.0,967.0,4123.0,70.0,292176,229561,250468,305071,561181,43794,3597.0,3400.0,4880.0,11456.0,34924.0,365.0,3951.0,3283.0,3860.0,5916.0,13316.0,1685.0,17096.0,17442.0,20479.0,28184.0,68664.0,2685.0,85324.0,58984.0,61348.0,81724.0,186135.0,13508.0,6261.0,5078.0,6940.0,15155.0,49120,818.0,5465.0,3939.0,4664.0,5283.0,9025.0,1109.0,16766.0,11683.0,12709.0,15577.0,28860.0,2674.0
4/25/2021,488621,370334,404345,525912,1075311,77319,3043.0,2059.0,2362.0,3283.0,5206.0,1705.0,16971.0,9622.0,9245.0,11112.0,17977.0,2359.0,6100.0,5060.0,5604.0,8851.0,20790.0,749.0,2297.0,1922.0,1961.0,2553.0,4617.0,257.0,500.0,509.0,504.0,582.0,951.0,42.0,1702.0,1362.0,1895.0,3715.0,10556.0,244.0,333.0,291.0,406.0,967.0,4123.0,70.0,293766,230552,251512,305660,561586,44463,3610.0,3405.0,4888.0,11473.0,34943.0,365.0,3952.0,3288.0,3863.0,5919.0,13317.0,1688.0,17196.0,17509.0,20547.0,28244.0,68723.0,2736.0,85712.0,59157.0,61550.0,81847.0,186246.0,13662.0,6349.0,5123.0,6990.0,15261.0,49197,841.0,5470.0,3943.0,4670.0,5283.0,9025.0,1111.0,16814.0,11700.0,12742.0,15613.0,28876.0,2696.0
4/26/2021,493028,373169,407332,528333,1077390,78645,3056.0,2066.0,2365.0,3292.0,5209.0,1711.0,17029.0,9639.0,9262.0,11135.0,17990.0,2374.0,6142.0,5092.0,5646.0,8886.0,20835.0,767.0,2300.0,1926.0,1971.0,2560.0,4632.0,257.0,500.0,510.0,504.0,582.0,951.0,42.0,1713.0,1364.0,1900.0,3725.0,10562.0,244.0,335.0,293.0,408.0,971.0,4125.0,73.0,296516,232395,253474,307068,562670,45169,3653.0,3433.0,4934.0,11538.0,35030.0,374.0,3967.0,3297.0,3877.0,5936.0,13343.0,1694.0,17385.0,17684.0,20705.0,28375.0,68871.0,2799.0,86488.0,59598.0,61991.0,82258.0,186584.0,13844.0,6419.0,5170.0,7051.0,15360.0,49335,863.0,5541.0,3987.0,4713.0,5305.0,9043.0,1349.0,16883.0,11742.0,12787.0,15663.0,28920.0,2715.0
