date,20-34_Pima,35-44_Pima,45-54_Pima,55-64_Pima,65+_Pima,<20_Pima
1/1/2021,4299,4500,3797,3575,2440,25
1/10/2021,6560,6494,5678,5520,5082,54
1/11/2021,6871,6773,5948,5802,5481,64
1/12/2021,7198,7036,6212,6064,6015,72
1/13/2021,7416,7272,6456,6315,6477,79
1/14/2021,7717,7580,6776,6612,6914,84
1/15/2021,8327,8158,7359,7172,8250,92
1/16/2021,8566,8354,7541,7339,8534,94
1/17/2021,8648,8413,7587,7396,8672,98
1/18/2021,8991,8717,7911,7685,10249,103
1/19/2021,9358,9003,8236,8010,11927,113
1/2/2021,4470,4623,3903,3690,2574,26
1/20/2021,9847,9547,8750,8494,14078,124
1/21/2021,10243,9992,9244,8976,17198,132
1/22/2021,10934,10680,9989,9722,20263,141
1/23/2021,11208,10916,10182,9923,22050,146
1/24/2021,11350,11046,10292,10031,22377,149
1/25/2021,12061,11687,11035,10786,25655,164
1/26/2021,12766,12267,11690,11438,28705,172
1/27/2021,13488,12860,12350,12159,31897,180
1/28/2021,14319,13499,13025,12888,35244,192
1/29/2021,15232,14226,13759,13643,38343,209
1/3/2021,4559,4712,3978,3747,2630,27
1/30/2021,15878,14659,14109,14041,41061,215
1/31/2021,16047,14770,14226,14178,41817,219
1/4/2021,4894,5035,4246,4030,2901,35
1/5/2021,5226,5361,4508,4323,3228,38
1/6/2021,5640,5698,4931,4690,3578,44
1/7/2021,5939,5937,5137,4970,4003,48
1/8/2021,6210,6227,5421,5256,4267,51
1/9/2021,6462,6399,5590,5441,5005,54
10/1/2021,130570,83506,82899,99918,201238,57186
10/10/2021,131979,84251,83414,100370,201762,57893
10/11/2021,132171,84367,83489,100432,201842,58005
10/12/2021,132288,84421,83520,100452,201884,58059
10/13/2021,132427,84505,83577,100501,201945,58139
10/14/2021,132636,84609,83642,100565,202026,58227
10/15/2021,132873,84714,83759,100639,202093,58322
10/16/2021,132983,84772,83795,100679,202128,58361
10/17/2021,133065,84808,83821,100691,202145,58401
10/18/2021,133251,84914,83888,100753,202203,58466
10/19/2021,133383,84996,83961,100813,202280,58539
10/2/2021,130677,83562,82948,99951,201272,57256
10/20/2021,133533,85061,84031,100873,202337,58614
10/21/2021,133684,85144,84123,100931,202387,58688
10/22/2021,133874,85251,84200,101012,202520,58767
10/23/2021,133979,85301,84237,101060,202610,58822
10/24/2021,134034,85326,84254,101083,202667,58864
10/25/2021,134207,85405,84313,101146,202873,58926
10/26/2021,134373,85533,84410,101244,203085,59091
10/27/2021,134582,85672,84511,101331,203290,59338
10/28/2021,134749,85752,84579,101412,203500,59393
10/29/2021,134947,85860,84662,101510,203679,59472
10/3/2021,130757,83598,82972,99967,201298,57295
10/30/2021,135024,85902,84686,101545,203782,59507
10/31/2021,135070,85927,84707,101561,203826,59524
10/4/2021,130982,83699,83054,100018,201386,57386
10/5/2021,131184,83792,83115,100088,201473,57464
10/6/2021,131397,83920,83187,100145,201545,57557
10/7/2021,131539,84018,83242,100210,201596,57641
10/8/2021,131803,84136,83330,100283,201666,57757
10/9/2021,131904,84203,83383,100337,201713,57849
11/1/2021,135263,86043,84801,101659,204037,59592
11/10/2021,136754,86856,85395,102298,205426,65046
11/11/2021,136900,86926,85473,102379,205622,65965
11/12/2021,137091,87023,85560,102464,205792,66930
11/13/2021,137181,87103,85618,102523,205866,68376
11/14/2021,137266,87173,85662,102561,205923,69382
11/15/2021,137486,87303,85776,102660,206073,70485
11/16/2021,137783,87470,85940,102782,206284,71577
11/17/2021,137965,87586,86015,102866,206507,72448
11/18/2021,138178,87701,86097,102958,206689,73133
11/19/2021,138414,87847,86192,103084,206850,74106
11/2/2021,135459,86153,84876,101733,204230,59690
11/20/2021,138537,87948,86270,103161,206913,75017
11/21/2021,138636,88010,86315,103215,206970,75348
11/22/2021,138825,88112,86402,103352,207145,75878
11/23/2021,139049,88232,86508,103471,207320,76599
11/24/2021,139244,88372,86618,103594,207482,77440
11/25/2021,139252,88375,86619,103595,207482,77441
11/26/2021,139389,88455,86683,103672,207573,77856
11/27/2021,139495,88548,86747,103743,207639,78311
11/28/2021,139588,88605,86801,103806,207694,78522
11/29/2021,139753,88700,86898,103901,207849,78937
11/3/2021,135626,86249,84940,101802,204361,59852
11/30/2021,139934,88808,86993,104014,208011,79480
11/4/2021,135784,86327,85009,101868,204524,59995
11/5/2021,135995,86429,85095,101971,204684,60233
11/6/2021,136097,86490,85128,102020,204796,60886
11/7/2021,136184,86544,85167,102061,204853,61806
11/8/2021,136408,86659,85262,102157,205060,62978
11/9/2021,136584,86746,85339,102233,205288,64021
12/1/2020,15,12,17,13,22,
12/1/2021,140155,88959,87091,104140,208171,79946
12/10/2020,18,16,27,19,34,
12/10/2021,141676,89981,87904,105149,209367,84280
12/11/2020,18,18,30,21,36,
12/11/2021,141768,90046,87955,105221,209424,84625
12/12/2020,18,18,31,23,39,
12/12/2021,141859,90127,88006,105273,209474,84977
12/13/2020,19,18,31,25,39,
12/13/2021,142016,90215,88074,105383,209588,85370
12/14/2020,19,21,34,25,40,
12/14/2021,142186,90282,88152,105470,209702,85730
12/15/2020,22,26,39,32,47,
12/15/2021,142371,90381,88234,105580,209840,86081
12/16/2020,24,29,41,33,49,
12/16/2021,142596,90500,88341,105726,210037,86534
12/17/2020,267,337,352,292,135,
12/17/2021,142796,90592,88464,105836,210170,87136
12/18/2020,573,700,650,564,255,1
12/18/2021,142937,90689,88536,105921,210229,87617
12/19/2020,775,907,794,670,319,1
12/19/2021,143083,90795,88609,105988,210282,87942
12/2/2020,16,12,20,13,22,
12/2/2021,140342,89071,87198,104275,208308,80390
12/20/2020,777,909,799,675,328,1
12/20/2021,143321,90927,88723,106115,210423,88523
12/21/2020,1183,1284,1085,959,462,3
12/21/2021,143556,91070,88827,106229,210554,89119
12/22/2020,1575,1674,1425,1247,600,5
12/22/2021,143789,91207,88932,106367,210703,89590
12/23/2020,2066,2160,1820,1563,779,5
12/23/2021,143991,91316,89021,106475,210813,89939
12/24/2020,2321,2443,2020,1779,871,7
12/24/2021,144061,91343,89045,106510,210862,90009
12/25/2020,2322,2444,2020,1781,874,7
12/26/2020,2522,2653,2166,1936,951,8
12/27/2020,2568,2699,2195,1968,968,8
12/28/2020,3028,3145,2561,2296,1159,10
12/29/2020,3476,3607,2908,2689,1411,16
12/3/2020,16,13,23,15,24,
12/3/2021,140517,89197,87298,104393,208489,80907
12/30/2020,3913,4067,3361,3121,1691,17
