Category,value
Apache,540
Cochise,459
Coconino,412
Gila,303
Graham,156
Greenlee,27
La Paz,107
Maricopa,"13,552"
Mohave,"1,165"
Navajo,737
Pima,"3,121"
Pinal,"1,294"
Santa Cruz,204
Yavapai,936
Yuma,969
Female,9921
Male,14048
20-44y,1303
45-54y,1869
55-64y,3787
65+,16971
<20y,52
"White, non-Hispanic",12401
Hispanic or Latino,6562
"American Indian or Alaska Native, non-Hispanic",1771
"Black or African American, non-Hispanic",730
"Asian or Pacific Islander, non-Hispanic",297
Other Race,668
Unknown,1553
