date,pcr_tests,pcr_pos_tests,pcr_positivity,ser_tests,ser_pos_tests,ser_positivity,pcr_tests_APACHE,pcr_pos_tests_APACHE,pcr_positivity_APACHE,ser_tests_APACHE,ser_pos_tests_APACHE,ser_positivity_APACHE,pcr_tests_YUMA,pcr_pos_tests_YUMA,pcr_positivity_YUMA,ser_tests_YUMA,ser_pos_tests_YUMA,ser_positivity_YUMA,pcr_tests_YAVAPAI,pcr_pos_tests_YAVAPAI,pcr_positivity_YAVAPAI,ser_tests_YAVAPAI,ser_pos_tests_YAVAPAI,ser_positivity_YAVAPAI,pcr_tests_SANTA CRUZ,pcr_pos_tests_SANTA CRUZ,pcr_positivity_SANTA CRUZ,ser_tests_SANTA CRUZ,ser_pos_tests_SANTA CRUZ,ser_positivity_SANTA CRUZ,pcr_tests_PINAL,pcr_pos_tests_PINAL,pcr_positivity_PINAL,ser_tests_PINAL,ser_pos_tests_PINAL,ser_positivity_PINAL,pcr_tests_PIMA,pcr_pos_tests_PIMA,pcr_positivity_PIMA,ser_tests_PIMA,ser_pos_tests_PIMA,ser_positivity_PIMA,pcr_tests_NAVAJO,pcr_pos_tests_NAVAJO,pcr_positivity_NAVAJO,ser_tests_NAVAJO,ser_pos_tests_NAVAJO,ser_positivity_NAVAJO,pcr_tests_MOHAVE,pcr_pos_tests_MOHAVE,pcr_positivity_MOHAVE,ser_tests_MOHAVE,ser_pos_tests_MOHAVE,ser_positivity_MOHAVE,pcr_tests_MARICOPA,pcr_pos_tests_MARICOPA,pcr_positivity_MARICOPA,ser_tests_MARICOPA,ser_pos_tests_MARICOPA,ser_positivity_MARICOPA,pcr_tests_LA PAZ,pcr_pos_tests_LA PAZ,pcr_positivity_LA PAZ,ser_tests_LA PAZ,ser_pos_tests_LA PAZ,ser_positivity_LA PAZ,pcr_tests_GREENLEE,pcr_pos_tests_GREENLEE,pcr_positivity_GREENLEE,ser_tests_GREENLEE,ser_pos_tests_GREENLEE,ser_positivity_GREENLEE,pcr_tests_GRAHAM,pcr_pos_tests_GRAHAM,pcr_positivity_GRAHAM,ser_tests_GRAHAM,ser_pos_tests_GRAHAM,ser_positivity_GRAHAM,pcr_tests_GILA,pcr_pos_tests_GILA,pcr_positivity_GILA,ser_tests_GILA,ser_pos_tests_GILA,ser_positivity_GILA,pcr_tests_COCONINO,pcr_pos_tests_COCONINO,pcr_positivity_COCONINO,ser_tests_COCONINO,ser_pos_tests_COCONINO,ser_positivity_COCONINO,pcr_tests_COCHISE,pcr_pos_tests_COCHISE,pcr_positivity_COCHISE,ser_tests_COCHISE,ser_pos_tests_COCHISE,ser_positivity_COCHISE
2021-06-13 00:00:00,3482.0,169.0,0.0485353245261344,141.0,95.0,0.673758865248227,11.0,1.0,0.0909090909090909,,,,31.0,0.0,0.0,,,,99.0,7.0,0.0707070707070707,4.0,3.0,0.75,3.0,0.0,0.0,,,,252.0,20.0,0.0793650793650794,3.0,2.0,0.6666666666666666,470.0,16.0,0.0340425531914894,4.0,4.0,1.0,25.0,1.0,0.04,,,,73.0,12.0,0.1643835616438356,5.0,2.0,0.4,2159.0,106.0,0.0490968040759611,117.0,77.0,0.6581196581196582,1.0,0.0,0.0,,,,1.0,0.0,0.0,,,,5.0,0.0,0.0,,,,14.0,1.0,0.0714285714285714,,,,47.0,0.0,0.0,5.0,5.0,1.0,17.0,1.0,0.0588235294117647,3.0,2.0,0.6666666666666666
2021-06-12 00:00:00,3635.0,171.0,0.0470426409903714,264.0,129.0,0.4886363636363636,18.0,1.0,0.0555555555555556,1.0,0.0,0.0,29.0,0.0,0.0,2.0,0.0,0.0,102.0,6.0,0.0588235294117647,,,,12.0,1.0,0.0833333333333333,,,,292.0,18.0,0.0616438356164384,26.0,16.0,0.6153846153846154,525.0,25.0,0.0476190476190476,6.0,3.0,0.5,27.0,7.0,0.2592592592592593,1.0,1.0,1.0,72.0,5.0,0.0694444444444445,1.0,1.0,1.0,2191.0,103.0,0.0470104974897307,210.0,101.0,0.480952380952381,2.0,0.0,0.0,,,,2.0,0.0,0.0,,,,7.0,1.0,0.1428571428571429,,,,13.0,1.0,0.0769230769230769,1.0,1.0,1.0,52.0,0.0,0.0,12.0,4.0,0.3333333333333333,26.0,0.0,0.0,,,
2021-06-11 00:00:00,6074.0,287.0,0.0472505762265393,529.0,283.0,0.5349716446124764,18.0,0.0,0.0,2.0,1.0,0.5,118.0,2.0,0.0169491525423729,29.0,22.0,0.7586206896551724,159.0,4.0,0.0251572327044025,14.0,8.0,0.5714285714285714,24.0,0.0,0.0,1.0,0.0,0.0,608.0,28.0,0.0460526315789474,34.0,9.0,0.2647058823529412,823.0,38.0,0.0461725394896719,27.0,11.0,0.4074074074074074,62.0,5.0,0.0806451612903226,20.0,10.0,0.5,150.0,7.0,0.0466666666666667,8.0,3.0,0.375,3208.0,191.0,0.0595386533665835,380.0,214.0,0.5631578947368422,7.0,0.0,0.0,,,,1.0,0.0,0.0,,,,10.0,0.0,0.0,1.0,0.0,0.0,31.0,0.0,0.0,6.0,3.0,0.5,129.0,2.0,0.0155038759689922,2.0,1.0,0.5,47.0,0.0,0.0,3.0,1.0,0.3333333333333333
2021-06-10 00:00:00,6003.0,263.0,0.0438114276195236,693.0,429.0,0.6190476190476192,15.0,1.0,0.0666666666666667,1.0,1.0,1.0,92.0,1.0,0.0108695652173913,16.0,12.0,0.75,181.0,5.0,0.0276243093922652,27.0,16.0,0.5925925925925926,14.0,0.0,0.0,1.0,0.0,0.0,436.0,29.0,0.0665137614678899,39.0,24.0,0.6153846153846154,800.0,28.0,0.035,34.0,16.0,0.4705882352941176,45.0,1.0,0.0222222222222222,12.0,7.0,0.5833333333333334,115.0,12.0,0.1043478260869565,25.0,14.0,0.5600000000000002,3537.0,177.0,0.0500424088210348,506.0,325.0,0.642292490118577,11.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,11.0,0.0,0.0,,,,39.0,0.0,0.0,13.0,3.0,0.2307692307692308,84.0,1.0,0.0119047619047619,5.0,3.0,0.6,45.0,0.0,0.0,5.0,2.0,0.4
2021-06-09 00:00:00,6142.0,338.0,0.0550309345490068,716.0,451.0,0.6298882681564246,17.0,2.0,0.1176470588235294,2.0,2.0,1.0,71.0,2.0,0.028169014084507,18.0,12.0,0.6666666666666666,186.0,14.0,0.0752688172043011,20.0,4.0,0.2,27.0,1.0,0.037037037037037,3.0,2.0,0.6666666666666666,444.0,36.0,0.0810810810810811,38.0,19.0,0.5,737.0,17.0,0.0230664857530529,36.0,16.0,0.4444444444444444,64.0,6.0,0.09375,14.0,12.0,0.8571428571428572,161.0,16.0,0.0993788819875776,43.0,25.0,0.5813953488372094,3595.0,228.0,0.0634214186369958,497.0,326.0,0.6559356136820926,10.0,0.0,0.0,,,,1.0,0.0,0.0,,,,19.0,2.0,0.1052631578947368,1.0,1.0,1.0,26.0,2.0,0.0769230769230769,17.0,10.0,0.5882352941176472,108.0,2.0,0.0185185185185185,18.0,16.0,0.8888888888888888,59.0,2.0,0.0338983050847458,1.0,0.0,0.0
2021-06-08 00:00:00,6474.0,298.0,0.0460302749459376,688.0,411.0,0.5973837209302326,18.0,1.0,0.0555555555555556,,,,103.0,2.0,0.0194174757281553,2.0,1.0,0.5,201.0,7.0,0.0348258706467662,20.0,7.0,0.35,17.0,0.0,0.0,2.0,1.0,0.5,465.0,25.0,0.0537634408602151,24.0,11.0,0.4583333333333334,789.0,25.0,0.0316856780735108,37.0,16.0,0.4324324324324325,52.0,7.0,0.1346153846153846,,,,193.0,10.0,0.0518134715025907,11.0,6.0,0.5454545454545454,3849.0,204.0,0.0530007794232268,537.0,334.0,0.6219739292364992,11.0,0.0,0.0,,,,,,,,,,15.0,4.0,0.2666666666666667,,,,22.0,2.0,0.0909090909090909,15.0,7.0,0.4666666666666668,78.0,0.0,0.0,29.0,25.0,0.8620689655172414,41.0,1.0,0.024390243902439,6.0,3.0,0.5
2021-06-07 00:00:00,7048.0,321.0,0.0455448354143019,429.0,217.0,0.5058275058275058,29.0,1.0,0.0344827586206897,1.0,1.0,1.0,112.0,2.0,0.0178571428571429,4.0,2.0,0.5,241.0,10.0,0.04149377593361,8.0,2.0,0.25,36.0,6.0,0.1666666666666667,1.0,1.0,1.0,349.0,19.0,0.0544412607449857,21.0,11.0,0.5238095238095238,931.0,29.0,0.0311493018259936,39.0,17.0,0.4358974358974359,119.0,3.0,0.0252100840336134,4.0,1.0,0.25,184.0,17.0,0.0923913043478261,7.0,4.0,0.5714285714285714,4100.0,212.0,0.0517073170731707,326.0,170.0,0.5214723926380368,16.0,4.0,0.25,,,,1.0,0.0,0.0,,,,14.0,0.0,0.0,,,,34.0,2.0,0.0588235294117647,4.0,3.0,0.75,94.0,1.0,0.0106382978723404,8.0,2.0,0.25,46.0,1.0,0.0217391304347826,5.0,3.0,0.6
2021-06-06 00:00:00,4022.0,196.0,0.0487319741422178,226.0,151.0,0.668141592920354,6.0,0.0,0.0,,,,48.0,1.0,0.0208333333333333,,,,90.0,8.0,0.0888888888888889,7.0,3.0,0.4285714285714286,10.0,1.0,0.1,,,,251.0,15.0,0.0597609561752988,11.0,7.0,0.6363636363636364,541.0,15.0,0.0277264325323475,2.0,1.0,0.5,44.0,1.0,0.0227272727272727,1.0,0.0,0.0,79.0,8.0,0.1012658227848101,2.0,0.0,0.0,2581.0,142.0,0.0550174351026734,201.0,140.0,0.6965174129353234,6.0,0.0,0.0,,,,1.0,0.0,0.0,,,,6.0,0.0,0.0,,,,21.0,1.0,0.0476190476190476,1.0,0.0,0.0,49.0,0.0,0.0,,,,36.0,0.0,0.0,1.0,0.0,0.0
2021-06-05 00:00:00,4415.0,192.0,0.0434881087202718,302.0,204.0,0.675496688741722,5.0,0.0,0.0,1.0,1.0,1.0,60.0,2.0,0.0333333333333333,,,,117.0,5.0,0.0427350427350427,,,,9.0,0.0,0.0,1.0,0.0,0.0,277.0,21.0,0.075812274368231,20.0,10.0,0.5,552.0,13.0,0.0235507246376812,7.0,2.0,0.2857142857142857,37.0,0.0,0.0,,,,70.0,7.0,0.1,2.0,0.0,0.0,2859.0,140.0,0.0489681706890521,256.0,180.0,0.703125,1.0,0.0,0.0,,,,5.0,0.0,0.0,,,,11.0,0.0,0.0,,,,11.0,0.0,0.0,,,,81.0,0.0,0.0,8.0,6.0,0.75,41.0,1.0,0.024390243902439,6.0,5.0,0.8333333333333334
2021-06-04 00:00:00,6486.0,271.0,0.0417823003391921,529.0,309.0,0.5841209829867676,19.0,1.0,0.0526315789473684,1.0,0.0,0.0,105.0,1.0,0.0095238095238095,4.0,2.0,0.5,206.0,3.0,0.0145631067961165,13.0,4.0,0.3076923076923077,20.0,2.0,0.1,,,,383.0,23.0,0.0600522193211488,35.0,20.0,0.5714285714285714,906.0,24.0,0.0264900662251656,45.0,24.0,0.5333333333333334,73.0,2.0,0.0273972602739726,2.0,2.0,1.0,141.0,7.0,0.049645390070922,9.0,1.0,0.1111111111111111,3727.0,186.0,0.0499060906895627,384.0,233.0,0.6067708333333334,9.0,0.0,0.0,1.0,0.0,0.0,,,,,,,5.0,0.0,0.0,,,,25.0,0.0,0.0,6.0,5.0,0.8333333333333334,141.0,3.0,0.0212765957446809,15.0,10.0,0.6666666666666666,63.0,5.0,0.0793650793650794,10.0,6.0,0.6
