Category,value
tests,723527
YUMA,12619
YAVAPAI,21354
SANTA CRUZ,2154
PINAL,44071
PIMA,65285
NAVAJO,5929
MOHAVE,15937
MARICOPA,517484
LA PAZ,1879
GREENLEE,302
GRAHAM,1573
GILA,7080
COCONINO,9626
COCHISE,6567
APACHE,1628
Unknown,655
65 years and older,176829
55 - 64 years,144487
45 - 54 years,130502
20 - 44 years,239353
Less than 20 years,31701
positive,0.2104648478909564
