Category,value
tests,775514
YUMA,12945
YAVAPAI,22666
SANTA CRUZ,2390
PINAL,47322
PIMA,68420
NAVAJO,6441
MOHAVE,17904
MARICOPA,556068
LA PAZ,1919
GREENLEE,313
GRAHAM,1663
GILA,7732
COCONINO,10247
COCHISE,7268
APACHE,1688
Unknown,711
65 years and older,187491
55 - 64 years,153941
45 - 54 years,140018
20 - 44 years,257793
Less than 20 years,35560
positive,0.229409140260524
