date,pcr_tests_GRAHAM,pcr_positivity_GRAHAM,ser_tests_GRAHAM,ser_positivity_GRAHAM
2020-05-02 00:00:00,3,0,,
2020-05-01 00:00:00,13,0.0769230769230769,4.0,0
2020-04-30 00:00:00,7,0,3.0,0
2020-04-29 00:00:00,24,0.0416666666666667,4.0,0
2020-04-28 00:00:00,10,0.1,2.0,0
2020-04-27 00:00:00,19,0,,
2020-04-26 00:00:00,2,0,,
2020-04-25 00:00:00,4,0.25,,
2020-04-24 00:00:00,10,0.2,,
2020-04-23 00:00:00,6,0,,
2020-04-22 00:00:00,7,0,,
2020-04-21 00:00:00,2,0,,
2020-04-20 00:00:00,6,0.5,,
2020-04-19 00:00:00,3,0,,
2020-04-17 00:00:00,4,0,,
2020-04-16 00:00:00,6,0,,
2020-04-15 00:00:00,11,0,,
2020-04-14 00:00:00,1,0,,
2020-04-13 00:00:00,1,0,,
2020-04-12 00:00:00,1,0,,
2020-04-11 00:00:00,1,0,,
2020-04-10 00:00:00,2,0,,
2020-04-09 00:00:00,4,0,,
2020-04-08 00:00:00,4,0,,
2020-04-07 00:00:00,11,0,,
2020-04-06 00:00:00,6,0,,
2020-04-04 00:00:00,2,0,,
2020-04-03 00:00:00,2,0,,
2020-04-02 00:00:00,5,0,,
2020-04-01 00:00:00,11,0,,
2020-03-31 00:00:00,12,0,,
2020-03-30 00:00:00,9,0,,
2020-03-29 00:00:00,2,0,,
2020-03-27 00:00:00,8,0,,
2020-03-26 00:00:00,8,0,,
2020-03-25 00:00:00,3,0,,
2020-03-24 00:00:00,9,0,,
2020-03-23 00:00:00,6,0,,
2020-03-21 00:00:00,2,0,,
2020-03-20 00:00:00,8,0,,
2020-03-19 00:00:00,3,0,,
2020-03-18 00:00:00,3,0,,
2020-03-17 00:00:00,5,0,,
2020-03-16 00:00:00,4,0,,
2020-03-15 00:00:00,1,0,,
2020-03-14 00:00:00,3,0,,
2020-03-13 00:00:00,2,0,,
2020-03-12 00:00:00,3,0,,
2020-03-11 00:00:00,1,1,,
2020-03-10 00:00:00,1,0,,
2020-03-06 00:00:00,1,0,,
