date,pcr_tests_GILA,pcr_positivity_GILA,ser_tests_GILA,ser_positivity_GILA
2020-06-05 00:00:00,44,0.0681818181818182,17.0,0
2020-06-04 00:00:00,76,0.0131578947368421,9.0,0
2020-06-03 00:00:00,42,0.0476190476190476,40.0,0.025
2020-06-02 00:00:00,44,0.0227272727272727,24.0,0.0416666666666667
2020-06-01 00:00:00,48,0.0208333333333333,17.0,0
2020-05-31 00:00:00,19,0.0526315789473684,11.0,0
2020-05-30 00:00:00,180,0.0333333333333333,14.0,0
2020-05-29 00:00:00,151,0.0066225165562914,102.0,0.0098039215686275
2020-05-28 00:00:00,116,0.0172413793103448,77.0,0
2020-05-27 00:00:00,95,0,65.0,0
2020-05-26 00:00:00,152,0,164.0,0.0060975609756098
2020-05-25 00:00:00,18,0,10.0,0
2020-05-24 00:00:00,24,0,13.0,0
2020-05-23 00:00:00,35,0,19.0,0.1052631578947368
2020-05-22 00:00:00,16,0,16.0,0
2020-05-21 00:00:00,133,0.0075187969924812,115.0,0
2020-05-20 00:00:00,88,0,117.0,0.0085470085470085
2020-05-19 00:00:00,132,0,83.0,0
2020-05-18 00:00:00,32,0.0625,65.0,0.0153846153846154
2020-05-17 00:00:00,117,0.0085470085470085,8.0,0
2020-05-16 00:00:00,24,0,15.0,0
2020-05-15 00:00:00,78,0,80.0,0
2020-05-14 00:00:00,204,0,51.0,0
2020-05-13 00:00:00,61,0.0163934426229508,52.0,0.0576923076923077
2020-05-12 00:00:00,59,0,34.0,0.0294117647058824
2020-05-11 00:00:00,35,0.0285714285714286,51.0,0
2020-05-10 00:00:00,18,0,10.0,0
2020-05-09 00:00:00,16,0,10.0,0
2020-05-08 00:00:00,74,0,37.0,0
2020-05-07 00:00:00,67,0,22.0,0
2020-05-06 00:00:00,29,0,95.0,0.0315789473684211
2020-05-05 00:00:00,30,0.0666666666666667,20.0,0.05
2020-05-04 00:00:00,26,0.0384615384615385,13.0,0
2020-05-03 00:00:00,6,0,5.0,0
2020-05-02 00:00:00,14,0,9.0,0
