date,icu_covid,icu_non_covid,icu_empty
2021-04-14,1322,1311,1287
2021-04-13,1322,1311,1287
2021-04-12,1322,1311,1287
2021-04-11,1322,1311,1287
2021-04-10,1322,1311,1287
2021-04-09,1322,1311,1287
2021-04-08,1322,1311,1287
2021-04-07,1322,1311,1287
2021-04-06,1322,1311,1287
2021-04-05,1322,1311,1287
2021-04-04,1322,1311,1287
2021-04-03,1322,1311,1287
2021-04-02,1322,1311,1287
2021-04-01,1322,1311,1287
2021-03-31,1322,1311,1287
2021-03-30,1322,1311,1287
2021-03-28,1322,1311,1287
2021-03-27,1322,1311,1287
2021-03-26,1322,1311,1287
2021-03-25,1322,1311,1287
2021-03-24,1322,1311,1287
2021-03-23,1322,1311,1287
2021-03-22,1322,1311,1287
2021-03-21,1322,1311,1287
2021-03-20,1322,1311,1287
2021-03-19,1322,1311,1287
2021-03-18,1322,1311,1287
2021-03-17,1322,1311,1287
2021-03-16,1322,1311,1287
2021-03-15,1322,1311,1287
2021-03-14,1322,1311,1287
2021-03-13,1322,1311,1287
2021-03-12,1322,1311,1287
2021-03-11,1322,1311,1287
2021-03-10,1322,1311,1287
2021-03-09,1322,1311,1287
2021-03-08,1322,1311,1287
2021-03-07,1322,1311,1287
2021-03-06,1322,1311,1287
2021-03-05,1322,1311,1287
2021-03-04,1322,1311,1287
2021-03-03,1322,1311,1287
2021-03-02,1322,1311,1287
2021-03-01,1322,1311,1287
2021-02-28,1322,1311,1287
2021-02-27,1322,1311,1287
2021-02-26,1322,1311,1287
2021-02-25,1322,1311,1287
2021-02-24,1322,1311,1287
2021-02-23,1322,1311,1287
2021-02-22,1322,1311,1287
2021-02-21,1322,1311,1287
2021-02-20,1322,1311,1287
2021-02-19,1322,1311,1287
2021-02-18,1322,1311,1287
2021-02-17,1322,1311,1287
2021-02-16,1322,1311,1287
2021-02-15,1322,1311,1287
2021-02-14,1322,1311,1287
2021-02-13,1322,1311,1287
2021-02-12,1322,1311,1287
2021-02-11,1322,1311,1287
2021-02-10,1322,1311,1287
2021-02-09,1322,1311,1287
2021-02-08,1322,1311,1287
2021-02-07,1322,1311,1287
2021-02-06,1322,1311,1287
2021-02-05,1322,1311,1287
2021-02-04,1322,1311,1287
2021-02-03,1322,1311,1287
2021-02-02,1322,1311,1287
2021-02-01,1322,1311,1287
