date,Arizona,Arizona_cum,StatePODs,StatePODs_cum
2021-03-22 00:00:00,24204,2940466,,
2021-03-21 00:00:00,24723,2916262,,
2021-03-20 00:00:00,40235,2891539,,
2021-03-19 00:00:00,55416,2851304,,
2021-03-18 00:00:00,60401,2795888,,
2021-03-17 00:00:00,60021,2735487,,
2021-03-16 00:00:00,52826,2675466,,
2021-03-15 00:00:00,45629,2622640,,
2021-03-14 00:00:00,26547,2577011,,
2021-03-13 00:00:00,49622,2550464,,
2021-03-12 00:00:00,70055,2500842,,
2021-03-11 00:00:00,68483,2430787,,
2021-03-10 00:00:00,65180,2362304,,
2021-03-09 00:00:00,55570,2297124,,
2021-03-08 00:00:00,49677,2241554,,
2021-03-07 00:00:00,25634,2191877,,
2021-03-06 00:00:00,43960,2166243,,
2021-03-05 00:00:00,57172,2122283,,
2021-03-04 00:00:00,56589,2065111,,
2021-03-03 00:00:00,57318,2008522,,
2021-03-02 00:00:00,48903,1951204,,
2021-03-01 00:00:00,44618,1902301,,
2021-02-28 00:00:00,25408,1857683,,
2021-02-27 00:00:00,50682,1832275,,
2021-02-26 00:00:00,66086,1781593,,
2021-02-25 00:00:00,59717,1715507,,
2021-02-24 00:00:00,56069,1655790,,
2021-02-23 00:00:00,43644,1599721,,
2021-02-22 00:00:00,27512,1556077,,
2021-02-21 00:00:00,14749,1528565,,
2021-02-20 00:00:00,34325,1513816,,
2021-02-19 00:00:00,41793,1479491,,
2021-02-18 00:00:00,43780,1437698,,
2021-02-17 00:00:00,46173,1393918,,
2021-02-16 00:00:00,44052,1347745,,
2021-02-15 00:00:00,30917,1303693,,
2021-02-14 00:00:00,17223,1272776,,
2021-02-13 00:00:00,45439,1255553,,
2021-02-12 00:00:00,60608,1210114,,
2021-02-11 00:00:00,50383,1149506,,
2021-02-10 00:00:00,49874,1099123,,
2021-02-09 00:00:00,43618,1049249,,
2021-02-08 00:00:00,38274,1005631,,
2021-02-07 00:00:00,16205,967357,,
2021-02-06 00:00:00,37691,951152,,
2021-02-05 00:00:00,43318,913461,,
2021-02-04 00:00:00,45853,870143,,
2021-02-03 00:00:00,43229,824290,,
2021-02-02 00:00:00,37994,781061,,
2021-02-01 00:00:00,29071,743067,,
2021-01-31 00:00:00,11519,713996,4834.0,113980.0
2021-01-30 00:00:00,25950,702477,4759.0,109146.0
2021-01-29 00:00:00,39224,676527,4950.0,104387.0
2021-01-28 00:00:00,39127,637303,5409.0,99437.0
2021-01-27 00:00:00,39169,598176,5514.0,94028.0
2021-01-26 00:00:00,36345,559007,6135.0,88514.0
2021-01-25 00:00:00,28791,522662,5274.0,82379.0
2021-01-24 00:00:00,16022,493871,5752.0,77105.0
2021-01-23 00:00:00,28385,477849,5759.0,71353.0
2021-01-22 00:00:00,37273,449464,5562.0,65594.0
2021-01-21 00:00:00,34539,412191,6169.0,60032.0
2021-01-20 00:00:00,31123,377652,5694.0,53863.0
2021-01-19 00:00:00,26424,346529,6001.0,48169.0
2021-01-18 00:00:00,18793,320105,6008.0,42168.0
2021-01-17 00:00:00,9268,301312,5970.0,36160.0
2021-01-16 00:00:00,15679,292044,5663.0,30190.0
2021-01-15 00:00:00,24074,276365,5947.0,24527.0
2021-01-14 00:00:00,24338,252291,5885.0,18580.0
2021-01-13 00:00:00,24890,227953,6323.0,12695.0
2021-01-12 00:00:00,22837,203063,5637.0,6372.0
2021-01-11 00:00:00,15411,180226,733.0,735.0
2021-01-10 00:00:00,3163,164815,,
2021-01-09 00:00:00,7891,161652,,
2021-01-08 00:00:00,11601,153761,1.0,2.0
2021-01-07 00:00:00,12158,142160,,
2021-01-06 00:00:00,11666,130002,,
2021-01-05 00:00:00,8689,118336,1.0,1.0
2021-01-04 00:00:00,8418,109647,,
2021-01-03 00:00:00,3175,101229,,
2021-01-02 00:00:00,7516,98054,,
2021-01-01 00:00:00,486,90538,,
2020-12-31 00:00:00,7655,90052,,
2020-12-30 00:00:00,14614,82397,,
2020-12-29 00:00:00,12639,67783,,
2020-12-28 00:00:00,9001,55144,,
2020-12-27 00:00:00,2631,46143,,
2020-12-26 00:00:00,6499,43512,,
2020-12-25 00:00:00,137,37013,,
2020-12-24 00:00:00,3736,36876,,
2020-12-23 00:00:00,9543,33140,,
2020-12-22 00:00:00,7608,23597,,
2020-12-21 00:00:00,5385,15989,,
2020-12-20 00:00:00,1008,10604,,
2020-12-19 00:00:00,2548,9596,,
2020-12-18 00:00:00,3494,7048,,
2020-12-17 00:00:00,2902,3554,,
2020-12-16 00:00:00,553,652,,
2020-12-15 00:00:00,30,99,,
2020-12-14 00:00:00,4,69,,
2020-12-13 00:00:00,3,65,,
2020-12-12 00:00:00,3,62,,
2020-12-11 00:00:00,7,59,,
2020-12-10 00:00:00,1,52,,
2020-12-09 00:00:00,3,51,,
2020-12-08 00:00:00,3,48,,
2020-12-07 00:00:00,4,45,,
2020-12-05 00:00:00,1,41,,
2020-12-04 00:00:00,3,40,,
2020-12-03 00:00:00,5,37,,
2020-12-02 00:00:00,7,32,,
2020-12-01 00:00:00,25,25,,
