Category,value
tests,12421897
day,
pos,
est_pos,
total_pos,
0_5,
Less than 20 years,2088875
20 - 44 years,5303809
45 - 54 years,1644319
55 - 64 years,1525257
65 years and older,1835419
Unknown,24218
positive,0.0973417345192928
