Category,value
Apache,521
Cochise,422
Coconino,394
Gila,286
Graham,142
Greenlee,23
La Paz,105
Maricopa,"13,120"
Mohave,"1,094"
Navajo,704
Pima,"2,983"
Pinal,"1,218"
Santa Cruz,200
Yavapai,867
Yuma,942
Female,9513
Male,13495
20-44y,1238
45-54y,1781
55-64y,3599
65+,16353
<20y,50
"White, non-Hispanic",11907
Hispanic or Latino,6355
"American Indian or Alaska Native, non-Hispanic",1729
"Black or African American, non-Hispanic",705
"Asian or Pacific Islander, non-Hispanic",286
Other Race,641
Unknown,1398
