date,20-34_Yavapai,35-44_Yavapai,45-54_Yavapai,55-64_Yavapai,65+_Yavapai,<20_Yavapai
1/1/2021,313,410,436,645,433,6
1/10/2021,567,698,800,1119,966,10
1/11/2021,576,706,809,1135,994,11
1/12/2021,595,730,839,1182,1084,11
1/13/2021,639,778,926,1274,1271,12
1/14/2021,672,823,981,1346,1386,14
1/15/2021,687,834,993,1366,1435,14
1/16/2021,708,866,1037,1413,1581,16
1/17/2021,710,868,1040,1418,1597,17
1/18/2021,717,871,1053,1438,1747,18
1/19/2021,751,924,1106,1514,1900,19
1/2/2021,333,443,459,677,444,6
1/20/2021,793,973,1171,1608,2179,19
1/21/2021,917,1129,1347,1848,2869,19
1/22/2021,1052,1263,1523,2100,3804,21
1/23/2021,1092,1319,1577,2207,4943,24
1/24/2021,1108,1336,1599,2284,6136,25
1/25/2021,1131,1360,1631,2362,6781,25
1/26/2021,1142,1372,1660,2407,7139,25
1/27/2021,1215,1425,1733,2591,8394,26
1/28/2021,1263,1497,1840,2792,9781,33
1/29/2021,1341,1556,1936,2965,11015,38
1/3/2021,333,445,459,678,446,6
1/30/2021,1389,1582,1994,3051,11649,39
1/31/2021,1427,1608,2044,3136,12350,41
1/4/2021,342,450,468,690,452,6
1/5/2021,349,458,483,709,474,6
1/6/2021,357,465,494,734,511,7
1/7/2021,440,564,636,871,710,8
1/8/2021,533,668,762,1078,919,10
1/9/2021,566,697,799,1119,963,10
10/1/2021,10913,7940,10397,19659,54360,4535
10/10/2021,11057,8010,10474,19737,54484,4578
10/11/2021,11073,8021,10477,19751,54514,4584
10/12/2021,11083,8024,10484,19758,54525,4594
10/13/2021,11098,8029,10491,19768,54537,4608
10/14/2021,11115,8042,10501,19785,54561,4611
10/15/2021,11135,8049,10509,19797,54581,4618
10/16/2021,11146,8054,10514,19803,54589,4628
10/17/2021,11160,8062,10523,19808,54595,4632
10/18/2021,11176,8069,10528,19816,54610,4637
10/19/2021,11196,8078,10533,19826,54621,4646
10/2/2021,10932,7946,10405,19667,54373,4541
10/20/2021,11213,8084,10538,19835,54648,4648
10/21/2021,11235,8093,10548,19851,54662,4654
10/22/2021,11252,8101,10561,19871,54707,4660
10/23/2021,11253,8103,10572,19880,54747,4662
