Category,value
tests,550385
Yuma,10812
Yavapai,14186
Santa Cruz,2137
Pinal,35266
Pima,54748
Navajo,4566
Mohave,12450
Maricopa,382856
La Paz,1596
Greenlee,210
Graham,1149
Gila,6118
Coconino,6781
Cochise,6361
Apache,1255
Unknown,472
65 years and older,127976
55 - 64 years,103305
45 - 54 years,97059
20 - 44 years,192986
Less than 20 years,28587
positive,0.2037337500113557
