date,Santa Cruz_cume,Santa Cruz
2020-12-01,1,
2020-12-17,9,8
2020-12-18,15,6
2020-12-19,19,4
2020-12-20,21,2
2020-12-21,24,3
2020-12-22,71,47
2020-12-23,97,26
2020-12-24,122,25
2020-12-26,128,6
2020-12-28,171,43
2020-12-29,232,61
2020-12-30,304,72
2020-12-31,369,65
2021-01-01,392,23
2021-01-02,395,3
2021-01-03,401,6
2021-01-04,469,68
2021-01-05,546,77
2021-01-06,666,120
2021-01-07,835,169
2021-01-08,1000,165
2021-01-09,1009,9
2021-01-10,1014,5
2021-01-11,1115,101
2021-01-12,1256,141
2021-01-13,1466,210
2021-01-14,1685,219
2021-01-15,1905,220
2021-01-16,1919,14
2021-01-17,1928,9
2021-01-18,1956,28
2021-01-19,2065,109
2021-01-20,2502,437
2021-01-21,2911,409
2021-01-22,3463,552
2021-01-23,3492,29
2021-01-24,3500,8
2021-01-25,3626,126
2021-01-26,4067,441
2021-01-27,4274,207
2021-01-28,4783,509
2021-01-29,5258,475
2021-01-30,5343,85
2021-01-31,5390,47
2021-02-01,5589,199
2021-02-02,6199,610
2021-02-03,6436,237
2021-02-04,7030,594
2021-02-05,7737,707
2021-02-06,7774,37
2021-02-07,7788,14
2021-02-08,7969,181
2021-02-09,8537,568
2021-02-10,9201,664
2021-02-11,9840,639
2021-02-12,10485,645
2021-02-13,10968,483
2021-02-14,11402,434
2021-02-15,11517,115
2021-02-16,11629,112
2021-02-17,11683,54
2021-02-18,11736,53
2021-02-19,11852,116
2021-02-20,11894,42
2021-02-21,11911,17
2021-02-22,11982,71
2021-02-23,12622,640
2021-02-24,13462,840
2021-02-25,14240,778
2021-02-26,15099,859
2021-02-27,15242,143
2021-02-28,15330,88
2021-03-01,15635,305
2021-03-02,16598,963
2021-03-03,17419,821
2021-03-04,18291,872
2021-03-05,19127,836
2021-03-06,19255,128
2021-03-07,19321,66
2021-03-08,19565,244
2021-03-09,20280,715
2021-03-10,21107,827
2021-03-11,21906,799
2021-03-12,22662,756
2021-03-13,23210,548
2021-03-14,23643,433
2021-03-15,23903,260
2021-03-16,24698,795
2021-03-17,25513,815
2021-03-18,26279,766
2021-03-19,27220,941
2021-03-20,27344,124
2021-03-21,27461,117
2021-03-22,27735,274
2021-03-23,28560,825
2021-03-24,29386,826
2021-03-25,30174,788
2021-03-26,31056,882
