date,Arizona,Arizona_cum,StatePODs,StatePODs_cum
2021-02-23 00:00:00,32447,1552911,10847.0,356586.0
2021-02-22 00:00:00,25552,1520464,11756.0,345739.0
2021-02-21 00:00:00,14175,1494912,10824.0,333983.0
2021-02-20 00:00:00,33309,1480737,11253.0,323159.0
2021-02-19 00:00:00,40257,1447428,10220.0,311906.0
2021-02-18 00:00:00,42126,1407171,9841.0,301686.0
2021-02-17 00:00:00,44871,1365045,10554.0,291845.0
2021-02-16 00:00:00,41863,1320174,11077.0,281291.0
2021-02-15 00:00:00,30249,1278311,11029.0,270214.0
2021-02-14 00:00:00,17108,1248062,10226.0,259185.0
2021-02-13 00:00:00,45033,1230954,10478.0,248959.0
2021-02-12 00:00:00,59906,1185921,11055.0,238481.0
2021-02-11 00:00:00,49842,1126015,10848.0,227426.0
2021-02-10 00:00:00,49156,1076173,11076.0,216578.0
2021-02-09 00:00:00,43024,1027017,11036.0,205502.0
2021-02-08 00:00:00,37784,983993,13482.0,194466.0
2021-02-07 00:00:00,16056,946209,11441.0,180984.0
2021-02-06 00:00:00,36980,930153,10991.0,169543.0
2021-02-05 00:00:00,42522,893173,9138.0,158552.0
2021-02-04 00:00:00,45073,850651,9947.0,149414.0
2021-02-03 00:00:00,41098,805578,8974.0,139467.0
2021-02-02 00:00:00,35750,764480,8728.0,130493.0
2021-02-01 00:00:00,28376,728730,8252.0,121765.0
2021-01-31 00:00:00,10209,700354,4833.0,113513.0
2021-01-30 00:00:00,23623,690145,4758.0,108680.0
2021-01-29 00:00:00,37260,666522,4890.0,103922.0
2021-01-28 00:00:00,36822,629262,5334.0,99032.0
2021-01-27 00:00:00,37643,592440,5503.0,93698.0
2021-01-26 00:00:00,36137,554797,6124.0,88195.0
2021-01-25 00:00:00,28343,518660,5020.0,82071.0
2021-01-24 00:00:00,15881,490317,5710.0,77051.0
2021-01-23 00:00:00,28165,474436,5758.0,71341.0
2021-01-22 00:00:00,36929,446271,5558.0,65583.0
2021-01-21 00:00:00,34305,409342,6164.0,60025.0
2021-01-20 00:00:00,30970,375037,5694.0,53861.0
2021-01-19 00:00:00,26169,344067,6001.0,48167.0
2021-01-18 00:00:00,18703,317898,6008.0,42166.0
2021-01-17 00:00:00,9236,299195,5970.0,36158.0
2021-01-16 00:00:00,15636,289959,5663.0,30188.0
2021-01-15 00:00:00,23970,274323,5946.0,24525.0
2021-01-14 00:00:00,24240,250353,5885.0,18579.0
2021-01-13 00:00:00,24696,226113,6323.0,12694.0
2021-01-12 00:00:00,22669,201417,5637.0,6371.0
2021-01-11 00:00:00,15316,178748,733.0,734.0
2021-01-10 00:00:00,3139,163432,,
2021-01-09 00:00:00,7852,160293,,
2021-01-08 00:00:00,11469,152441,1.0,1.0
2021-01-07 00:00:00,12012,140972,,
2021-01-06 00:00:00,11539,128960,,
2021-01-05 00:00:00,8586,117421,,
2021-01-04 00:00:00,8315,108835,,
2021-01-03 00:00:00,3156,100520,,
2021-01-02 00:00:00,7498,97364,,
2021-01-01 00:00:00,377,89866,,
2020-12-31 00:00:00,7622,89489,,
2020-12-30 00:00:00,14569,81867,,
2020-12-29 00:00:00,12511,67298,,
2020-12-28 00:00:00,8969,54787,,
2020-12-27 00:00:00,2620,45818,,
2020-12-26 00:00:00,6488,43198,,
2020-12-25 00:00:00,135,36710,,
2020-12-24 00:00:00,3718,36575,,
2020-12-23 00:00:00,9522,32857,,
2020-12-22 00:00:00,7583,23335,,
2020-12-21 00:00:00,5315,15752,,
2020-12-20 00:00:00,995,10437,,
2020-12-19 00:00:00,2541,9442,,
2020-12-18 00:00:00,3445,6901,,
2020-12-17 00:00:00,2856,3456,,
2020-12-16 00:00:00,533,600,,
2020-12-15 00:00:00,25,67,,
2020-12-14 00:00:00,3,42,,
2020-12-13 00:00:00,1,39,,
2020-12-12 00:00:00,2,38,,
2020-12-11 00:00:00,6,36,,
2020-12-10 00:00:00,1,30,,
2020-12-09 00:00:00,2,29,,
2020-12-08 00:00:00,1,27,,
2020-12-07 00:00:00,5,26,,
2020-12-04 00:00:00,1,21,,
2020-12-03 00:00:00,5,20,,
2020-12-02 00:00:00,2,15,,
2020-12-01 00:00:00,13,13,,
