date,Pinal_cume,Pinal
2020-12-01,6,
2020-12-03,7,1
2020-12-09,8,1
2020-12-13,9,1
2020-12-16,13,4
2020-12-17,45,32
2020-12-18,74,29
2020-12-19,90,16
2020-12-20,99,9
2020-12-21,211,112
2020-12-22,405,194
2020-12-23,691,286
2020-12-24,749,58
2020-12-26,993,244
2020-12-27,1042,49
2020-12-28,1439,397
2020-12-29,2004,565
2020-12-30,2775,771
2020-12-31,3310,535
2021-01-01,3475,165
2021-01-02,3924,449
2021-01-03,4069,145
2021-01-04,4626,557
2021-01-05,5240,614
2021-01-06,6018,778
2021-01-07,6751,733
2021-01-08,7618,867
2021-01-09,8453,835
2021-01-10,8528,75
2021-01-11,9047,519
2021-01-12,9821,774
2021-01-13,10825,1004
2021-01-14,11895,1070
2021-01-15,12909,1014
2021-01-16,13903,994
2021-01-17,14079,176
2021-01-18,14706,627
2021-01-19,15750,1044
2021-01-20,17189,1439
2021-01-21,18683,1494
2021-01-22,20247,1564
2021-01-23,22338,2091
2021-01-24,22671,333
2021-01-25,23823,1152
2021-01-26,25085,1262
2021-01-27,26782,1697
2021-01-28,28610,1828
2021-01-29,30419,1809
2021-01-30,32893,2474
2021-01-31,33187,294
2021-02-01,35036,1849
2021-02-02,36964,1928
2021-02-03,39120,2156
2021-02-04,41288,2168
2021-02-05,43886,2598
2021-02-06,46452,2566
2021-02-07,46936,484
2021-02-08,48991,2055
2021-02-09,51312,2321
2021-02-10,54262,2950
2021-02-11,57371,3109
2021-02-12,60953,3582
2021-02-13,64815,3862
2021-02-14,65382,567
2021-02-15,66782,1400
2021-02-16,68752,1970
2021-02-17,71002,2250
2021-02-18,73367,2365
2021-02-19,75250,1883
2021-02-20,77610,2360
2021-02-21,78056,446
2021-02-22,79404,1348
2021-02-23,81298,1894
2021-02-24,84082,2784
2021-02-25,87754,3672
2021-02-26,91577,3823
2021-02-27,95013,3436
2021-02-28,95845,832
2021-03-01,99173,3328
2021-03-02,102653,3480
2021-03-03,106803,4150
2021-03-04,110832,4029
2021-03-05,114282,3450
2021-03-06,117718,3436
2021-03-07,118816,1098
2021-03-08,121772,2956
2021-03-09,124993,3221
2021-03-10,128455,3462
2021-03-11,133076,4621
2021-03-12,137221,4145
2021-03-13,140298,3077
2021-03-14,141380,1082
2021-03-15,144036,2656
2021-03-16,147352,3316
2021-03-17,150966,3614
2021-03-18,154721,3755
2021-03-19,157963,3242
2021-03-20,160009,2046
2021-03-21,161308,1299
2021-03-22,163862,2554
2021-03-23,166859,2997
2021-03-24,170748,3889
2021-03-25,174577,3829
2021-03-26,178875,4298
2021-03-27,180851,1976
2021-03-28,182521,1670
2021-03-29,185915,3394
2021-03-30,189470,3555
2021-03-31,193467,3997
2021-04-01,197684,4217
2021-04-02,200476,2792
2021-04-03,203130,2654
2021-04-04,203892,762
2021-04-05,206632,2740
2021-04-06,209887,3255
2021-04-07,213380,3493
2021-04-08,216626,3246
2021-04-09,219584,2958
2021-04-10,221601,2017
2021-04-11,222618,1017
2021-04-12,225413,2795
2021-04-13,227840,2427
2021-04-14,230570,2730
2021-04-15,233271,2701
2021-04-16,236444,3173
2021-04-17,237900,1456
2021-04-18,238957,1057
2021-04-19,241579,2622
2021-04-20,244620,3041
2021-04-21,248212,3592
2021-04-22,250828,2616
2021-04-23,252943,2115
2021-04-24,254803,1860
2021-04-25,256150,1347
2021-04-26,258386,2236
2021-04-27,260810,2424
2021-04-28,263090,2280
2021-04-29,264923,1833
2021-04-30,266860,1937
2021-05-01,268073,1213
2021-05-02,268797,724
2021-05-03,270313,1516
2021-05-04,272193,1880
2021-05-05,274071,1878
2021-05-06,275544,1473
2021-05-07,277061,1517
2021-05-08,278338,1277
2021-05-09,278886,548
2021-05-10,280172,1286
2021-05-11,281617,1445
2021-05-12,283543,1926
2021-05-13,285320,1777
2021-05-14,287222,1902
2021-05-15,288540,1318
2021-05-16,289362,822
2021-05-17,290832,1470
2021-05-18,292190,1358
2021-05-19,293941,1751
2021-05-20,295504,1563
2021-05-21,296952,1448
2021-05-22,298265,1313
2021-05-23,298728,463
2021-05-24,299786,1058
2021-05-25,300917,1131
2021-05-26,302173,1256
2021-05-27,303317,1144
2021-05-28,304678,1361
2021-05-29,305340,662
2021-05-30,305710,370
2021-05-31,305942,232
2021-06-01,307032,1090
2021-06-02,308059,1027
2021-06-03,309038,979
2021-06-04,310218,1180
2021-06-05,311108,890
2021-06-06,311537,429
2021-06-07,312433,896
2021-06-08,313270,837
2021-06-09,314355,1085
2021-06-10,315302,947
2021-06-11,316468,1166
2021-06-12,317278,810
2021-06-13,317703,425
2021-06-14,318527,824
2021-06-15,319384,857
2021-06-16,320151,767
2021-06-17,321063,912
2021-06-18,322183,1120
2021-06-19,322810,627
2021-06-20,323160,350
2021-06-21,323821,661
2021-06-22,324534,713
2021-06-23,325404,870
2021-06-24,326108,704
2021-06-25,326974,866
2021-06-26,327465,491
2021-06-27,327863,398
2021-06-28,328436,573
2021-06-29,329072,636
2021-06-30,329777,705
2021-07-01,330441,664
2021-07-02,331201,760
2021-07-03,331719,518
2021-07-04,331827,108
2021-07-05,332380,553
2021-07-06,333008,628
2021-07-07,333629,621
2021-07-08,334228,599
2021-07-09,334905,677
2021-07-10,335318,413
2021-07-11,335541,223
2021-07-12,336149,608
2021-07-13,336810,661
2021-07-14,337371,561
2021-07-15,337890,519
2021-07-16,338625,735
2021-07-17,339154,529
2021-07-18,339500,346
2021-07-19,340132,632
2021-07-20,340818,686
2021-07-21,341659,841
2021-07-22,342393,734
2021-07-23,343343,950
2021-07-24,344023,680
2021-07-25,344500,477
2021-07-26,345255,755
2021-07-27,345994,739
2021-07-28,346886,892
2021-07-29,347666,780
2021-07-30,348753,1087
2021-07-31,349491,738
2021-08-01,349959,468
2021-08-02,350704,745
2021-08-03,351458,754
2021-08-04,352301,843
2021-08-05,353102,801
2021-08-06,354247,1145
2021-08-07,354976,729
2021-08-08,355410,434
2021-08-09,356247,837
2021-08-10,357020,773
2021-08-11,357797,777
2021-08-12,358647,850
2021-08-13,359785,1138
2021-08-14,360646,861
2021-08-15,361136,490
2021-08-16,362167,1031
2021-08-17,363110,943
2021-08-18,364235,1125
2021-08-19,365107,872
2021-08-20,366334,1227
2021-08-21,367147,813
2021-08-22,367690,543
2021-08-23,368804,1114
2021-08-24,369706,902
2021-08-25,370693,987
2021-08-26,371458,765
2021-08-27,372634,1176
2021-08-28,373458,824
2021-08-29,373945,487
2021-08-30,374877,932
2021-08-31,375694,817
2021-09-01,376592,898
2021-09-02,377345,753
2021-09-03,378528,1183
2021-09-04,379158,630
2021-09-05,379543,385
2021-09-06,379732,189
2021-09-07,380557,825
2021-09-08,381335,778
2021-09-09,382041,706
2021-09-10,383176,1135
2021-09-11,383937,761
2021-09-12,384333,396
2021-09-13,385177,844
2021-09-14,385946,769
2021-09-15,386745,799
2021-09-16,387460,715
2021-09-17,388458,998
2021-09-18,389140,682
2021-09-19,389474,334
2021-09-20,390107,633
2021-09-21,390727,620
2021-09-22,391387,660
2021-09-23,392024,637
2021-09-24,393043,1019
2021-09-25,393761,718
2021-09-26,394150,389
2021-09-27,395053,903
2021-09-28,395970,917
2021-09-29,396929,959
2021-09-30,397811,882
2021-10-01,398864,1053
2021-10-02,399493,629
2021-10-03,399868,375
2021-10-04,400747,879
2021-10-05,401583,836
2021-10-06,402455,872
2021-10-07,403395,940
2021-10-08,404375,980
2021-10-09,404997,622
2021-10-10,405324,327
2021-10-11,406189,865
2021-10-12,406860,671
2021-10-13,407501,641
2021-10-14,408215,714
2021-10-15,409051,836
2021-10-16,409531,480
2021-10-17,409840,309
2021-10-18,410516,676
2021-10-19,411125,609
2021-10-20,411745,620
2021-10-21,412441,696
2021-10-22,414034,1593
2021-10-23,415219,1185
2021-10-24,415830,611
2021-10-25,417508,1678
2021-10-26,419081,1573
2021-10-27,420744,1663
2021-10-28,422456,1712
2021-10-29,424286,1830
2021-10-30,425051,765
2021-10-31,425581,530
2021-11-01,427326,1745
2021-11-02,428917,1591
2021-11-03,430558,1641
2021-11-04,432189,1631
2021-11-05,434249,2060
2021-11-06,435752,1503
2021-11-07,436260,508
2021-11-08,437969,1709
2021-11-09,439583,1614
2021-11-10,441303,1720
2021-11-11,442701,1398
2021-11-12,444564,1863
2021-11-13,446103,1539
2021-11-14,446581,478
2021-11-15,448084,1503
2021-11-16,449501,1417
2021-11-17,451185,1684
2021-11-18,452887,1702
2021-11-19,454726,1839
2021-11-20,455985,1259
2021-11-21,456456,471
2021-11-22,458116,1660
2021-11-23,459931,1815
2021-11-24,461422,1491
2021-11-25,461432,10
2021-11-26,462448,1016
2021-11-27,463077,629
2021-11-28,463491,414
2021-11-29,465018,1527
2021-11-30,466718,1700
2021-12-01,468554,1836
2021-12-02,470461,1907
2021-12-03,472457,1996
2021-12-04,473292,835
2021-12-05,473796,504
2021-12-06,475581,1785
2021-12-07,477617,2036
2021-12-08,479605,1988
2021-12-09,481548,1943
2021-12-10,483588,2040
2021-12-11,484787,1199
2021-12-12,485250,463
2021-12-13,486620,1370
2021-12-14,488012,1392
2021-12-15,489610,1598
2021-12-16,491345,1735
2021-12-17,492809,1464
2021-12-18,493610,801
2021-12-19,494094,484
2021-12-20,495659,1565
2021-12-21,497184,1525
2021-12-22,498825,1641
2021-12-23,500142,1317
2021-12-24,500563,421
2021-12-25,500570,7
2021-12-26,500947,377
2021-12-27,502124,1177
2021-12-28,503495,1371
2021-12-29,504806,1311
2021-12-30,506154,1348
2021-12-31,506730,576
2022-01-01,506842,112
2022-01-02,507274,432
2022-01-03,508393,1119
2022-01-04,509653,1260
2022-01-05,510989,1336
2022-01-06,512402,1413
2022-01-07,514232,1830
2022-01-08,515183,951
2022-01-09,515579,396
2022-01-10,516801,1222
2022-01-11,518018,1217
2022-01-12,519495,1477
2022-01-13,521304,1809
2022-01-14,522691,1387
2022-01-15,523427,736
2022-01-16,523756,329
2022-01-17,524539,783
2022-01-18,525576,1037
2022-01-19,526516,940
2022-01-20,527484,968
2022-01-21,528526,1042
2022-01-22,529074,548
2022-01-23,529385,311
2022-01-24,530386,1001
2022-01-25,531333,947
2022-01-26,532265,932
2022-01-27,533223,958
2022-01-28,534176,953
2022-01-29,534785,609
2022-01-30,535083,298
2022-01-31,535792,709
2022-02-01,536437,645
2022-02-02,537156,719
2022-02-03,538006,850
2022-02-04,538931,925
2022-02-05,539410,479
2022-02-06,539613,203
2022-02-07,540261,648
2022-02-08,540786,525
2022-02-09,541393,607
2022-02-10,542263,870
2022-02-11,543008,745
2022-02-12,543403,395
2022-02-13,543543,140
2022-02-14,543896,353
2022-02-15,544284,388
2022-02-16,544748,464
2022-02-17,545244,496
2022-02-18,545890,646
2022-02-19,546183,293
2022-02-20,546358,175
2022-02-21,546696,338
2022-02-22,546854,158
