Category,value
Apache,583
Cochise,543
Coconino,453
Gila,357
Graham,171
Greenlee,32
La Paz,134
Maricopa,"15,710"
Mohave,"1,374"
Navajo,850
Pima,"3,639"
Pinal,"1,539"
Santa Cruz,224
Yavapai,"1,141"
Yuma,"1,126"
Female,11533
Male,16328
20-44y,1530
45-54y,2186
55-64y,4435
65+,19665
<20y,60
"White, non-Hispanic",14762
Hispanic or Latino,7406
"American Indian or Alaska Native, non-Hispanic",1933
"Black or African American, non-Hispanic",858
"Asian or Pacific Islander, non-Hispanic",323
Other Race,754
Unknown,1840
