date,pcr_tests_NAVAJO,pcr_pos_tests_NAVAJO,pcr_positivity_NAVAJO,ser_tests_NAVAJO,ser_pos_tests_NAVAJO,ser_positivity_NAVAJO
2021-01-14 00:00:00,31,7,0.2258064516129032,1.0,0.0,0
2021-01-13 00:00:00,366,79,0.2158469945355191,5.0,3.0,0.6
2021-01-12 00:00:00,351,61,0.1737891737891738,6.0,3.0,0.5
2021-01-11 00:00:00,624,107,0.171474358974359,14.0,6.0,0.4285714285714286
2021-01-10 00:00:00,144,23,0.1597222222222222,1.0,0.0,0
2021-01-09 00:00:00,184,57,0.3097826086956522,1.0,1.0,1
2021-01-08 00:00:00,427,80,0.1873536299765808,7.0,3.0,0.4285714285714286
2021-01-07 00:00:00,409,93,0.2273838630806846,28.0,9.0,0.3214285714285715
2021-01-06 00:00:00,485,123,0.2536082474226804,11.0,4.0,0.3636363636363637
2021-01-05 00:00:00,501,105,0.2095808383233533,8.0,3.0,0.375
2021-01-04 00:00:00,703,147,0.2091038406827881,6.0,2.0,0.3333333333333333
2021-01-03 00:00:00,114,30,0.2631578947368421,,,
2021-01-02 00:00:00,191,50,0.2617801047120419,1.0,1.0,1
2021-01-01 00:00:00,78,23,0.2948717948717949,1.0,0.0,0
2020-12-31 00:00:00,276,74,0.2681159420289856,3.0,1.0,0.3333333333333333
2020-12-30 00:00:00,310,71,0.2290322580645162,7.0,3.0,0.4285714285714286
2020-12-29 00:00:00,305,86,0.2819672131147541,9.0,5.0,0.5555555555555556
2020-12-28 00:00:00,307,84,0.2736156351791531,9.0,2.0,0.2222222222222222
2020-12-27 00:00:00,92,26,0.2826086956521739,,,
2020-12-26 00:00:00,83,31,0.3734939759036145,1.0,1.0,1
2020-12-25 00:00:00,41,18,0.4390243902439025,2.0,1.0,0.5
2020-12-24 00:00:00,167,38,0.2275449101796407,5.0,2.0,0.4
2020-12-23 00:00:00,204,60,0.2941176470588236,9.0,3.0,0.3333333333333333
2020-12-22 00:00:00,249,74,0.2971887550200803,4.0,2.0,0.5
2020-12-21 00:00:00,352,63,0.1789772727272727,17.0,7.0,0.4117647058823529
2020-12-20 00:00:00,82,24,0.2926829268292683,2.0,0.0,0
2020-12-19 00:00:00,161,47,0.2919254658385093,2.0,0.0,0
2020-12-18 00:00:00,266,65,0.2443609022556391,11.0,3.0,0.2727272727272727
2020-12-17 00:00:00,250,52,0.208,12.0,3.0,0.25
2020-12-16 00:00:00,364,99,0.271978021978022,5.0,2.0,0.4
2020-12-15 00:00:00,384,61,0.1588541666666667,13.0,3.0,0.2307692307692308
2020-12-14 00:00:00,326,63,0.1932515337423313,8.0,2.0,0.25
2020-12-13 00:00:00,65,20,0.3076923076923077,,,
2020-12-12 00:00:00,111,37,0.3333333333333333,43.0,4.0,0.0930232558139535
2020-12-11 00:00:00,250,57,0.228,35.0,5.0,0.1428571428571429
2020-12-10 00:00:00,269,57,0.2118959107806691,35.0,2.0,0.0571428571428571
2020-12-09 00:00:00,390,86,0.2205128205128205,20.0,6.0,0.3
2020-12-08 00:00:00,334,58,0.1736526946107785,14.0,1.0,0.0714285714285714
2020-12-07 00:00:00,413,93,0.225181598062954,7.0,0.0,0
2020-12-06 00:00:00,81,26,0.3209876543209877,,,
2020-12-05 00:00:00,44,15,0.3409090909090909,,,
2020-12-04 00:00:00,201,38,0.1890547263681592,7.0,1.0,0.1428571428571429
2020-12-03 00:00:00,204,54,0.2647058823529412,11.0,3.0,0.2727272727272727
2020-12-02 00:00:00,263,66,0.2509505703422053,7.0,2.0,0.2857142857142857
2020-12-01 00:00:00,314,77,0.2452229299363058,9.0,0.0,0
2020-11-30 00:00:00,332,89,0.2680722891566265,12.0,0.0,0
2020-11-29 00:00:00,60,15,0.25,4.0,0.0,0
2020-11-28 00:00:00,83,11,0.1325301204819277,5.0,0.0,0
2020-11-27 00:00:00,176,41,0.2329545454545455,7.0,1.0,0.1428571428571429
2020-11-26 00:00:00,40,6,0.15,,,
2020-11-25 00:00:00,235,43,0.1829787234042553,7.0,1.0,0.1428571428571429
2020-11-24 00:00:00,256,47,0.18359375,9.0,0.0,0
2020-11-23 00:00:00,344,55,0.1598837209302326,15.0,2.0,0.1333333333333333
2020-11-22 00:00:00,94,8,0.0851063829787234,,,
2020-11-21 00:00:00,93,22,0.2365591397849463,2.0,1.0,0.5
2020-11-20 00:00:00,328,43,0.1310975609756098,7.0,1.0,0.1428571428571429
2020-11-19 00:00:00,260,43,0.1653846153846154,10.0,6.0,0.6
2020-11-18 00:00:00,284,49,0.1725352112676056,44.0,3.0,0.0681818181818182
2020-11-17 00:00:00,308,47,0.1525974025974026,8.0,3.0,0.375
2020-11-16 00:00:00,308,50,0.1623376623376623,3.0,0.0,0
2020-11-15 00:00:00,70,15,0.2142857142857143,1.0,0.0,0
2020-11-14 00:00:00,74,13,0.1756756756756757,2.0,1.0,0.5
2020-11-13 00:00:00,236,31,0.1313559322033899,1.0,0.0,0
2020-11-12 00:00:00,301,35,0.1162790697674419,9.0,0.0,0
2020-11-11 00:00:00,144,22,0.1527777777777778,7.0,2.0,0.2857142857142857
2020-11-10 00:00:00,211,31,0.1469194312796209,1.0,0.0,0
2020-11-09 00:00:00,253,36,0.1422924901185771,5.0,0.0,0
2020-11-08 00:00:00,57,5,0.087719298245614,,,
2020-11-07 00:00:00,64,12,0.1875,2.0,0.0,0
2020-11-06 00:00:00,148,16,0.1081081081081081,2.0,0.0,0
2020-11-05 00:00:00,226,36,0.1592920353982301,3.0,2.0,0.6666666666666666
2020-11-04 00:00:00,307,25,0.0814332247557003,63.0,5.0,0.0793650793650794
2020-11-03 00:00:00,162,13,0.0802469135802469,6.0,0.0,0
2020-11-02 00:00:00,275,41,0.1490909090909091,4.0,0.0,0
2020-11-01 00:00:00,95,23,0.2421052631578948,1.0,0.0,0
2020-10-31 00:00:00,59,17,0.288135593220339,1.0,1.0,1
2020-10-30 00:00:00,112,8,0.0714285714285714,7.0,1.0,0.1428571428571429
2020-10-29 00:00:00,185,32,0.172972972972973,7.0,0.0,0
2020-10-28 00:00:00,235,21,0.0893617021276596,32.0,7.0,0.21875
2020-10-27 00:00:00,145,12,0.0827586206896552,4.0,0.0,0
2020-10-26 00:00:00,207,32,0.1545893719806763,9.0,2.0,0.2222222222222222
2020-10-25 00:00:00,66,11,0.1666666666666667,1.0,0.0,0
2020-10-24 00:00:00,72,19,0.2638888888888889,3.0,1.0,0.3333333333333333
2020-10-23 00:00:00,138,15,0.108695652173913,2.0,0.0,0
2020-10-22 00:00:00,211,15,0.0710900473933649,3.0,1.0,0.3333333333333333
2020-10-21 00:00:00,236,22,0.0932203389830509,1.0,1.0,1
2020-10-20 00:00:00,186,23,0.1236559139784946,4.0,3.0,0.75
2020-10-19 00:00:00,242,22,0.0909090909090909,5.0,0.0,0
2020-10-18 00:00:00,81,7,0.0864197530864198,,,
2020-10-17 00:00:00,97,17,0.1752577319587629,3.0,1.0,0.3333333333333333
2020-10-16 00:00:00,103,20,0.1941747572815534,2.0,0.0,0
2020-10-15 00:00:00,146,10,0.0684931506849315,57.0,3.0,0.0526315789473684
2020-10-14 00:00:00,312,13,0.0416666666666667,3.0,2.0,0.6666666666666666
2020-10-13 00:00:00,159,12,0.0754716981132076,6.0,1.0,0.1666666666666667
2020-10-12 00:00:00,109,8,0.073394495412844,5.0,0.0,0
2020-10-11 00:00:00,39,3,0.0769230769230769,3.0,1.0,0.3333333333333333
2020-10-10 00:00:00,43,1,0.0232558139534884,,,
2020-10-09 00:00:00,102,9,0.0882352941176471,7.0,0.0,0
2020-10-08 00:00:00,145,6,0.0413793103448276,10.0,0.0,0
2020-10-07 00:00:00,133,7,0.0526315789473684,5.0,1.0,0.2
2020-10-06 00:00:00,137,8,0.0583941605839416,80.0,4.0,0.05
2020-10-05 00:00:00,153,5,0.0326797385620915,2.0,0.0,0
2020-10-04 00:00:00,38,3,0.0789473684210526,1.0,0.0,0
2020-10-03 00:00:00,58,2,0.0344827586206897,1.0,0.0,0
2020-10-02 00:00:00,128,5,0.0390625,3.0,0.0,0
2020-10-01 00:00:00,137,4,0.0291970802919708,6.0,2.0,0.3333333333333333
2020-09-30 00:00:00,192,4,0.0208333333333333,5.0,1.0,0.2
2020-09-29 00:00:00,132,5,0.0378787878787879,12.0,3.0,0.25
2020-09-28 00:00:00,103,3,0.029126213592233,5.0,2.0,0.4
2020-09-27 00:00:00,36,1,0.0277777777777778,,,
2020-09-26 00:00:00,32,2,0.0625,1.0,0.0,0
2020-09-25 00:00:00,121,4,0.0330578512396694,25.0,1.0,0.04
2020-09-24 00:00:00,186,5,0.0268817204301075,18.0,0.0,0
2020-09-23 00:00:00,172,3,0.0174418604651163,5.0,2.0,0.4
2020-09-22 00:00:00,93,4,0.043010752688172,4.0,1.0,0.25
2020-09-21 00:00:00,112,3,0.0267857142857143,5.0,2.0,0.4
2020-09-20 00:00:00,32,1,0.03125,,,
2020-09-19 00:00:00,36,3,0.0833333333333333,1.0,0.0,0
2020-09-18 00:00:00,97,4,0.0412371134020619,13.0,4.0,0.3076923076923077
2020-09-17 00:00:00,99,5,0.0505050505050505,6.0,2.0,0.3333333333333333
2020-09-16 00:00:00,163,4,0.0245398773006135,6.0,2.0,0.3333333333333333
2020-09-15 00:00:00,118,4,0.0338983050847458,13.0,3.0,0.2307692307692308
2020-09-14 00:00:00,127,3,0.0236220472440945,5.0,2.0,0.4
2020-09-13 00:00:00,32,0,0,2.0,0.0,0
2020-09-12 00:00:00,36,1,0.0277777777777778,1.0,0.0,0
2020-09-11 00:00:00,67,3,0.0447761194029851,6.0,1.0,0.1666666666666667
2020-09-10 00:00:00,114,2,0.0175438596491228,2.0,0.0,0
2020-09-09 00:00:00,149,1,0.0067114093959732,6.0,1.0,0.1666666666666667
2020-09-08 00:00:00,87,8,0.0919540229885058,11.0,1.0,0.0909090909090909
2020-09-07 00:00:00,33,4,0.1212121212121212,2.0,0.0,0
2020-09-06 00:00:00,19,2,0.1052631578947368,3.0,0.0,0
