date,Yavapai_cume,Yavapai
2020-12-01,1,
2020-12-06,2,1
2020-12-12,3,1
2020-12-16,6,3
2020-12-17,10,4
2020-12-19,13,3
2020-12-20,16,3
2020-12-21,19,3
2020-12-22,385,366
2020-12-23,826,441
2020-12-24,876,50
2020-12-25,892,16
2020-12-26,930,38
2020-12-27,944,14
2020-12-28,1020,76
2020-12-29,1324,304
2020-12-30,2074,750
2020-12-31,2216,142
2021-01-01,2245,29
2021-01-02,2365,120
2021-01-03,2370,5
2021-01-04,2413,43
2021-01-05,2485,72
2021-01-06,2575,90
2021-01-07,3238,663
2021-01-08,3978,740
2021-01-09,4163,185
2021-01-10,4172,9
2021-01-11,4250,78
2021-01-12,4471,221
2021-01-13,4937,466
2021-01-14,5263,326
2021-01-15,5374,111
2021-01-16,5673,299
2021-01-17,5704,31
2021-01-18,5909,205
2021-01-19,6651,742
2021-01-20,7595,944
2021-01-21,9022,1427
2021-01-22,10698,1676
2021-01-23,12115,1417
2021-01-24,13450,1335
2021-01-25,14303,853
2021-01-26,14800,497
2021-01-27,16553,1753
2021-01-28,18516,1963
2021-01-29,20290,1774
2021-01-30,21241,951
2021-01-31,22155,914
2021-02-01,24110,1955
2021-02-02,26324,2214
2021-02-03,28798,2474
2021-02-04,30721,1923
2021-02-05,32583,1862
2021-02-06,33837,1254
2021-02-07,34844,1007
2021-02-08,36384,1540
2021-02-09,37938,1554
2021-02-10,40052,2114
2021-02-11,41701,1649
2021-02-12,43255,1554
2021-02-13,44547,1292
2021-02-14,45550,1003
2021-02-15,46327,777
2021-02-16,47793,1466
2021-02-17,48756,963
2021-02-18,49343,587
2021-02-19,49915,572
2021-02-20,50200,285
2021-02-21,50416,216
2021-02-22,50714,298
2021-02-23,52145,1431
2021-02-24,55128,2983
2021-02-25,57929,2801
2021-02-26,61076,3147
2021-02-27,62253,1177
2021-02-28,63402,1149
2021-03-01,65969,2567
2021-03-02,68250,2281
2021-03-03,70926,2676
2021-03-04,72606,1680
2021-03-05,74604,1998
2021-03-06,76241,1637
2021-03-07,77819,1578
2021-03-08,80351,2532
2021-03-09,83184,2833
2021-03-10,86069,2885
2021-03-11,88087,2018
2021-03-12,89922,1835
2021-03-13,91676,1754
2021-03-14,93364,1688
2021-03-15,95407,2043
2021-03-16,97586,2179
2021-03-17,99411,1825
2021-03-18,100690,1279
2021-03-19,101953,1263
2021-03-20,102925,972
2021-03-21,103209,284
2021-03-22,104323,1114
2021-03-23,105436,1113
2021-03-24,106850,1414
2021-03-25,108290,1440
2021-03-26,109764,1474
2021-03-27,110637,873
2021-03-28,110847,210
2021-03-29,111872,1025
2021-03-30,112958,1086
2021-03-31,114120,1162
2021-04-01,115489,1369
2021-04-02,116827,1338
2021-04-03,117638,811
2021-04-04,117849,211
2021-04-05,119231,1382
2021-04-06,120845,1614
2021-04-07,122379,1534
2021-04-08,124194,1815
2021-04-09,126104,1910
2021-04-10,126911,807
2021-04-11,127580,669
2021-04-12,128842,1262
2021-04-13,129652,810
2021-04-14,131200,1548
2021-04-15,132900,1700
2021-04-16,134404,1504
2021-04-17,136069,1665
2021-04-18,136826,757
2021-04-19,138398,1572
2021-04-20,139271,873
2021-04-21,140562,1291
2021-04-22,142063,1501
2021-04-23,143525,1462
2021-04-24,144754,1229
2021-04-25,145255,501
2021-04-26,146432,1177
2021-04-27,147279,847
2021-04-28,148370,1091
2021-04-29,149215,845
2021-04-30,150195,980
2021-05-01,150801,606
2021-05-02,151018,217
2021-05-03,151750,732
2021-05-04,152634,884
2021-05-05,153274,640
2021-05-06,153873,599
2021-05-07,154476,603
2021-05-08,154936,460
2021-05-09,155095,159
2021-05-10,155694,599
2021-05-11,156215,521
2021-05-12,156920,705
2021-05-13,157471,551
2021-05-14,158202,731
2021-05-15,158664,462
2021-05-16,158846,182
2021-05-17,159278,432
2021-05-18,159780,502
2021-05-19,160359,579
2021-05-20,161033,674
2021-05-21,161544,511
2021-05-22,161817,273
2021-05-23,162002,185
2021-05-24,162391,389
2021-05-25,162775,384
2021-05-26,163188,413
2021-05-27,163554,366
2021-05-28,163984,430
2021-05-29,164179,195
2021-05-30,164323,144
2021-05-31,164422,99
2021-06-01,164825,403
2021-06-02,165224,399
2021-06-03,165643,419
2021-06-04,166083,440
2021-06-05,166287,204
2021-06-06,166427,140
2021-06-07,166717,290
2021-06-08,167054,337
2021-06-09,167375,321
2021-06-10,167682,307
2021-06-11,168035,353
2021-06-12,168248,213
2021-06-13,168366,118
2021-06-14,168616,250
2021-06-15,168911,295
2021-06-16,169210,299
2021-06-17,169458,248
2021-06-18,169786,328
2021-06-19,169921,135
2021-06-20,169998,77
2021-06-21,170178,180
2021-06-22,170424,246
2021-06-23,170697,273
2021-06-24,170907,210
2021-06-25,171179,272
2021-06-26,171299,120
2021-06-27,171380,81
2021-06-28,171575,195
2021-06-29,171763,188
2021-06-30,172024,261
2021-07-01,172257,233
2021-07-02,172517,260
2021-07-03,172643,126
2021-07-04,172658,15
2021-07-05,172807,149
2021-07-06,173003,196
2021-07-07,173244,241
2021-07-08,173431,187
2021-07-09,173659,228
2021-07-10,173789,130
2021-07-11,173848,59
2021-07-12,174000,152
2021-07-13,174162,162
2021-07-14,174332,170
2021-07-15,174510,178
2021-07-16,174812,302
2021-07-17,174979,167
2021-07-18,175079,100
2021-07-19,175312,233
2021-07-20,175559,247
2021-07-21,175880,321
2021-07-22,176163,283
2021-07-23,176466,303
2021-07-24,176711,245
2021-07-25,176857,146
2021-07-26,177124,267
2021-07-27,177426,302
2021-07-28,177717,291
2021-07-29,177966,249
2021-07-30,178441,475
2021-07-31,178665,224
2021-08-01,178806,141
2021-08-02,179069,263
2021-08-03,179353,284
2021-08-04,179644,291
2021-08-05,179950,306
2021-08-06,180357,407
2021-08-07,180628,271
2021-08-08,180783,155
2021-08-09,181091,308
2021-08-10,181340,249
2021-08-11,181603,263
2021-08-12,181976,373
2021-08-13,182477,501
2021-08-14,182799,322
2021-08-15,182978,179
2021-08-16,183347,369
2021-08-17,183735,388
2021-08-18,184123,388
2021-08-19,184498,375
2021-08-20,184993,495
2021-08-21,185249,256
2021-08-22,185406,157
2021-08-23,185722,316
2021-08-24,186054,332
2021-08-25,186470,416
2021-08-26,186822,352
2021-08-27,187320,498
2021-08-28,187562,242
2021-08-29,187738,176
2021-08-30,188053,315
2021-08-31,188347,294
2021-09-01,188697,350
2021-09-02,188939,242
2021-09-03,189375,436
2021-09-04,189606,231
2021-09-05,189748,142
2021-09-06,189807,59
2021-09-07,190095,288
2021-09-08,190402,307
2021-09-09,190645,243
2021-09-10,191132,487
2021-09-11,191324,192
2021-09-12,191474,150
2021-09-13,191729,255
2021-09-14,191975,246
2021-09-15,192172,197
2021-09-16,192414,242
2021-09-17,192772,358
2021-09-18,192944,172
2021-09-19,193041,97
2021-09-20,193209,168
2021-09-21,193419,210
2021-09-22,193680,261
2021-09-23,193921,241
2021-09-24,194299,378
2021-09-25,194509,210
2021-09-26,194592,83
2021-09-27,194845,253
2021-09-28,195054,209
2021-09-29,195311,257
2021-09-30,195569,258
2021-10-01,195875,306
2021-10-02,196010,135
2021-10-03,196064,54
2021-10-04,196272,208
2021-10-05,196488,216
2021-10-06,196716,228
2021-10-07,196874,158
2021-10-08,197133,259
2021-10-09,197251,118
2021-10-10,197322,71
2021-10-11,197521,199
2021-10-12,197659,138
2021-10-13,197857,198
2021-10-14,198080,223
2021-10-15,198325,245
2021-10-16,198428,103
2021-10-17,198513,85
2021-10-18,198698,185
2021-10-19,198879,181
2021-10-20,199085,206
2021-10-21,199281,196
2021-10-22,200059,778
2021-10-23,200510,451
2021-10-24,200807,297
2021-10-25,201802,995
2021-10-26,202784,982
2021-10-27,203853,1069
2021-10-28,205011,1158
2021-10-29,206076,1065
2021-10-30,206403,327
2021-10-31,206630,227
2021-11-01,207372,742
2021-11-02,208171,799
2021-11-03,209102,931
2021-11-04,210016,914
2021-11-05,211142,1126
2021-11-06,211614,472
2021-11-07,211944,330
2021-11-08,212982,1038
2021-11-09,214124,1142
2021-11-10,215165,1041
2021-11-11,216157,992
2021-11-12,217485,1328
2021-11-13,217870,385
2021-11-14,218183,313
2021-11-15,219151,968
2021-11-16,220115,964
2021-11-17,221223,1108
2021-11-18,222390,1167
2021-11-19,223483,1093
2021-11-20,223991,508
2021-11-21,224124,133
