date,pcr_tests_COCHISE,pcr_pos_tests_COCHISE,pcr_positivity_COCHISE,ser_tests_COCHISE,ser_pos_tests_COCHISE,ser_positivity_COCHISE
2021-01-18 00:00:00,1,0,0,,,
2021-01-17 00:00:00,5,0,0,,,
2021-01-16 00:00:00,178,19,0.1067415730337079,,,
2021-01-15 00:00:00,241,32,0.1327800829875519,13.0,6.0,0.4615384615384616
2021-01-14 00:00:00,295,42,0.1423728813559322,17.0,5.0,0.2941176470588236
2021-01-13 00:00:00,349,61,0.174785100286533,11.0,5.0,0.4545454545454546
2021-01-12 00:00:00,344,49,0.1424418604651163,12.0,5.0,0.4166666666666667
2021-01-11 00:00:00,375,57,0.152,14.0,4.0,0.2857142857142857
2021-01-10 00:00:00,317,53,0.167192429022082,,,
2021-01-09 00:00:00,316,52,0.1645569620253165,,,
2021-01-08 00:00:00,383,66,0.1723237597911227,11.0,1.0,0.0909090909090909
2021-01-07 00:00:00,532,83,0.156015037593985,7.0,2.0,0.2857142857142857
2021-01-06 00:00:00,329,76,0.2310030395136778,7.0,2.0,0.2857142857142857
2021-01-05 00:00:00,682,144,0.2111436950146628,15.0,4.0,0.2666666666666667
2021-01-04 00:00:00,596,143,0.2399328859060403,13.0,4.0,0.3076923076923077
2021-01-03 00:00:00,241,57,0.2365145228215768,1.0,0.0,0
2021-01-02 00:00:00,438,89,0.2031963470319635,1.0,1.0,1
2021-01-01 00:00:00,141,23,0.1631205673758866,,,
2020-12-31 00:00:00,388,77,0.1984536082474227,3.0,1.0,0.3333333333333333
2020-12-30 00:00:00,266,56,0.2105263157894737,11.0,1.0,0.0909090909090909
2020-12-29 00:00:00,357,61,0.1708683473389356,14.0,2.0,0.1428571428571429
2020-12-28 00:00:00,427,95,0.2224824355971897,4.0,0.0,0
2020-12-27 00:00:00,124,34,0.2741935483870968,1.0,0.0,0
2020-12-26 00:00:00,87,34,0.3908045977011495,1.0,1.0,1
2020-12-25 00:00:00,39,8,0.2051282051282051,,,
2020-12-24 00:00:00,182,42,0.2307692307692308,2.0,1.0,0.5
2020-12-23 00:00:00,368,61,0.1657608695652174,6.0,2.0,0.3333333333333333
2020-12-22 00:00:00,390,86,0.2205128205128205,8.0,1.0,0.125
2020-12-21 00:00:00,484,86,0.1776859504132231,11.0,3.0,0.2727272727272727
2020-12-20 00:00:00,233,30,0.128755364806867,,,
2020-12-19 00:00:00,387,42,0.1085271317829457,,,
2020-12-18 00:00:00,349,62,0.177650429799427,9.0,3.0,0.3333333333333333
2020-12-17 00:00:00,350,61,0.1742857142857143,15.0,3.0,0.2
2020-12-16 00:00:00,298,74,0.2483221476510067,13.0,1.0,0.0769230769230769
2020-12-15 00:00:00,321,70,0.2180685358255452,15.0,2.0,0.1333333333333333
2020-12-14 00:00:00,535,88,0.1644859813084112,19.0,5.0,0.2631578947368421
