date,Pinal_cume,Pinal
1/1/2021,5,
1/10/2021,6,1
1/11/2021,11,5
1/12/2021,48,37
1/13/2021,81,33
1/14/2021,108,27
1/15/2021,119,11
1/16/2021,267,148
1/17/2021,516,249
1/18/2021,886,370
1/19/2021,956,70
1/2/2021,1269,313
1/20/2021,1345,76
1/21/2021,1785,440
1/22/2021,2416,631
1/23/2021,3271,855
1/24/2021,3813,542
1/25/2021,3878,65
1/26/2021,4394,516
1/27/2021,4561,167
1/28/2021,5141,580
1/29/2021,5767,626
1/3/2021,6538,771
1/30/2021,7280,742
1/31/2021,8150,870
1/4/2021,8470,320
1/5/2021,8551,81
1/6/2021,9147,596
1/7/2021,9992,845
1/8/2021,11161,1169
1/9/2021,12381,1220
10/1/2021,13479,1098
10/10/2021,14503,1024
10/11/2021,14709,206
10/12/2021,15362,653
10/13/2021,16482,1120
10/14/2021,18017,1535
10/15/2021,19623,1606
10/16/2021,21287,1664
10/17/2021,22675,1388
10/18/2021,23098,423
10/19/2021,24298,1200
10/2/2021,25654,1356
10/20/2021,27453,1799
10/21/2021,29334,1881
10/22/2021,31282,1948
10/23/2021,32661,1379
10/24/2021,33008,347
10/25/2021,34723,1715
10/26/2021,36755,2032
10/27/2021,38993,2238
10/28/2021,41290,2297
10/29/2021,44031,2741
10/3/2021,46179,2148
10/30/2021,46710,531
10/4/2021,48769,2059
10/5/2021,51211,2442
10/6/2021,54288,3077
10/7/2021,57484,3196
10/8/2021,61205,3721
10/9/2021,64747,3542
12/1/2020,65435,688
12/16/2020,66890,1455
12/17/2020,68985,2095
12/18/2020,71324,2339
12/19/2020,73791,2467
12/20/2020,75757,1966
12/21/2020,77537,1780
12/22/2020,78045,508
12/23/2020,79506,1461
12/24/2020,81464,1958
12/26/2020,84279,2815
12/27/2020,87997,3718
12/28/2020,91965,3968
12/29/2020,94321,2356
12/30/2020,95237,916
12/31/2020,98335,3098
12/9/2020,101820,3485
2/1/2021,106040,4220
2/10/2021,110236,4196
2/11/2021,113874,3638
2/12/2021,116978,3104
2/13/2021,118128,1150
2/14/2021,121237,3109
2/15/2021,124609,3372
2/16/2021,128239,3630
2/17/2021,133042,4803
2/18/2021,137346,4304
2/19/2021,140022,2676
2/2/2021,141249,1227
2/20/2021,144034,2785
2/21/2021,147507,3473
2/22/2021,151298,3791
2/23/2021,155286,3988
2/24/2021,158815,3529
2/25/2021,161262,2447
2/26/2021,162751,1489
2/27/2021,165553,2802
2/28/2021,168740,3187
2/3/2021,172805,4065
2/4/2021,176941,4136
2/5/2021,181456,4515
2/6/2021,183735,2279
2/7/2021,185648,1913
2/8/2021,189196,3548
2/9/2021,193001,3805
3/1/2021,197248,4247
3/10/2021,201723,4475
3/11/2021,204628,2905
3/12/2021,207058,2430
3/13/2021,207884,826
3/14/2021,210864,2980
3/15/2021,214453,3589
3/16/2021,218267,3814
3/17/2021,221903,3636
3/18/2021,225155,3252
3/19/2021,227450,2295
3/2/2021,228688,1238
3/20/2021,231652,2964
3/21/2021,234291,2639
3/22/2021,237264,2973
3/23/2021,240311,3047
3/24/2021,243763,3452
3/25/2021,245466,1703
3/26/2021,246766,1300
3/27/2021,249688,2922
3/28/2021,253000,3312
3/29/2021,256862,3862
3/3/2021,259783,2921
3/30/2021,262166,2383
3/31/2021,264265,2099
3/4/2021,265783,1518
3/5/2021,268218,2435
3/6/2021,270942,2724
3/7/2021,273421,2479
3/8/2021,275449,2028
3/9/2021,277607,2158
4/1/2021,278975,1368
