date,20-34_Mohave,35-44_Mohave,45-54_Mohave,55-64_Mohave,65+_Mohave,<20_Mohave
1/1/2021,302,387,428,500,327,7
1/10/2021,455,559,638,748,787,12
1/11/2021,472,573,669,787,885,12
1/12/2021,492,597,698,834,1047,12
1/13/2021,510,628,742,878,1211,13
1/14/2021,543,659,791,943,1410,14
1/15/2021,568,704,829,1009,1643,15
1/16/2021,579,721,845,1049,1910,17
1/17/2021,580,724,845,1052,1934,17
1/18/2021,598,742,867,1082,2144,18
1/19/2021,617,759,899,1131,2327,19
1/2/2021,308,396,437,511,340,7
1/20/2021,650,787,923,1197,2600,20
1/21/2021,667,809,945,1231,2749,20
1/22/2021,696,831,974,1277,2991,20
1/23/2021,709,841,984,1296,3587,20
1/24/2021,709,847,993,1302,4119,20
1/25/2021,716,854,1003,1320,4373,21
1/26/2021,730,861,1013,1348,4728,22
1/27/2021,754,880,1039,1399,5141,23
1/28/2021,773,903,1071,1447,5671,23
1/29/2021,789,911,1086,1477,6049,23
1/3/2021,310,397,446,518,347,7
1/30/2021,794,916,1098,1496,6352,23
1/31/2021,797,918,1104,1509,6826,23
1/4/2021,331,425,475,565,409,8
1/5/2021,346,451,496,592,452,8
1/6/2021,386,487,535,656,522,9
1/7/2021,413,515,582,691,635,11
1/8/2021,444,547,622,732,739,12
1/9/2021,450,556,633,743,757,12
12/16/2020,,,1,,,
12/17/2020,,,1,,,
12/18/2020,,,1,1,,
12/19/2020,,,1,1,,
12/20/2020,,,1,1,,
12/21/2020,1,,5,6,2,
12/22/2020,5,12,23,26,9,
12/23/2020,32,55,76,82,40,
12/24/2020,65,90,104,104,55,
12/25/2020,65,90,104,104,55,
12/26/2020,95,131,136,146,73,1
12/27/2020,101,140,150,156,94,2
12/28/2020,147,200,204,223,135,3
12/29/2020,208,270,299,322,190,4
12/30/2020,254,331,367,417,255,6
12/31/2020,300,384,420,490,306,6
2/1/2021,814,938,1122,1562,7227,24
2/10/2021,901,1034,1239,1791,10442,30
2/11/2021,904,1040,1251,1806,10667,31
2/12/2021,929,1066,1276,1848,11039,34
2/13/2021,931,1075,1281,1865,11265,34
2/14/2021,932,1076,1281,1872,11291,34
2/15/2021,942,1086,1299,1890,11449,35
2/16/2021,947,1090,1309,1910,11696,35
2/17/2021,960,1095,1315,1924,11959,35
2/18/2021,969,1109,1330,1942,12137,35
2/19/2021,972,1113,1331,1949,12221,35
2/2/2021,822,954,1139,1586,7630,25
2/20/2021,972,1113,1332,1953,12241,35
2/21/2021,972,1113,1332,1953,12263,35
2/22/2021,975,1114,1336,1961,12352,35
2/23/2021,977,1114,1337,1966,12427,35
2/24/2021,979,1120,1347,1987,12690,35
2/25/2021,984,1124,1360,2006,13012,35
2/26/2021,987,1130,1373,2024,13328,35
2/27/2021,997,1145,1382,2037,13541,35
2/28/2021,1002,1149,1391,2049,13850,35
2/3/2021,840,969,1167,1633,8395,27
2/4/2021,852,984,1187,1668,8809,27
2/5/2021,867,995,1203,1691,9165,28
2/6/2021,872,997,1205,1695,9370,28
2/7/2021,872,1005,1209,1706,9476,28
2/8/2021,872,1008,1212,1721,9635,29
2/9/2021,884,1020,1226,1743,9768,29
3/1/2021,1011,1155,1404,2062,14246,36
3/10/2021,1173,1317,1630,3055,19414,43
3/11/2021,1185,1330,1642,3248,20263,43
3/12/2021,1207,1349,1664,3404,20976,46
3/13/2021,1217,1367,1684,3552,21317,47
3/14/2021,1221,1377,1691,3612,21584,47
3/15/2021,1235,1387,1702,3737,21987,48
3/16/2021,1247,1391,1716,3868,22560,48
3/17/2021,1268,1406,1757,4068,23663,48
3/18/2021,1289,1429,1791,4225,24392,48
3/19/2021,1312,1450,1815,4479,24993,50
3/2/2021,1020,1165,1410,2075,14721,36
3/20/2021,1341,1475,1857,4764,25624,50
3/21/2021,1348,1478,1872,4932,25800,51
3/22/2021,1369,1501,1904,5282,26321,53
3/23/2021,1399,1522,1953,5655,26779,55
3/24/2021,1418,1549,2010,6176,27291,57
3/25/2021,1443,1584,2067,6616,27755,58
3/26/2021,1532,1675,2236,6983,28170,74
3/27/2021,1604,1730,2354,7245,28373,87
3/28/2021,1658,1768,2424,7369,28578,93
