date,20-34_Maricopa,35-44_Maricopa,45-54_Maricopa,55-64_Maricopa,65+_Maricopa,<20_Maricopa
1/1/2021,11865,12919,12010,9679,5499,116
1/10/2021,20193,19886,18816,15783,10963,241
1/11/2021,21439,20996,20025,16752,12717,277
1/12/2021,23454,22970,22042,18414,17455,369
1/13/2021,25499,25095,24248,20072,22947,441
1/14/2021,27471,27219,26516,21962,28901,485
1/15/2021,29692,29242,28619,23731,33698,554
1/16/2021,31072,30445,29885,24894,36853,589
1/17/2021,32050,31344,30846,25861,39958,625
1/18/2021,33099,32287,31997,26977,44921,656
1/19/2021,34379,33510,33298,28281,51139,724
1/2/2021,13414,14289,13237,10755,6196,140
1/20/2021,35665,34793,34920,29792,58059,774
1/21/2021,37166,36294,36774,31657,66130,832
1/22/2021,40081,38939,39751,34659,73951,936
1/23/2021,42724,41015,42253,37121,78720,1020
1/24/2021,44017,42194,43533,38536,83808,1065
1/25/2021,45330,43353,44958,40128,91214,1124
1/26/2021,47022,44802,46696,42022,102005,1186
1/27/2021,48530,46111,48215,43660,112355,1226
1/28/2021,49757,47194,49440,45095,123158,1265
1/29/2021,51812,48879,51160,46928,133792,1340
1/3/2021,14162,14864,13746,11196,6420,158
1/30/2021,53570,50280,52750,48503,138757,1409
1/31/2021,54193,50830,53388,49198,142375,1441
1/4/2021,15201,15792,14691,11976,7240,166
1/5/2021,16163,16617,15555,12774,7983,185
1/6/2021,17344,17582,16505,13690,8686,197
1/7/2021,18266,18382,17319,14472,9407,211
1/8/2021,19099,19051,17973,15032,9870,218
1/9/2021,19804,19585,18513,15491,10663,237
12/1/2020,27,21,19,12,16,1
12/10/2020,35,27,26,22,30,1
12/11/2020,36,29,26,25,30,1
12/12/2020,37,29,26,26,30,1
12/13/2020,37,30,28,27,31,1
12/14/2020,38,32,28,28,37,1
12/15/2020,41,36,33,35,40,1
12/16/2020,52,46,46,41,44,1
12/17/2020,278,394,352,272,166,4
12/18/2020,665,877,748,531,286,4
12/19/2020,1030,1343,1142,827,405,9
12/2/2020,29,21,19,16,21,1
12/20/2020,1227,1587,1385,1020,489,10
12/21/2020,1940,2423,2145,1571,754,13
12/22/2020,2905,3519,3132,2274,1051,18
12/23/2020,3976,4795,4282,3080,1401,25
12/24/2020,4354,5173,4635,3375,1536,25
12/25/2020,4354,5173,4636,3375,1539,25
12/26/2020,5494,6466,5747,4318,1946,35
12/27/2020,6004,7006,6266,4755,2151,44
12/28/2020,7175,8184,7397,5772,2746,55
12/29/2020,8956,9949,9071,7201,3759,86
12/3/2020,31,21,21,16,22,1
12/30/2020,10839,11928,11028,8841,4734,106
12/31/2020,11795,12854,11923,9587,5083,115
12/4/2020,31,21,21,17,24,1
12/5/2020,31,21,21,17,25,1
12/6/2020,31,21,21,17,25,1
12/7/2020,31,22,24,18,26,1
12/8/2020,33,23,24,19,26,1
12/9/2020,33,23,25,20,28,1
2/1/2021,55012,51576,54159,50141,150643,1483
2/10/2021,63966,59645,62822,60757,241181,2064
2/11/2021,65048,60557,63847,62213,252126,2133
2/12/2021,66855,62031,65384,64202,267282,2241
2/13/2021,68724,63627,67190,66267,277292,2350
2/14/2021,69377,64105,67777,67023,282433,2378
2/15/2021,70050,64724,68448,67924,291929,2425
2/16/2021,71179,65524,69350,69113,302273,2480
2/17/2021,72162,66420,70287,70309,313375,2566
2/18/2021,73015,67139,71077,71385,324307,2605
