date,Cochise_cume,Cochise
2020-12-01,3,
2020-12-15,4,1
2020-12-16,5,1
2020-12-17,16,11
2020-12-18,24,8
2020-12-19,31,7
2020-12-21,43,12
2020-12-22,304,261
2020-12-23,719,415
2020-12-24,829,110
2020-12-26,851,22
2020-12-28,935,84
2020-12-29,1009,74
2020-12-30,1215,206
2020-12-31,1409,194
2021-01-01,1442,33
2021-01-02,1455,13
2021-01-03,1532,77
2021-01-04,1579,47
2021-01-05,1666,87
2021-01-06,1768,102
2021-01-07,1837,69
2021-01-08,1991,154
2021-01-09,2364,373
2021-01-10,2379,15
2021-01-11,2657,278
2021-01-12,2909,252
2021-01-13,3344,435
2021-01-14,3645,301
2021-01-15,4114,469
2021-01-16,4516,402
2021-01-17,4540,24
2021-01-18,4750,210
2021-01-19,5151,401
2021-01-20,5818,667
2021-01-21,6427,609
2021-01-22,6760,333
2021-01-23,7330,570
2021-01-24,7449,119
2021-01-25,7867,418
2021-01-26,8332,465
2021-01-27,9013,681
2021-01-28,9971,958
2021-01-29,10651,680
2021-01-30,10689,38
2021-01-31,10805,116
2021-02-01,11131,326
2021-02-02,11371,240
2021-02-03,11915,544
2021-02-04,12374,459
2021-02-05,12931,557
2021-02-06,13121,190
2021-02-07,13152,31
2021-02-08,13587,435
2021-02-09,14408,821
2021-02-10,15707,1299
2021-02-11,17676,1969
2021-02-12,19051,1375
2021-02-13,19384,333
2021-02-14,19399,15
2021-02-15,19730,331
2021-02-16,20394,664
2021-02-17,20892,498
2021-02-18,21557,665
2021-02-19,21924,367
2021-02-20,22294,370
2021-02-21,22418,124
2021-02-22,22698,280
2021-02-23,22916,218
2021-02-24,23777,861
2021-02-25,25785,2008
2021-02-26,27274,1489
2021-02-27,28157,883
2021-02-28,28246,89
2021-03-01,28859,613
2021-03-02,29376,517
2021-03-03,30447,1071
2021-03-04,32015,1568
2021-03-05,33087,1072
2021-03-06,34123,1036
2021-03-07,34193,70
2021-03-08,34721,528
2021-03-09,35691,970
2021-03-10,37226,1535
2021-03-11,39345,2119
2021-03-12,40679,1334
2021-03-13,41532,853
2021-03-14,41578,46
2021-03-15,42478,900
2021-03-16,43389,911
2021-03-17,44275,886
2021-03-18,45643,1368
2021-03-19,46651,1008
2021-03-20,47571,920
2021-03-21,47639,68
2021-03-22,48203,564
2021-03-23,48570,367
2021-03-24,49493,923
2021-03-25,51841,2348
2021-03-26,53264,1423
2021-03-27,54335,1071
2021-03-28,54405,70
2021-03-29,54944,539
2021-03-30,55605,661
2021-03-31,56915,1310
2021-04-01,59112,2197
2021-04-02,60464,1352
2021-04-03,61791,1327
2021-04-04,61848,57
2021-04-05,62426,578
2021-04-06,63215,789
2021-04-07,64668,1453
2021-04-08,66258,1590
2021-04-09,67350,1092
2021-04-10,68129,779
2021-04-11,68229,100
2021-04-12,68929,700
2021-04-13,69476,547
2021-04-14,70429,953
2021-04-15,72284,1855
2021-04-16,73336,1052
2021-04-17,74675,1339
2021-04-18,74746,71
2021-04-19,75378,632
2021-04-20,75892,514
2021-04-21,76854,962
2021-04-22,78374,1520
2021-04-23,79364,990
2021-04-24,80237,873
2021-04-25,80294,57
2021-04-26,80759,465
2021-04-27,81256,497
2021-04-28,82197,941
2021-04-29,83209,1012
2021-04-30,83897,688
2021-05-01,84434,537
2021-05-02,84480,46
2021-05-03,84773,293
2021-05-04,85238,465
2021-05-05,86087,849
2021-05-06,87084,997
2021-05-07,87795,711
2021-05-08,88276,481
2021-05-09,88323,47
2021-05-10,88655,332
2021-05-11,88962,307
2021-05-12,89521,559
2021-05-13,90518,997
2021-05-14,91053,535
2021-05-15,91392,339
2021-05-16,91454,62
2021-05-17,91904,450
2021-05-18,92364,460
2021-05-19,93140,776
2021-05-20,93909,769
2021-05-21,94619,710
2021-05-22,94945,326
2021-05-23,95000,55
2021-05-24,95415,415
2021-05-25,95707,292
2021-05-26,96137,430
2021-05-27,96787,650
2021-05-28,97313,526
2021-05-29,97404,91
2021-05-30,97465,61
2021-05-31,97534,69
2021-06-01,97848,314
2021-06-02,98270,422
2021-06-03,98854,584
2021-06-04,99340,486
2021-06-05,99475,135
2021-06-06,99513,38
2021-06-07,99829,316
