Category,value
Apache,505
Cochise,381
Coconino,382
Gila,275
Graham,129
Greenlee,20
La Paz,102
Maricopa,"12,671"
Mohave,"1,041"
Navajo,672
Pima,"2,865"
Pinal,"1,153"
Santa Cruz,196
Yavapai,780
Yuma,926
Female,9121
Male,12964
20-44y,1186
45-54y,1691
55-64y,3433
65+,15738
<20y,50
"White, non-Hispanic",11349
Hispanic or Latino,6147
"American Indian or Alaska Native, non-Hispanic",1694
"Black or African American, non-Hispanic",684
"Asian or Pacific Islander, non-Hispanic",277
Other Race,615
Unknown,1332
