Category,value
tests,12888144
day,
pos,
est_pos,
total_pos,
0_5,
Less than 20 years,2198646
20 - 44 years,5487008
45 - 54 years,1700780
55 - 64 years,1576623
65 years and older,1896595
Unknown,28492
positive,0.0972042211818862
