date,Greenlee_cume,Greenlee
1/12/2021,20,
1/13/2021,50,30
1/14/2021,60,10
1/18/2021,70,10
1/19/2021,80,10
1/20/2021,100,20
1/21/2021,133,33
1/22/2021,157,24
1/23/2021,177,20
1/24/2021,217,40
1/25/2021,238,21
1/27/2021,239,1
1/28/2021,281,42
1/29/2021,335,54
1/5/2021,417,82
1/6/2021,448,31
1/7/2021,490,42
1/8/2021,523,33
1/9/2021,818,295
10/1/2021,1034,216
10/4/2021,1460,426
10/5/2021,1471,11
12/21/2020,1526,55
12/22/2020,1637,111
12/23/2020,2005,368
12/24/2020,2161,156
12/29/2020,2188,27
12/30/2020,2267,79
12/31/2020,2301,34
2/1/2021,2386,85
2/10/2021,2580,194
2/11/2021,2602,22
2/12/2021,2656,54
2/15/2021,2815,159
2/16/2021,3072,257
2/17/2021,3423,351
2/18/2021,3476,53
2/2/2021,3582,106
2/22/2021,3755,173
2/23/2021,4082,327
2/24/2021,4153,71
2/25/2021,4504,351
2/26/2021,4729,225
2/28/2021,4916,187
2/3/2021,5111,195
2/4/2021,5127,16
2/5/2021,5151,24
2/8/2021,5329,178
2/9/2021,5438,109
3/1/2021,5505,67
3/10/2021,5695,190
3/11/2021,5696,1
3/12/2021,5751,55
3/15/2021,5856,105
3/16/2021,5996,140
3/17/2021,6138,142
3/18/2021,6371,233
3/19/2021,6532,161
3/2/2021,6565,33
3/22/2021,6639,74
3/23/2021,6676,37
3/24/2021,6738,62
3/25/2021,6748,10
3/26/2021,6767,19
3/28/2021,6808,41
3/29/2021,6862,54
3/3/2021,6924,62
3/30/2021,6935,11
3/31/2021,7177,242
3/4/2021,7252,75
3/5/2021,7257,5
3/7/2021,7346,89
3/8/2021,7396,50
3/9/2021,7498,102
4/1/2021,7533,35
4/12/2021,7547,14
4/13/2021,7610,63
4/14/2021,7657,47
4/15/2021,7724,67
4/16/2021,7735,11
4/2/2021,7758,23
4/20/2021,7791,33
4/22/2021,7828,37
4/27/2021,7849,21
4/30/2021,7888,39
4/5/2021,7927,39
4/6/2021,7951,24
4/7/2021,7972,21
4/8/2021,7982,10
4/9/2021,7998,16
5/10/2021,8017,19
5/12/2021,8027,10
5/13/2021,8045,18
5/18/2021,8056,11
5/20/2021,8076,20
5/21/2021,8103,27
5/24/2021,8106,3
5/25/2021,8132,26
5/27/2021,8139,7
5/4/2021,8158,19
5/5/2021,8164,6
5/6/2021,8175,11
6/1/2021,8183,8
6/10/2021,8205,22
6/15/2021,8212,7
6/16/2021,8226,14
6/17/2021,8227,1
6/2/2021,8247,20
6/22/2021,8260,13
6/23/2021,8267,7
6/24/2021,8274,7
6/29/2021,8284,10
6/3/2021,8290,6
6/8/2021,8291,1
6/9/2021,8295,4
7/1/2021,8299,4
7/12/2021,8311,12
7/13/2021,8314,3
7/15/2021,8318,4
7/16/2021,8324,6
7/19/2021,8326,2
7/2/2021,8327,1
7/20/2021,8339,12
7/21/2021,8347,8
7/22/2021,8358,11
7/23/2021,8367,9
7/26/2021,8372,5
7/27/2021,8381,9
7/28/2021,8386,5
7/29/2021,8403,17
7/30/2021,8407,4
7/6/2021,8412,5
7/7/2021,8421,9
7/8/2021,8435,14
8/10/2021,8452,17
8/11/2021,8462,10
8/12/2021,8470,8
8/13/2021,8477,7
8/14/2021,8486,9
8/16/2021,8555,69
8/17/2021,8573,18
8/18/2021,8575,2
8/19/2021,8593,18
8/2/2021,8674,81
8/20/2021,8693,19
8/21/2021,8739,46
8/22/2021,8785,46
8/23/2021,8903,118
8/24/2021,8914,11
8/25/2021,8938,24
8/26/2021,8961,23
8/27/2021,8976,15
8/3/2021,9034,58
8/30/2021,9069,35
8/31/2021,9103,34
8/4/2021,9127,24
8/5/2021,9134,7
8/6/2021,9138,4
8/9/2021,9159,21
9/1/2021,9180,21
9/10/2021,9201,21
9/11/2021,9267,66
9/13/2021,9301,34
9/14/2021,9365,64
9/15/2021,9371,6
9/16/2021,9395,24
9/17/2021,9409,14
9/2/2021,9424,15
9/20/2021,9450,26
9/21/2021,9503,53
9/22/2021,9548,45
9/23/2021,9557,9
9/24/2021,9581,24
9/25/2021,9599,18
9/27/2021,9630,31
9/28/2021,9641,11
9/29/2021,9653,12
9/3/2021,9673,20
9/30/2021,9707,34
9/7/2021,9727,20
9/8/2021,9748,21
9/9/2021,9750,2
